achieveid	chapter	part	achieve_num	require	achieve_value	achieve_hp	type	script
成就id（{chapter,part}）	成就类别	各类别的具体成就	成就数量	成就内容[{成就类型,成就id}]	成就奖励值	生命奖励值	成就类型（count 记次 match 匹配 matchnum 匹配数量）	成就脚本
{6,13}	6	13	12	12	20	80	[]	[]
{6,12}	6	12	100	[{spa_rub,[0],100}]	10	10	count	[]
{6,11}	6	11	10	[{spa_rub,[0],10}]	5	20	count	[]
{6,10}	6	10	100	[{spa,[0],100}]	10	10	count	[]
{6,9}	6	9	10	[{spa,[0],10}]	5	20	count	[]
{6,8}	6	8	16000	[{contribution,[0],16000}]	25	30	count	[]
{6,7}	6	7	8000	[{contribution,[0],8000}]	20	30	count	[]
{6,6}	6	6	4000	[{contribution,[0],4000}]	15	10	count	[]
{6,5}	6	5	1000	[{contribution,[0],1000}]	10	10	count	[]
{6,4}	6	4	200	[{contribution,[0],200}]	5	20	count	[]
{6,3}	6	3	1	[{guildposting,[0],1}]	5	20	matchnum	achieve_matchnum_script
{6,2}	6	2	100	[{add_friend,[0],100}]	20	10	count	[]
{6,1}	6	1	50	[{add_friend,[0],50}]	10	20	count	[]
{5,24}	5	24	23	23	100	80	[]	[]
{5,23}	5	23	1	[{pet_talent,[0],30}]	20	80	matchnum	achieve_matchnum_script
{5,22}	5	22	1	[{pet_talent,[0],20}]	15	10	matchnum	achieve_matchnum_script
{5,21}	5	21	1	[{pet_talent,[0],10}]	10	10	matchnum	achieve_matchnum_script
{5,20}	5	20	1	[{pet_growth,[0],70}]	25	80	matchnum	achieve_matchnum_script
{5,19}	5	19	1	[{pet_growth,[0],61}]	20	30	matchnum	achieve_matchnum_script
{5,18}	5	18	1	[{pet_growth,[0],51}]	15	10	matchnum	achieve_matchnum_script
{5,17}	5	17	1	[{pet_growth,[0],41}]	10	10	matchnum	achieve_matchnum_script
{5,16}	5	16	1	[{pet_growth,[0],30}]	5	20	matchnum	achieve_matchnum_script
{5,15}	5	15	1	[{pet_quality,[0],100}]	20	30	matchnum	achieve_matchnum_script
{5,14}	5	14	1	[{pet_quality,[0],76}]	15	10	matchnum	achieve_matchnum_script
{5,13}	5	13	1	[{pet_quality,[0],51}]	10	10	matchnum	achieve_matchnum_script
{5,12}	5	12	1	[{pet_quality,[0],30}]	5	20	matchnum	achieve_matchnum_script
{5,11}	5	11	10	[{pet_skill,[5],10}]	40	30	match	achieve_equipment_script
{5,10}	5	10	10	[{pet_skill,[4,5],10}]	30	30	match	achieve_equipment_script
{5,9}	5	9	10	[{pet_skill,[3,4,5],10}]	20	30	match	achieve_equipment_script
{5,8}	5	8	10	[{pet_skill,[1,2,3,4,5],10}]	20	10	match	achieve_equipment_script
{5,7}	5	7	1	[{pet,[4],1}]	10	80	match	achieve_equipment_script
{5,6}	5	6	10000	[{treasure_chest,[0],10000}]	50	80	count	[]
{5,5}	5	5	5000	[{treasure_chest,[0],5000}]	20	30	count	[]
{5,4}	5	4	500	[{treasure_chest,[0],500}]	10	20	count	[]
{5,3}	5	3	50	[{treasure_chest,[0],50}]	5	20	count	[]
{5,2}	5	2	1	[{vip,[7],1}]	20	80	match	achieve_equipment_script
{5,1}	5	1	1	[{vip,[4,5,7],1}]	10	20	match	achieve_equipment_script
{4,122}	4	122	121	121	5	20	[]	[]
{4,121}	4	121	80	[{venation_advance,[0],80}]	30	30	count	[]
{4,120}	4	120	64	[{venation_advance,[0],64}]	20	30	count	[]
{4,119}	4	119	32	[{venation_advance,[0],32}]	10	10	count	[]
{4,118}	4	118	16	[{venation_advance,[0],16}]	5	10	count	[]
{4,117}	4	117	60	[{monster_kill,[1801002],60}]	20	80	count	[]
{4,116}	4	116	14	[{monster_kill,[1801002],14}]	10	80	count	[]
{4,115}	4	115	2	[{monster_kill,[1801002],2}]	5	80	count	[]
{4,114}	4	114	60	[{monster_kill,[1800906],60}]	20	80	count	[]
{4,113}	4	113	14	[{monster_kill,[1800906],14}]	10	80	count	[]
{4,112}	4	112	2	[{monster_kill,[1800906],2}]	5	80	count	[]
{4,111}	4	111	60	[{monster_kill,[1800804],60}]	20	80	count	[]
{4,110}	4	110	14	[{monster_kill,[1800804],14}]	10	80	count	[]
{4,109}	4	109	2	[{monster_kill,[1800804],2}]	5	80	count	[]
{4,108}	4	108	60	[{monster_kill,[1800704],60}]	20	80	count	[]
{4,107}	4	107	14	[{monster_kill,[1800704],14}]	10	30	count	[]
{4,106}	4	106	2	[{monster_kill,[1800704],2}]	5	30	count	[]
{4,105}	4	105	60	[{monster_kill,[1800602],60}]	20	30	count	[]
