id	type	maxtimes	time	com_condition	value	targetid
Id	活动类型(1为击杀boss,3为活动)	最多次数	检测时间		活跃度值	
309	1	0	{1,[{{0,0,0},{11,30,0}},{{0,0,0},{20,30,0}}]}	[]	0	0
308	1	0	{1,[{{0,0,0},{8,30,0}},{{0,0,0},{14,30,0}},{{0,0,0},{20,30,0}}]}	[]	0	0
307	1	0	{1,[{{0,0,0},{8,30,0}},{{0,0,0},{14,30,0}},{{0,0,0},{20,30,0}}]}	[]	0	0
306	1	0	{1,[{{0,0,0},{8,30,0}},{{0,0,0},{14,30,0}},{{0,0,0},{20,30,0}}]}	[]	0	0
305	1	0	{1,[{{0,0,0},{0,30,0}},{{0,0,0},{4,30,0}},{{0,0,0},{8,30,0}},{{0,0,0},{12,30,0}},{{0,0,0},{16,30,0}},{{0,0,0},{20,30,0}}]}	[]	0	0
304	1	0	{1,[{{0,0,0},{0,30,0}},{{0,0,0},{4,30,0}},{{0,0,0},{8,30,0}},{{0,0,0},{12,30,0}},{{0,0,0},{16,30,0}},{{0,0,0},{20,30,0}}]}	[]	0	0
303	1	0	{1,[{{0,0,0},{0,30,0}},{{0,0,0},{4,30,0}},{{0,0,0},{8,30,0}},{{0,0,0},{12,30,0}},{{0,0,0},{16,30,0}},{{0,0,0},{20,30,0}}]}	[]	0	0
302	1	0	{1,[{{0,0,0},{0,30,0}},{{0,0,0},{3,30,0}},{{0,0,0},{6,30,0}},{{0,0,0},{9,30,0}},{{0,30,0},{12,30,0}},{{0,0,0},{15,30,0}},{{0,0,0},{18,30,0}},{{0,0,0},{21,30,0}}]}	[]	0	0
301	1	0	{1,[{{0,0,0},{0,30,0}},{{0,0,0},{3,30,0}},{{0,0,0},{6,30,0}},{{0,0,0},{9,30,0}},{{0,30,0},{12,30,0}},{{0,0,0},{15,30,0}},{{0,0,0},{18,30,0}},{{0,0,0},{21,30,0}}]}	[]	0	0
56	6	0	[]	[]	0	0
1002	5	0	[]	[]	0	0
1001	5	0	[]	[]	0	0
210	7	2	[]	{{instance,20000},eq,1}	10	0
209	7	2	[]	{{instance,30021},eq,1}	10	0
208	7	2	[]	{{instance,10000},eq,1}	10	0
207	7	2	[]	{{instance,30020},eq,1}	10	0
206	4	2	[]	{{instance,10011},eq,1}	10	0
205	4	3	[]	{{instance,10004},eq,1}	5	0
204	4	3	[]	{{instance,10003},eq,1}	5	0
213	4	1	[]	{{instance,10016},eq,1}	5	0
212	4	2	[]	{{instance,10015},eq,1}	5	0
211	4	2	[]	{{instance,10005},eq,1}	5	0
203	4	3	[]	{{instance,10002},eq,1}	5	0
