id	entry	type	events	conditions	chance	maxcount	skill	target	cooldown	msgs	script	next_ai
aiID	NPC ID	1(技能释放),2(呼救),3(特殊脚本)	事件0(攻击)1(有人请求npc功能)2(被人攻击)3(出生)4(开始战斗)5(离开战斗)6(跟随)7(死亡)8(开始巡逻)9(结束巡逻)10(任务完成)11(接受任务)12(警戒范围内敌对玩家死亡)13(警戒范围内敌对npc死亡)101(npc按波数启动怪物)102(棋魂游戏开启)	特殊脚本			技能	技能目标(0无目标施放,1对敌人施放，2对自己施放,3对主任施放)	冷却	[喊话]	特殊脚本	下一个NPC ID 
1	2032001	3	[7]	[]	100	1	0	2	0	[死亡也许是新的开始，来生再与宿命分个高下……]	{npc_chess_spirit,on_dead,[]}	[]
2	2032101	3	[7]	[]	100	1	0	2	0	[死亡也许是新的开始，来生再与宿命分个高下……]	{npc_chess_spirit,on_dead,[]}	[]
3	2032001	3	[101]	[{npc_chess_spirit,is_start_section,[1]}]	100	1	0	2	0	[神死了，魔灭了……我还活着，究竟是我超脱了历史，还是被历史所遗弃……]	[]	[]
4	2032001	3	[101]	[{npc_chess_spirit,is_start_section,[5]}]	100	1	0	2	0	[不要问我是谁设此弥天大局，每一个知道真相的都已化作骸骨。]	[]	[]
5	2032001	3	[101]	[{npc_chess_spirit,is_start_section,[9]}]	100	1	0	2	0	[亿万生灵为兵，诸天神魔为将。无人可以超脱，但我该放弃希望吗……]	[]	[]
6	2032001	3	[101]	[{npc_chess_spirit,is_start_section,[13]}]	100	1	0	2	0	[也许在这天地的掌控着中我们只是蝼蚁，但我们不应该放弃抗争的信念。]	[]	[]
7	2032001	3	[101]	[{npc_chess_spirit,is_start_section,[16]}]	100	1	0	2	0	[千万年的破局者中，你让我感受到了不同，但这还不足以让我燃起信念……哪怕一丝一毫]	[]	[]
8	2032001	3	[101]	[{npc_chess_spirit,is_start_section,[19]}]	100	1	0	2	0	[你很强大，也许我应该提起仅有的勇气向你诉说这一切的始末。]	[]	[]
9	2032001	3	[101]	[{npc_chess_spirit,is_start_section,[22]}]	100	1	0	2	0	[上古、远古、太古、荒古、冥古，我不知道这世界存在了多久，但我知道这天地之局一直存在……]	[]	[]
10	2032001	3	[101]	[{npc_chess_spirit,is_start_section,[26]}]	100	1	0	2	0	[法祖、格萨尔王、萨布雷斯王、战神雷奥、达摩、箭神吉日嘎啦……这一个个名字都曾为打破宿命而抗争！]	[]	[]
11	2032001	3	[101]	[{npc_chess_spirit,is_start_section,[28]}]	100	1	0	2	0	[现如今这些逆天的破局者纷纷消失了，也许不久的将来他们将再次出现，与这棋局的掌控者决一死战。]	[]	[]
12	2032001	3	[101]	[{npc_chess_spirit,is_start_section,[31]}]	100	1	0	2	0	[逆天！逆天！因为我们的对手就是这世界的主宰者，他就是天，天就是他，他叫太皇天！]	[]	[]
13	2032001	3	[101]	[{npc_chess_spirit,is_start_section,[80]}]	100	1	0	2	0	[而你也终将追随远古英雄们的脚步，成为一名逆天者，这就是我要诉说的一切……]	[]	[]
14	2032101	3	[101]	[{npc_chess_spirit,is_start_section,[1]}]	100	1	0	2	0	[神死了，魔灭了……我还活着，究竟是我超脱了历史，还是被历史所遗弃……]	[]	[]
