id	back_stone
物品最低等级，最高等级，星数	返回物品ID，返回物品数量
{70,89,9}	[{24100003,142}]
{70,89,8}	[{24100003,93}]
{70,89,7}	[{24100003,56}]
{70,89,6}	[{24100003,31}]
{70,89,5}	[{24100003,17}]
{70,89,4}	[{24100003,9}]
{70,89,3}	[{24100003,4}]
{70,89,2}	[{24100003,2}]
{70,89,1}	[{24100003,1}]
{70,89,0}	[{24100003,0}]
{50,69,9}	[{24000003,124}]
{50,69,8}	[{24000003,81}]
{50,69,7}	[{24000003,49}]
{50,69,6}	[{24000003,27}]
{50,69,5}	[{24000003,14}]
{50,69,4}	[{24000003,8}]
{50,69,3}	[{24000003,4}]
{50,69,2}	[{24000003,2}]
{50,69,1}	[{24000003,1}]
{50,69,0}	[{24000003,0}]
{1,49,9}	[{24000002,57}]
{1,49,8}	[{24000002,35}]
{1,49,7}	[{24000002,20}]
{1,49,6}	[{24000002,11}]
{1,49,5}	[{24000002,7}]
{1,49,4}	[{24000002,4}]
{1,49,3}	[{24000002,3}]
{1,49,2}	[{24000002,2}]
{1,49,1}	[{24000002,1}]
{1,49,0}	[{24000002,0}]
