level	growth	duration	spgrowth

100	3600	1800000	576
99	3564	1800000	576
98	3528	1800000	568
97	3492	1800000	560
96	3456	1800000	552
95	3420	1800000	552
94	3384	1800000	544
93	3348	1800000	536
92	3312	1800000	528
91	3276	1800000	528
90	3240	1800000	520
89	3204	1800000	512
88	3168	1800000	504
87	3132	1800000	504
86	3096	1800000	496
85	3060	1800000	488
84	3024	1800000	480
83	2988	1800000	480
82	2952	1800000	472
81	2916	1800000	464
80	2880	1800000	456
79	2844	1800000	456
78	2808	1800000	448
77	2772	1800000	440
76	2736	1800000	432
75	2700	1800000	432
74	2664	1800000	424
73	2628	1800000	416
72	2592	1800000	408
71	2556	1800000	408
70	2520	1800000	400
69	2484	1800000	392
68	2448	1800000	384
67	2412	1800000	384
66	2376	1800000	376
65	2340	1800000	368
64	2304	1800000	360
63	2268	1800000	360
62	2232	1800000	352
61	2196	1800000	344
60	2160	1800000	336
59	2124	1800000	336
58	2088	1800000	328
57	2052	1800000	320
56	2016	1800000	312
55	1980	1800000	312
54	1944	1800000	304
53	1908	1800000	296
52	1872	1800000	288
51	1836	1800000	288
50	1800	1800000	280
49	1764	1800000	272
48	1728	1800000	264
47	1692	1800000	264
46	1656	1800000	256
45	1620	1800000	248
44	1584	1800000	240
43	1548	1800000	240
42	1512	1800000	232
41	1476	1800000	224
40	1440	1800000	216
39	1404	1800000	216
38	1368	1800000	208
37	1332	1800000	200
36	1296	1800000	192
35	1260	1800000	192
34	1224	1800000	184
33	1188	1800000	176
32	1152	1800000	168
31	1116	1800000	168
30	1080	1800000	160
29	1044	1800000	152
28	1008	1800000	144
27	972	1800000	144
26	936	1800000	136
25	900	1800000	128
24	864	1800000	120
23	828	1800000	120
22	792	1800000	112
21	756	1800000	104
20	720	1800000	96
19	684	1800000	96
18	648	1800000	88
17	612	1800000	80
16	576	1800000	72
15	540	1800000	72
