type_level	exp_args	expect_sec

{2,100}	4100	80
{2,99}	3983	80
{2,98}	3943	80
{2,97}	3903	80
{2,96}	3862	80
{2,95}	3822	80
{2,94}	3782	80
{2,93}	3742	80
{2,92}	3701	80
{2,91}	3661	80
{2,90}	3621	80
{2,89}	3581	80
{2,88}	3631	80
{2,87}	3590	80
{2,86}	3642	80
{2,85}	3600	80
{2,84}	3654	80
{2,83}	3610	80
{2,82}	3666	80
{2,81}	3621	80
{2,80}	3678	80
{2,79}	3632	80
{2,78}	3692	80
{2,77}	3645	80
{2,76}	3706	80
{2,75}	3657	80
{2,74}	3721	80
{2,73}	3671	80
{2,72}	3738	80
{2,71}	3686	80
{2,70}	3755	80
{2,69}	3829	72
{2,68}	3908	71
{2,67}	3993	70
{2,66}	3934	69
{2,65}	4023	68
{2,64}	3961	67
{2,63}	3899	66
{2,62}	3838	64
{2,61}	3927	62
{2,60}	3862	60
{2,59}	3956	57
{2,58}	4058	54
{2,57}	4170	51
{2,56}	4096	48
{2,55}	4215	45
{2,54}	4138	42
{2,53}	4062	39
{2,52}	4184	36
{2,51}	4104	33
{2,50}	4023	30
{2,49}	3943	27
{2,48}	3862	24
{2,47}	3782	21
{2,46}	3165	18
{2,45}	2998	15
{1,100}	1691	97
{1,99}	1691	97
{1,98}	1674	97
{1,97}	1656	97
{1,96}	1639	97
{1,95}	1622	97
{1,94}	1605	97
{1,93}	1588	97
{1,92}	1571	97
{1,91}	1554	97
{1,90}	1537	97
{1,89}	1520	97
{1,88}	1503	97
{1,87}	1486	97
{1,86}	1469	97
{1,85}	1452	97
{1,84}	1434	97
{1,83}	1417	97
{1,82}	1400	97
{1,81}	1383	97
{1,80}	1366	97
{1,79}	1377	95
{1,78}	1375	94
{1,77}	1386	92
{1,76}	1383	91
{1,75}	1396	89
{1,74}	1393	88
{1,73}	1390	87
{1,72}	1371	87
{1,71}	1384	85
{1,70}	1380	84
{1,69}	1394	82
{1,68}	1391	81
{1,67}	1405	79
{1,66}	1402	78
{1,65}	1398	77
{1,64}	1433	74
{1,63}	1470	71
{1,62}	1510	68
{1,61}	1508	67
{1,60}	1553	64
{1,59}	1602	61
{1,58}	1656	58
{1,57}	1656	57
{1,56}	1718	54
{1,55}	1786	51
{1,54}	1864	48
{1,53}	1868	47
{1,52}	1958	44
{1,51}	2061	41
{1,50}	2180	38
{1,49}	2194	37
{1,48}	2339	34
{1,47}	2511	31
{1,46}	2327	28
{1,45}	2057	27
{1,44}	1876	24
{1,43}	1599	21
{1,42}	1521	18
{1,41}	1357	17
{1,40}	1308	14
{1,39}	1227	11
{1,38}	1216	8
{1,37}	1090	7
{1,36}	1593	4
{1,35}	1984	3
