type_section	power_rewards	spawns	item_rewards	skills_level

{2,100}	3	[{1032140,{48,62}}]	[]	[]
{2,99}	3	[{1032139,{65,67}},{1032139,{68,62}},{1032139,{29,30}},{1032139,{32,29}},{1032139,{34,30}},{1032139,{68,65}},{1032139,{65,67}},{1032139,{32,33}},{1032139,{35,31}}]	[]	[]
{2,98}	3	[{1032139,{65,67}},{1032139,{68,62}},{1032139,{29,30}},{1032139,{32,29}},{1032139,{34,30}},{1032139,{68,65}},{1032139,{65,67}},{1032139,{32,33}},{1032139,{35,31}}]	[]	[]
{2,97}	3	[{1032139,{65,67}},{1032139,{68,62}},{1032139,{29,30}},{1032139,{32,29}},{1032139,{34,30}},{1032139,{68,65}},{1032139,{65,67}},{1032139,{32,33}},{1032139,{35,31}}]	[]	[]
{2,96}	3	[{1032138,{65,67}},{1032138,{68,62}},{1032138,{29,30}},{1032138,{32,29}},{1032138,{34,30}},{1032138,{68,65}},{1032138,{65,67}},{1032138,{32,33}},{1032138,{35,31}}]	[]	[]
{2,95}	3	[{1032138,{65,67}},{1032138,{68,62}},{1032138,{29,30}},{1032138,{32,29}},{1032138,{34,30}},{1032138,{68,65}},{1032138,{65,67}},{1032138,{32,33}},{1032138,{35,31}}]	[]	[]
{2,94}	3	[{1032138,{65,67}},{1032138,{68,62}},{1032138,{29,30}},{1032138,{32,29}},{1032138,{34,30}},{1032138,{68,65}},{1032138,{65,67}},{1032138,{32,33}},{1032138,{35,31}}]	[]	[{751000010,10},{751000001,10},{751000002,10},{751000003,10},{751000004,10},{751000018,10}]
{2,93}	3	[{1032137,{65,67}},{1032137,{68,62}},{1032137,{29,30}},{1032137,{32,29}},{1032137,{34,30}},{1032137,{68,65}},{1032137,{65,67}},{1032137,{32,33}},{1032137,{35,31}}]	[]	[]
{2,92}	3	[{1032137,{65,67}},{1032137,{68,62}},{1032137,{29,30}},{1032137,{32,29}},{1032137,{34,30}},{1032137,{68,65}},{1032137,{65,67}},{1032137,{32,33}},{1032137,{35,31}}]	[]	[]
{2,91}	3	[{1032137,{65,67}},{1032137,{68,62}},{1032137,{29,30}},{1032137,{32,29}},{1032137,{34,30}},{1032137,{68,65}},{1032137,{65,67}},{1032137,{32,33}},{1032137,{35,31}}]	[]	[]
{2,90}	3	[{1032136,{48,62}}]	[]	[]
{2,89}	3	[{1032135,{65,67}},{1032135,{68,62}},{1032135,{29,30}},{1032135,{32,29}},{1032135,{34,30}},{1032135,{68,65}},{1032135,{65,67}},{1032135,{32,33}},{1032135,{35,31}}]	[]	[]
{2,88}	3	[{1032135,{65,67}},{1032135,{68,62}},{1032135,{29,30}},{1032135,{32,29}},{1032135,{34,30}},{1032135,{68,65}},{1032135,{65,67}},{1032135,{32,33}},{1032135,{35,31}}]	[]	[]
{2,87}	3	[{1032135,{65,67}},{1032135,{68,62}},{1032135,{29,30}},{1032135,{32,29}},{1032135,{34,30}},{1032135,{68,65}},{1032135,{65,67}},{1032135,{32,33}},{1032135,{35,31}}]	[]	[{751000010,9},{751000001,9},{751000002,9},{751000003,9},{751000004,9},{751000018,9}]
{2,86}	3	[{1032134,{65,67}},{1032134,{68,62}},{1032134,{29,30}},{1032134,{32,29}},{1032134,{34,30}},{1032134,{68,65}},{1032134,{65,67}},{1032134,{32,33}},{1032134,{35,31}}]	[]	[]
{2,85}	3	[{1032134,{65,67}},{1032134,{68,62}},{1032134,{29,30}},{1032134,{32,29}},{1032134,{34,30}},{1032134,{68,65}},{1032134,{65,67}},{1032134,{32,33}},{1032134,{35,31}}]	[]	[]
{2,84}	3	[{1032134,{65,67}},{1032134,{68,62}},{1032134,{29,30}},{1032134,{32,29}},{1032134,{34,30}},{1032134,{68,65}},{1032134,{65,67}},{1032134,{32,33}},{1032134,{35,31}}]	[]	[]
{2,83}	3	[{1032133,{65,67}},{1032133,{68,62}},{1032133,{29,30}},{1032133,{32,29}},{1032133,{34,30}},{1032133,{68,65}},{1032133,{65,67}},{1032133,{32,33}},{1032133,{35,31}}]	[]	[]
{2,82}	3	[{1032133,{65,67}},{1032133,{68,62}},{1032133,{29,30}},{1032133,{32,29}},{1032133,{34,30}},{1032133,{68,65}},{1032133,{65,67}},{1032133,{32,33}},{1032133,{35,31}}]	[]	[]
{2,81}	3	[{1032133,{65,67}},{1032133,{68,62}},{1032133,{29,30}},{1032133,{32,29}},{1032133,{34,30}},{1032133,{68,65}},{1032133,{65,67}},{1032133,{32,33}},{1032133,{35,31}}]	[]	[]
{2,80}	3	[{1032132,{48,62}}]	[]	[{751000010,8},{751000001,8},{751000002,8},{751000003,8},{751000004,8},{751000018,8}]
{2,79}	3	[{1032131,{65,67}},{1032131,{68,62}},{1032131,{29,30}},{1032131,{32,29}},{1032131,{34,30}},{1032131,{68,65}},{1032131,{65,67}},{1032131,{32,33}},{1032131,{35,31}}]	[]	[]
{2,78}	3	[{1032131,{65,67}},{1032131,{68,62}},{1032131,{29,30}},{1032131,{32,29}},{1032131,{34,30}},{1032131,{68,65}},{1032131,{65,67}},{1032131,{32,33}},{1032131,{35,31}}]	[]	[]
{2,77}	3	[{1032131,{65,67}},{1032131,{68,62}},{1032131,{29,30}},{1032131,{32,29}},{1032131,{34,30}},{1032131,{68,65}},{1032131,{65,67}},{1032131,{32,33}},{1032131,{35,31}}]	[]	[]
{2,76}	3	[{1032130,{65,67}},{1032130,{68,62}},{1032130,{29,30}},{1032130,{32,29}},{1032130,{34,30}},{1032130,{68,65}},{1032130,{65,67}},{1032130,{32,33}},{1032130,{35,31}}]	[]	[]
{2,75}	3	[{1032130,{65,67}},{1032130,{68,62}},{1032130,{29,30}},{1032130,{32,29}},{1032130,{34,30}},{1032130,{68,65}},{1032130,{65,67}},{1032130,{32,33}},{1032130,{35,31}}]	[]	[]
{2,74}	3	[{1032130,{65,67}},{1032130,{68,62}},{1032130,{29,30}},{1032130,{32,29}},{1032130,{34,30}},{1032130,{68,65}},{1032130,{65,67}},{1032130,{32,33}},{1032130,{35,31}}]	[]	[]
{2,73}	3	[{1032129,{65,67}},{1032129,{68,62}},{1032129,{29,30}},{1032129,{32,29}},{1032129,{34,30}},{1032129,{68,65}},{1032129,{65,67}},{1032129,{32,33}},{1032129,{35,31}}]	[]	[]
{2,72}	3	[{1032129,{65,67}},{1032129,{68,62}},{1032129,{29,30}},{1032129,{32,29}},{1032129,{34,30}},{1032129,{68,65}},{1032129,{65,67}},{1032129,{32,33}},{1032129,{35,31}}]	[]	[]
{2,71}	3	[{1032129,{65,67}},{1032129,{68,62}},{1032129,{29,30}},{1032129,{32,29}},{1032129,{34,30}},{1032129,{68,65}},{1032129,{65,67}},{1032129,{32,33}},{1032129,{35,31}}]	[]	[]
{2,70}	3	[{1032128,{48,62}}]	[]	[]
{2,69}	3	[{1032127,{65,67}},{1032127,{68,62}},{1032127,{29,30}},{1032127,{32,29}},{1032127,{34,30}},{1032127,{68,65}},{1032127,{65,67}},{1032127,{32,33}},{1032127,{35,31}}]	[]	[]
{2,68}	3	[{1032127,{65,67}},{1032127,{68,62}},{1032127,{29,30}},{1032127,{32,29}},{1032127,{34,30}},{1032127,{68,65}},{1032127,{65,67}},{1032127,{32,33}},{1032127,{35,31}}]	[]	[]
{2,67}	3	[{1032127,{65,67}},{1032127,{68,62}},{1032127,{29,30}},{1032127,{32,29}},{1032127,{34,30}},{1032127,{68,65}},{1032127,{65,67}},{1032127,{32,33}},{1032127,{35,31}}]	[]	[{751000010,7},{751000001,7},{751000002,7},{751000003,7},{751000004,7},{751000018,7}]
{2,66}	3	[{1032126,{65,67}},{1032126,{68,62}},{1032126,{29,30}},{1032126,{32,29}},{1032126,{34,30}},{1032126,{68,65}},{1032126,{65,67}},{1032126,{32,33}},{1032126,{35,31}}]	[]	[]
{2,65}	3	[{1032126,{65,67}},{1032126,{68,62}},{1032126,{29,30}},{1032126,{32,29}},{1032126,{34,30}},{1032126,{68,65}},{1032126,{65,67}},{1032126,{32,33}},{1032126,{35,31}}]	[]	[]
{2,64}	3	[{1032126,{65,67}},{1032126,{68,62}},{1032126,{29,30}},{1032126,{32,29}},{1032126,{34,30}},{1032126,{68,65}},{1032126,{65,67}},{1032126,{32,33}},{1032126,{35,31}}]	[]	[]
{2,63}	3	[{1032125,{65,67}},{1032125,{68,62}},{1032125,{29,30}},{1032125,{32,29}},{1032125,{34,30}},{1032125,{68,65}},{1032125,{65,67}},{1032125,{32,33}},{1032125,{35,31}}]	[]	[]
{2,62}	3	[{1032125,{65,67}},{1032125,{68,62}},{1032125,{29,30}},{1032125,{32,29}},{1032125,{34,30}},{1032125,{68,65}},{1032125,{65,67}},{1032125,{32,33}},{1032125,{35,31}}]	[]	[]
{2,61}	3	[{1032125,{65,67}},{1032125,{68,62}},{1032125,{29,30}},{1032125,{32,29}},{1032125,{34,30}},{1032125,{68,65}},{1032125,{65,67}},{1032125,{32,33}},{1032125,{35,31}}]	[]	[]
{2,60}	3	[{1032124,{48,62}}]	[]	[]
{2,59}	3	[{1032123,{65,67}},{1032123,{68,62}},{1032123,{29,30}},{1032123,{32,29}},{1032123,{34,30}},{1032123,{68,65}},{1032123,{65,67}},{1032123,{32,33}},{1032123,{35,31}}]	[]	[]
{2,58}	3	[{1032123,{65,67}},{1032123,{68,62}},{1032123,{29,30}},{1032123,{32,29}},{1032123,{34,30}},{1032123,{68,65}},{1032123,{65,67}},{1032123,{32,33}},{1032123,{35,31}}]	[]	[]
{2,57}	3	[{1032123,{65,67}},{1032123,{68,62}},{1032123,{29,30}},{1032123,{32,29}},{1032123,{34,30}},{1032123,{68,65}},{1032123,{65,67}},{1032123,{32,33}},{1032123,{35,31}}]	[]	[{751000010,6},{751000001,6},{751000002,6},{751000003,6},{751000004,6},{751000018,6}]
{2,56}	3	[{1032122,{65,67}},{1032122,{68,62}},{1032122,{29,30}},{1032122,{32,29}},{1032122,{34,30}},{1032122,{68,65}},{1032122,{65,67}},{1032122,{32,33}},{1032122,{35,31}}]	[]	[]
{2,55}	3	[{1032122,{65,67}},{1032122,{68,62}},{1032122,{29,30}},{1032122,{32,29}},{1032122,{34,30}},{1032122,{68,65}},{1032122,{65,67}},{1032122,{32,33}},{1032122,{35,31}}]	[]	[]
{2,54}	3	[{1032122,{65,67}},{1032122,{68,62}},{1032122,{29,30}},{1032122,{32,29}},{1032122,{34,30}},{1032122,{68,65}},{1032122,{65,67}},{1032122,{32,33}},{1032122,{35,31}}]	[]	[]
{2,53}	3	[{1032121,{65,67}},{1032121,{68,62}},{1032121,{29,30}},{1032121,{32,29}},{1032121,{34,30}},{1032121,{68,65}},{1032121,{65,67}},{1032121,{32,33}},{1032121,{35,31}}]	[]	[]
{2,52}	3	[{1032121,{65,67}},{1032121,{68,62}},{1032121,{29,30}},{1032121,{32,29}},{1032121,{34,30}},{1032121,{68,65}},{1032121,{65,67}},{1032121,{32,33}},{1032121,{35,31}}]	[]	[]
{2,51}	3	[{1032121,{65,67}},{1032121,{68,62}},{1032121,{29,30}},{1032121,{32,29}},{1032121,{34,30}},{1032121,{68,65}},{1032121,{65,67}},{1032121,{32,33}},{1032121,{35,31}}]	[]	[]
{2,50}	3	[{1032120,{48,62}}]	[]	[]
{2,49}	3	[{1032119,{65,67}},{1032119,{68,62}},{1032119,{29,30}},{1032119,{32,29}},{1032119,{34,30}},{1032119,{68,65}},{1032119,{65,67}},{1032119,{32,33}},{1032119,{35,31}}]	[]	[]
{2,48}	3	[{1032119,{65,67}},{1032119,{68,62}},{1032119,{29,30}},{1032119,{32,29}},{1032119,{34,30}},{1032119,{68,65}},{1032119,{65,67}},{1032119,{32,33}},{1032119,{35,31}}]	[]	[]
{2,47}	3	[{1032119,{65,67}},{1032119,{68,62}},{1032119,{29,30}},{1032119,{32,29}},{1032119,{34,30}},{1032119,{68,65}},{1032119,{65,67}},{1032119,{32,33}},{1032119,{35,31}}]	[]	[]
{2,46}	3	[{1032118,{65,67}},{1032118,{68,62}},{1032118,{29,30}},{1032118,{32,29}},{1032118,{34,30}},{1032118,{68,65}},{1032118,{65,67}},{1032118,{32,33}},{1032118,{35,31}}]	[]	[{751000010,5},{751000001,5},{751000002,5},{751000003,5},{751000004,5},{751000018,5}]
{2,45}	3	[{1032118,{65,67}},{1032118,{68,62}},{1032118,{29,30}},{1032118,{32,29}},{1032118,{34,30}},{1032118,{68,65}},{1032118,{65,67}},{1032118,{32,33}},{1032118,{35,31}}]	[]	[]
{2,44}	3	[{1032118,{65,67}},{1032118,{68,62}},{1032118,{29,30}},{1032118,{32,29}},{1032118,{34,30}},{1032118,{68,65}},{1032118,{65,67}},{1032118,{32,33}},{1032118,{35,31}}]	[]	[]
{2,43}	3	[{1032117,{65,67}},{1032117,{68,62}},{1032117,{29,30}},{1032117,{32,29}},{1032117,{34,30}},{1032117,{68,65}},{1032117,{65,67}},{1032117,{32,33}},{1032117,{35,31}}]	[]	[]
{2,42}	3	[{1032117,{65,67}},{1032117,{68,62}},{1032117,{29,30}},{1032117,{32,29}},{1032117,{34,30}},{1032117,{68,65}},{1032117,{65,67}},{1032117,{32,33}},{1032117,{35,31}}]	[]	[]
