classid	level	strength	agile	intelligence	stamina	power	magicdefense	rangedefense	meleedefense	hprecover	hprecoverinterval	mprecover	mprecoverinterval	commoncool

3	100	103	82	21	174	0	0	0	0	11	5000	11	5000	1300
3	99	102	82	21	173	0	0	0	0	11	5000	11	5000	1300
3	98	101	81	21	171	0	0	0	0	11	5000	11	5000	1300
3	97	100	80	21	169	0	0	0	0	11	5000	11	5000	1300
3	96	99	79	21	168	0	0	0	0	11	5000	11	5000	1300
3	95	98	78	20	166	0	0	0	0	11	5000	11	5000	1300
3	94	97	78	20	164	0	0	0	0	11	5000	11	5000	1300
3	93	96	77	20	163	0	0	0	0	11	5000	11	5000	1300
3	92	95	76	20	161	0	0	0	0	11	5000	11	5000	1300
3	91	94	75	20	159	0	0	0	0	11	5000	11	5000	1300
3	90	93	74	19	157	0	0	0	0	10	5000	10	5000	1300
3	89	92	74	19	156	0	0	0	0	10	5000	10	5000	1300
3	88	91	73	19	154	0	0	0	0	10	5000	10	5000	1300
3	87	90	72	19	152	0	0	0	0	10	5000	10	5000	1300
3	86	89	71	19	151	0	0	0	0	10	5000	10	5000	1300
3	85	88	70	18	149	0	0	0	0	10	5000	10	5000	1300
3	84	87	70	18	147	0	0	0	0	10	5000	10	5000	1300
3	83	86	69	18	146	0	0	0	0	10	5000	10	5000	1300
3	82	85	68	18	144	0	0	0	0	10	5000	10	5000	1300
3	81	84	67	18	142	0	0	0	0	10	5000	10	5000	1300
3	80	83	66	17	140	0	0	0	0	9	5000	9	5000	1300
3	79	82	66	17	139	0	0	0	0	9	5000	9	5000	1300
3	78	81	65	17	137	0	0	0	0	9	5000	9	5000	1300
3	77	80	64	17	135	0	0	0	0	9	5000	9	5000	1300
3	76	79	63	17	134	0	0	0	0	9	5000	9	5000	1300
3	75	78	62	16	132	0	0	0	0	9	5000	9	5000	1300
3	74	77	62	16	130	0	0	0	0	9	5000	9	5000	1300
3	73	76	61	16	129	0	0	0	0	9	5000	9	5000	1300
3	72	75	60	16	127	0	0	0	0	9	5000	9	5000	1300
3	71	74	59	16	125	0	0	0	0	9	5000	9	5000	1300
3	70	73	58	15	123	0	0	0	0	8	5000	8	5000	1300
3	69	72	58	15	122	0	0	0	0	8	5000	8	5000	1300
3	68	71	57	15	120	0	0	0	0	8	5000	8	5000	1300
3	67	70	56	15	118	0	0	0	0	8	5000	8	5000	1300
3	66	69	55	15	117	0	0	0	0	8	5000	8	5000	1300
3	65	68	54	14	115	0	0	0	0	8	5000	8	5000	1300
3	64	67	54	14	113	0	0	0	0	8	5000	8	5000	1300
3	63	66	53	14	112	0	0	0	0	8	5000	8	5000	1300
3	62	65	52	14	110	0	0	0	0	8	5000	8	5000	1300
3	61	64	51	14	108	0	0	0	0	8	5000	8	5000	1300
3	60	63	50	13	106	0	0	0	0	7	5000	7	5000	1300
