level	notice_range	becount	bereward	reward	notice_count

100	{0,{91,100}}	10	{3000,500}	{2000,300}	20
99	[]	0	{2970,495}	{1980,297}	20
98	{0,{91,100}}	10	{2940,490}	{1960,294}	20
97	[]	0	{2910,485}	{1940,291}	20
96	{0,{91,100}}	10	{2880,480}	{1920,288}	20
95	[]	0	{2850,475}	{1900,285}	20
94	{0,{89,99}}	10	{2820,470}	{1880,282}	20
93	[]	0	{2790,465}	{1860,279}	20
92	{0,{87,97}}	10	{2760,460}	{1840,276}	20
91	[]	0	{2730,455}	{1820,273}	20
90	{0,{85,95}}	10	{2700,450}	{1800,270}	20
89	[]	0	{2670,445}	{1780,267}	20
88	{0,{83,93}}	10	{2640,440}	{1760,264}	20
87	[]	0	{2610,435}	{1740,261}	20
86	{0,{81,91}}	10	{2580,430}	{1720,258}	20
85	[]	0	{2550,425}	{1700,255}	20
84	{0,{79,89}}	10	{2520,420}	{1680,252}	20
83	[]	0	{2490,415}	{1660,249}	20
82	{0,{77,87}}	10	{2460,410}	{1640,246}	20
81	[]	0	{2430,405}	{1620,243}	20
80	{0,{75,85}}	10	{2400,400}	{1600,240}	20
79	[]	0	{2370,395}	{1580,237}	20
78	{0,{73,83}}	10	{2340,390}	{1560,234}	20
77	[]	0	{2310,385}	{1540,231}	20
76	{0,{71,81}}	10	{2280,380}	{1520,228}	20
75	[]	0	{2250,375}	{1500,225}	20
74	{0,{69,79}}	10	{2220,370}	{1480,222}	20
73	[]	0	{2190,365}	{1460,219}	20
72	{0,{67,77}}	10	{2160,360}	{1440,216}	20
71	[]	0	{2130,355}	{1420,213}	20
70	{0,{65,75}}	10	{2100,350}	{1400,210}	20
69	[]	0	{2070,345}	{1380,207}	20
68	{0,{63,73}}	10	{2040,340}	{1360,204}	20
67	[]	0	{2010,335}	{1340,201}	20
66	{0,{61,71}}	10	{1980,330}	{1320,198}	20
65	[]	0	{1950,325}	{1300,195}	20
64	{0,{59,69}}	10	{1920,320}	{1280,192}	20
63	[]	0	{1890,315}	{1260,189}	20
62	{0,{57,67}}	10	{1860,310}	{1240,186}	20
61	[]	0	{1830,305}	{1220,183}	20
60	{0,{55,65}}	10	{1800,300}	{1200,180}	20
59	[]	0	{1770,295}	{1180,177}	20
58	{0,{53,63}}	10	{1740,290}	{1160,174}	20
57	[]	0	{1710,285}	{1140,171}	20
56	{0,{51,61}}	10	{1680,280}	{1120,168}	20
55	[]	0	{1650,275}	{1100,165}	20
54	{0,{49,59}}	10	{1620,270}	{1080,162}	20
53	[]	0	{1590,265}	{1060,159}	20
52	{0,{47,57}}	10	{1560,260}	{1040,156}	20
51	[]	0	{1530,255}	{1020,153}	20
50	{0,{45,55}}	10	{1500,250}	{1000,150}	20
49	[]	0	{1470,245}	{980,147}	20
48	{0,{43,53}}	10	{1440,240}	{960,144}	20
47	[]	0	{1410,235}	{940,141}	20
46	{0,{41,51}}	10	{1380,230}	{920,138}	20
45	[]	0	{1350,225}	{900,135}	20
44	{0,{39,49}}	10	{1320,220}	{880,132}	20
43	[]	0	{1290,215}	{860,129}	20
42	{0,{37,47}}	10	{1260,210}	{840,126}	20
41	[]	0	{1230,205}	{820,123}	20
40	{0,{35,45}}	10	{1200,200}	{800,120}	20
39	[]	0	{1170,195}	{780,117}	20
38	{0,{33,43}}	10	{1140,190}	{760,114}	20
37	[]	0	{1110,185}	{740,111}	20
36	{0,{31,41}}	10	{1080,180}	{720,108}	20
35	[]	0	{1050,175}	{700,105}	20
34	{0,{29,39}}	10	{1020,170}	{680,102}	20
33	[]	0	{990,165}	{660,99}	20
32	{0,{27,37}}	10	{960,160}	{640,96}	20
31	[]	0	{930,155}	{620,93}	20
30	{0,{25,35}}	10	{900,150}	{600,90}	20
29	[]	0	{870,145}	{580,87}	20
28	{0,{23,33}}	10	{840,140}	{560,84}	20
27	[]	0	{810,135}	{540,81}	20
26	{0,{21,31}}	10	{780,130}	{520,78}	20
25	[]	0	{750,125}	{500,75}	20
24	{0,{21,29}}	10	{720,120}	{480,72}	20
23	[]	0	{690,115}	{460,69}	20
22	{0,{21,27}}	10	{660,110}	{440,66}	20
21	[]	0	{630,105}	{420,63}	20
20	[]	10	{600,100}	{400,60}	20
19	[]	0	{570,95}	{380,57}	20
18	[]	10	{540,90}	{360,54}	20
17	[]	0	{510,85}	{340,51}	20
16	[]	10	{480,80}	{320,48}	20
15	[]	0	{450,75}	{300,45}	20
14	[]	10	{420,70}	{280,42}	20
13	[]	0	{390,65}	{260,39}	20
12	[]	10	{360,60}	{240,36}	20
11	[]	0	{330,55}	{220,33}	20
10	[]	10	{300,50}	{200,30}	20
9	[]	0	{270,45}	{180,27}	20
8	[]	10	{240,40}	{160,24}	20
7	[]	0	{210,35}	{140,21}	20
6	[]	10	{180,30}	{120,18}	20
5	[]	0	{150,25}	{100,15}	20
4	[]	10	{120,20}	{80,12}	20
3	[]	0	{90,15}	{60,9}	20
2	[]	10	{60,10}	{40,6}	20
1	[]	0	{30,5}	{20,3}	20
