id	name	level	npcflags	hpmax	mpmax	attacktype	power	commoncool	immunes	hitrate	dodge	criticalrate	criticaldestroyrate	toughness	debuff_resist	walkspeed	runspeed	exp	min_money	max_money	skills	skillrates	defense	hatredratio	alert_radius	bounding_radius	script_hatred	script_skill	displayid	walkdelaytime	faction	death_share	script_baseattr

1010001	狡兔	6	2	12	100	3	15	1500	{50,50,-50}	900	0	50	500	0	{0,0,0,0,0}	4	8	18	0	0	[{560000001,1}]	0	{0,0,0}	1	0	20	1	[]	1010001	4000	2	1	[]
1010002	鬣狗	10	2	46	100	1	20	1500	{50,50,-50}	900	0	50	500	0	{0,0,0,0,0}	4	8	30	0	0	[{560000001,1}]	0	{0,0,0}	1	0	20	1	[]	410000042	4000	2	1	[]
1020001	土狼	12	2	65	100	3	25	1500	{50,50,-50}	900	0	50	500	0	{0,0,0,0,0}	4	8	36	0	0	[{560000001,1}]	0	{0,0,0}	1	0	20	1	[]	410000024	4000	2	1	[]
1020002	猞猁	14	2	147	100	3	31	1500	{50,50,-50}	900	0	50	500	0	{0,0,0,0,0}	4	8	42	0	0	[{560000001,1}]	0	{0,0,0}	1	0	20	1	[]	410000053	4000	2	1	[]
1030901	金灵	35	2	837	100	3	85	1500	{50,50,-50}	905	5	50	505	5	{0,0,0,0,0}	4	8	105	0	0	[{560000001,1}]	0	{0,0,0}	1	0	40	1	[]	410000056	0	2	1	[]
1030902	木妖	35	2	837	100	3	85	1500	{50,50,-50}	905	5	50	505	5	{0,0,0,0,0}	4	8	105	0	0	[{560000001,1}]	0	{0,0,0}	1	0	40	1	[]	410000056	0	2	1	[]
1030903	水魂	35	2	837	100	3	85	1500	{50,50,-50}	905	5	50	505	5	{0,0,0,0,0}	4	8	105	0	0	[{560000001,1}]	0	{0,0,0}	1	0	40	1	[]	410000056	0	2	1	[]
1030904	火鬼	35	2	837	100	3	85	1500	{50,50,-50}	905	5	50	505	5	{0,0,0,0,0}	4	8	105	0	0	[{560000001,1}]	0	{0,0,0}	1	0	40	1	[]	410000056	0	2	1	[]
1030905	土傀	35	2	837	100	3	85	1500	{50,50,-50}	905	5	50	505	5	{0,0,0,0,0}	4	8	105	0	0	[{560000001,1}]	0	{0,0,0}	1	0	40	1	[]	410000056	0	2	1	[]
1031001	金灵	45	2	2125	100	3	200	1500	{50,50,-50}	1036	145	50	629	138	{0,0,0,0,0}	4	8	135	0	0	[{560000001,1}]	0	{0,0,0}	1	0	40	1	[]	410000008	0	2	1	[]
1031002	木妖	45	2	2125	100	3	200	1500	{50,50,-50}	1036	145	50	629	138	{0,0,0,0,0}	4	8	135	0	0	[{560000001,1}]	0	{0,0,0}	1	0	40	1	[]	410000008	0	2	1	[]
1031003	水魂	45	2	2125	100	3	200	1500	{50,50,-50}	1036	145	50	629	138	{0,0,0,0,0}	4	8	135	0	0	[{560000001,1}]	0	{0,0,0}	1	0	40	1	[]	410000008	0	2	1	[]
1031004	火鬼	45	2	2125	100	3	200	1500	{50,50,-50}	1036	145	50	629	138	{0,0,0,0,0}	4	8	135	0	0	[{560000001,1}]	0	{0,0,0}	1	0	40	1	[]	410000008	0	2	1	[]
1031005	土傀	45	2	2125	100	3	200	1500	{50,50,-50}	1036	145	50	629	138	{0,0,0,0,0}	4	8	135	0	0	[{560000001,1}]	0	{0,0,0}	1	0	40	1	[]	410000008	0	2	1	[]
1031101	金灵	55	2	3599	100	3	300	1500	{50,50,-50}	1185	301	50	771	287	{0,0,0,0,0}	4	8	165	0	0	[{560000001,1}]	0	{0,0,0}	1	0	40	1	[]	410000016	0	2	1	[]
1031102	木妖	55	2	3599	100	3	300	1500	{50,50,-50}	1185	301	50	771	287	{0,0,0,0,0}	4	8	165	0	0	[{560000001,1}]	0	{0,0,0}	1	0	40	1	[]	410000016	0	2	1	[]
1031103	水魂	55	2	3599	100	3	300	1500	{50,50,-50}	1185	301	50	771	287	{0,0,0,0,0}	4	8	165	0	0	[{560000001,1}]	0	{0,0,0}	1	0	40	1	[]	410000016	0	2	1	[]
1031104	火鬼	55	2	3599	100	3	300	1500	{50,50,-50}	1185	301	50	771	287	{0,0,0,0,0}	4	8	165	0	0	[{560000001,1}]	0	{0,0,0}	1	0	40	1	[]	410000016	0	2	1	[]
1031105	土傀	55	2	3599	100	3	300	1500	{50,50,-50}	1185	301	50	771	287	{0,0,0,0,0}	4	8	165	0	0	[{560000001,1}]	0	{0,0,0}	1	0	40	1	[]	410000016	0	2	1	[]
1031201	金灵	65	2	5506	100	3	522	1500	{50,50,-50}	1354	476	50	933	455	{0,0,0,0,0}	4	8	195	0	0	[{560000001,1}]	0	{0,0,0}	1	0	40	1	[]	410000047	0	2	1	[]
