ruleid	name	roleflag	itemsdroprate

10001	10级成长礼包掉落20级成长礼包	1	[{10012001,1}]
10002	10级成长礼包掉落神行鞋	1	[{19000301,1,3}]
10003	10级成长礼包掉落水月项链	1	[{12010911,1}]
10004	20级成长礼包掉落30级成长礼包	1	[{10013001,1}]
10005	20级成长礼包掉落1.5倍经验丹	1	[{19010281,1}]
10006	20级成长礼包掉落水月玉镯	1	[{12011111,1}]
10007	30级成长礼包掉落40级成长礼包	1	[{10014001,1}]
10008	30级成长礼包掉落凡品星之砂	1	[{13010011,1,3}]
10009	30级成长礼包掉落水月灵戒	1	[{12011711,1}]
10101	1~29级在线奖励 凡品回血露*20	1	[{11010101,1,20}]
10102	1~29级在线奖励 凡品回法露*20	1	[{11030101,1,20}]
10103	1~29级在线奖励 神行鞋*2	1	[{19000301,1,2}]
10104	1~29级在线奖励 凡品攻击丹*1	1	[{11050411,1,1}]
10105	1~29级在线奖励 九转紫金丹*1	1	[{19000271,1,1}]
10106	1~29级在线奖励 1.5倍经验丹*1	1	[{19010281,1,1}]
10107	1~29级在线奖励 蓝水晶*2	1	[{13110011,1,2}]
10108	1~29级在线奖励 凡品灵力丹*1	1	[{19010121,1,1}]
10109	1~29级在线奖励 急急如律令*1	1	[{19000711,1,1}]
10110	1~29级在线奖励 凡品血参*1	1	[{11020201,1,1}]
10111	1~29级在线奖励 凡品麝香*1	1	[{11040601,1,1}]
10112	1~29级在线奖励 凡品礼券符*1	1	[{19010011,1,1}]
10201	30~49级在线奖励 中品回血露*20	1	[{11010201,1,20}]
10202	30~49级在线奖励 中品回法露*20	1	[{11030201,1,20}]
10203	30~49级在线奖励 神行鞋*2	1	[{19000301,1,2}]
10204	30~49级在线奖励 凡品攻击丹*1	1	[{11050411,1,1}]
10205	30~49级在线奖励 九转紫金丹*1	1	[{19000271,1,1}]
10206	30~49级在线奖励 1.5倍经验丹*1	1	[{19010281,1,1}]
10207	30~49级在线奖励 蓝水晶*2	1	[{13110011,1,2}]
10208	30~49级在线奖励 凡品灵力丹*1	1	[{19010121,1,1}]
10209	30~49级在线奖励 急急如律令*1	1	[{19000711,1,1}]
10210	30~49级在线奖励 中品血参*1	1	[{11020301,1,1}]
10211	30~49级在线奖励 中品麝香*1	1	[{11040701,1,1}]
10212	30~49级在线奖励 凡品礼券符*1	1	[{19010011,1,1}]
10301	50~69级在线奖励 上品回血露*20	1	[{11010301,1,20}]
10302	50~69级在线奖励 上品回法露*20	1	[{11030301,1,20}]
10303	50~69级在线奖励 神行鞋*2	1	[{19000301,1,2}]
10304	50~69级在线奖励 凡品攻击丹*1	1	[{11050411,1,1}]
10305	50~69级在线奖励 九转紫金丹*1	1	[{19000271,1,1}]
10306	50~69级在线奖励 1.5倍经验丹*1	1	[{19010281,1,1}]
10307	50~69级在线奖励 蓝水晶*4	1	[{13110011,1,4}]
10308	50~69级在线奖励 凡品灵力丹*1	1	[{19010121,1,1}]
10309	50~69级在线奖励 急急如律令*1	1	[{19000711,1,1}]
10310	50~69级在线奖励 上品血参*1	1	[{11020401,1,1}]
10311	50~69级在线奖励 上品麝香*1	1	[{11040801,1,1}]
10312	50~69级在线奖励 凡品礼券符*1	1	[{19010011,1,1}]
10401	70~100级在线奖励 特级回血露*20	1	[{11010401,1,20}]
10402	70~100级在线奖励 特级回法露*20	1	[{11030401,1,20}]
10403	70~100级在线奖励 神行鞋*2	1	[{19000301,1,2}]
10404	70~100级在线奖励 凡品攻击丹*1	1	[{11050411,1,1}]
10405	70~100级在线奖励 九转紫金丹*1	1	[{19000271,1,1}]
10406	70~100级在线奖励 1.5倍经验丹*1	1	[{19010281,1,1}]
10407	70~100级在线奖励 蓝水晶*5	1	[{13110011,1,5}]
10408	70~100级在线奖励 凡品灵力丹*1	1	[{19010121,1,1}]
10409	70~100级在线奖励 急急如律令*1	1	[{19000711,1,1}]
10410	70~100级在线奖励 特级血参*1	1	[{11020501,1,1}]
10411	70~100级在线奖励 特级麝香*1	1	[{11040901,1,1}]
10412	70~100级在线奖励 凡品礼券符*1	1	[{19010011,1,1}]
10501	10活跃度宝箱 神行鞋*3	1	[{19000301,1,3}]
10601	40活跃度宝箱 神行鞋*3	1	[{19000301,1,3}]
10602	40活跃度宝箱 九转紫金丹*2	1	[{19000271,1,2}]
10701	70活跃度宝箱 神行鞋*3	1	[{19000301,1,3}]
10702	70活跃度宝箱 九转紫金丹*2	1	[{19000271,1,2}]
10703	70活跃度宝箱 1.5倍经验丹*1	1	[{19010281,1,1}]
10704	70活跃度宝箱 凡品血参*1	1	[{11020201,1,1}]
10801	100活跃度宝箱 神行鞋*3	1	[{19000301,1,3}]
10802	100活跃度宝箱 九转紫金丹*2	1	[{19000271,1,2}]
10803	100活跃度宝箱 1.5倍经验丹*1	1	[{19010281,1,1}]
10804	100活跃度宝箱 凡品血参*1	1	[{11020201,1,1}]
10805	100活跃度宝箱 凡品冰翡翠*2	1	[{13110031,1,2}]
10806	100活跃度宝箱 中品灵符*1	1	[{19000461,1,1}]
10807	100活跃度宝箱 凡品铜钱符*1	1	[{19010080,1,1}]
10901	120活跃度宝箱 神行鞋*3	1	[{19000301,1,3}]
10902	120活跃度宝箱 九转紫金丹*2	1	[{19000271,1,2}]
10903	120活跃度宝箱 1.5倍经验丹*1	1	[{19010281,1,1}]
10904	120活跃度宝箱 凡品血参*1	1	[{11020201,1,1}]
10905	120活跃度宝箱 凡品冰翡翠*2	1	[{13110031,1,2}]
10906	120活跃度宝箱 凡品水珍珠*1	1	[{13110061,1,1}]
10907	120活跃度宝箱 中品灵符*2	1	[{19000461,1,2}]
10908	120活跃度宝箱 凡品铜钱符*2	1	[{19010080,1,2}]
11001	10级成长礼包 凡品生血丸*20	1	[{11010101,1,20}]
11002	10级成长礼包 凡品回法丹*20	1	[{11030101,1,20}]
11003	10级成长礼包 神行鞋*5	1	[{19000301,1,5}]
11004	10级成长礼包 水月项链	1	[{12010911,1,1}]
11005	10级成长礼包 20级成长礼包	1	[{10012001,1}]
11101	20级成长礼包 九转紫金丹*2	1	[{19000271,1,2}]
11102	20级成长礼包 1.5倍经验丹	1	[{19010281,1,1}]
11103	20级成长礼包 小喇叭*2	1	[{19000491,1,2}]
11104	20级成长礼包 神行鞋*5	1	[{19000301,1,5}]
11105	20级成长礼包 水月玉镯	1	[{12011111,1,1}]
11106	20级成长礼包 30级成长礼包	1	[{10013001,1}]
11201	30级成长礼包 神行鞋*10	1	[{19000301,1,10}]
11202	30级成长礼包 凡品星之砂*2	1	[{13010011,1,2}]
11203	30级成长礼包 凡品还魂丹*1	1	[{11020201,1,1}]
11204	30级成长礼包 凡品龙首丹*1	1	[{11040601,1,1}]
11205	30级成长礼包 青莲古戒	1	[{12011711,1,1}]
11206	30级成长礼包 40级成长礼包	1	[{10014001,1}]
11207	30级成长礼包 凡品紫金锥*2	1	[{13050011,1,2}]
11209	30级成长礼包 五品莲花	1	[{19000461,1,1}]
11301	40级成长礼包 背包扩充卡*1	1	[{19010241,1,1}]
11302	40级成长礼包 凡品星之砂*3	1	[{13010011,1,3}]
11303	40级成长礼包 中品星之砂*2	1	[{13010021,1,2}]
11304	40级成长礼包 3星保护石*1	1	[{13020031,1,1}]
11305	40级成长礼包 九转紫金丹*3	1	[{19000271,1,3}]
11306	40级成长礼包 神行鞋*10	1	[{19000301,1,10}]
11307	40级成长礼包 凡品打孔石*3	1	[{13050011,1,3}]
11308	40级成长礼包 礼券*30	1	[{19010011,1,3}]
11309	40级成长礼包 1级体质宝石*5	1	[{14000411,1,5}]
11310	40级成长礼包 绑定钱币*20000	1	[{19010081,1,2}]
11311	40级成长礼包 免罪令*2	1	[{19000691,1,2}]
11312	40级成长礼包 50级成长礼包	1	[{10015001,1}]
11313	40级成长礼包 凡品兽灵丹*1	1	[{13160011,1}]
11401	50级成长礼包 3星保护石*3	1	[{13020031,1,3}]
11402	50级成长礼包 凡品星之砂*3	1	[{13010011,1,3}]
11403	50级成长礼包 中品星之砂*3	1	[{13010021,1,3}]
11404	50级成长礼包 九转紫金丹*5	1	[{19000271,1,5}]
11405	50级成长礼包 1.5倍经验丹*5	1	[{19010281,1,5}]
11406	50级成长礼包 神行鞋*20	1	[{19000301,1,20}]
11407	50级成长礼包 1级体质灵石*5	1	[{14000411,1,5}]
11408	50级成长礼包 礼券*60	1	[{19010011,1,6}]
11409	50级成长礼包 绑定钱币*50000	1	[{19010081,1,5}]
11410	50级成长礼包 60级成长礼包	1	[{10016001,1}]
11411	50级成长礼包 宠物资质提升符*1	1	[{13120011,1}]
11501	60级成长礼包 3星保护石*5	1	[{13020031,1,5}]
11502	60级成长礼包 凡品星之砂*5	1	[{13010011,1,5}]
11503	60级成长礼包 中品星之砂*5	1	[{13010021,1,5}]
11504	60级成长礼包 九转紫金丹*10	1	[{19000271,1,10}]
11505	60级成长礼包 1.5倍经验丹*8	1	[{19010281,1,8}]
11506	60级成长礼包 神行鞋*30	1	[{19000301,1,30}]
11507	50级成长礼包 1级体质灵石*10	1	[{14000411,1,10}]
11508	60级成长礼包 礼券*90	1	[{19010011,1,9}]
11509	60级成长礼包 绑定钱币*100000	1	[{19010081,1,10}]
11510	60级成长礼包 宠物进化丹*1	1	[{13150011,1,1}]
11601	礼券*50	1	[{19010011,1,5}]
11602	绑定钱币*10000	1	[{19010081,1,1}]
11603	1.5倍经验丹*2	1	[{19010281,1,2}]
11604	凡品打孔石*2	1	[{13050011,1,2}]
11605	凡品星之砂*3	1	[{13010011,1,3}]
11606	中品星之砂*3	1	[{13010021,1,3}]
11607	神行鞋*5	1	[{19000301,1,5}]
11608	九转紫金丹*2	1	[{19000271,1,2}]
11701	神行鞋*10	1	[{19000301,1,10}]
11702	小喇叭*5	1	[{19000491,1,5}]
11703	背包扩充卡*1	1	[{19010241,1,1}]
11704	中品星之砂*3	1	[{13010021,1,3}]
11705	中品开运石*5	1	[{13030021,1,5}]
11706	3星保护石*5	1	[{13020031,1,5}]
11707	凡品冰翡翠*2	1	[{13110031,1,2}]
11708	紫水晶*4	1	[{13110021,1,4}]
11709	蓝水晶*6	1	[{13110011,1,6}]
11801	中品掉落	1	[{19010080,450},{19010380,750},{19010120,450},{11050710,150},{11050810,150},{11050910,150},{13040010,300},{13050020,30},{14000110,60},{14000210,60},{14000310,60},{14000410,60},{14000510,60},{14000610,60},{14000710,60},{14000810,60},{14000910,60},{14001010,60},{14001110,60},{14001210,60},{14001310,60},{14000120,120},{14000220,120},{14000320,120},{14000420,120},{14000520,120},{14000620,120},{14000720,120},{14000820,120},{14000920,120},{14001020,120},{14001120,120},{14001220,120},{14001320,90},{13010010,200},{13010020,80},{13030020,600},{19010660,60},{13150010,60},{13020030,270},{13080010,600},{19000580,90},{12351040,6},{12351140,3},{12351240,6},{12351340,3},{12351440,6},{12351540,3},{12351640,6},{12351740,2}]
11802	上品掉落	1	[{19010090,240},{19010390,900},{19010120,900},{11051010,150},{11051110,150},{11051210,150},{13040010,750},{13050020,210},{14000120,330},{14000220,330},{14000320,330},{14000420,330},{14000520,330},{14000620,330},{14000720,330},{14000820,330},{14000920,380},{14001020,380},{14001120,380},{14001220,380},{14001320,380},{14000130,120},{14000230,120},{14000330,120},{14000430,120},{14000530,120},{14000630,120},{14000730,120},{14000830,120},{14000930,150},{14001030,150},{14001130,150},{14001230,150},{14001330,150},{13010030,120},{13030030,400},{13020040,500},{19010660,120},{13150010,120},{13080020,600},{19000600,105},{12601040,5},{12601140,4},{12601240,5},{12601340,4},{12601440,5},{12601540,4},{12601640,5},{12601740,4}]
11804	普通掉落绑定	1	[{19010081,180},{19010381,274},{19010121,150},{11050411,90},{11050511,90},{11050611,90},{14000111,90},{14000211,90},{14000311,90},{14000411,90},{14000511,90},{14000611,90},{14000711,90},{14000811,90},{14000911,90},{14001011,90},{14001111,90},{14001211,90},{14001311,90},{14000421,120},{14000521,120},{14000621,120},{14000721,120},{14000821,120},{13170031,100},{13140011,100},{13030021,75},{19010661,60},{13150011,20}]
