id	enchant	recast	recast_gold	enchant_gold	convert_gold	property_count

13	[13040020,13040021]	[13040010,13040011]	18	28	2000	[{1,65},{2,30},{3,5}]
11	[13040030,13040031]	[13040010,13040011]	18	28	2000	[{1,65},{2,30},{3,5}]
9	[13040030,13040031]	[13040010,13040011]	18	28	2000	[{1,65},{2,30},{3,5}]
8	[13040020,13040021]	[13040010,13040011]	18	28	2000	[{1,65},{2,30},{3,5}]
7	[13040020,13040021]	[13040010,13040011]	18	28	2000	[{1,65},{2,30},{3,5}]
6	[13040020,13040021]	[13040010,13040011]	18	28	2000	[{1,65},{2,30},{3,5}]
5	[13040030,13040031]	[13040010,13040011]	18	28	2000	[{1,65},{2,30},{3,5}]
4	[13040030,13040031]	[13040010,13040011]	18	28	2000	[{1,65},{2,30},{3,5}]
3	[13040030,13040031]	[13040010,13040011]	18	28	2000	[{1,65},{2,30},{3,5}]
2	[13040030,13040031]	[13040010,13040011]	18	28	2000	[{1,65},{2,30},{3,5}]
1	[13040020,13040021]	[13040010,13040011]	18	28	2000	[{1,65},{2,30},{3,5}]
