id	property	priority	max_count	group	min_value	max_value	min_priority	max_priority	max_quality_range

13	magicpower	10	1	16	5	50	20	1	{41,50}
13	rangepower	10	1	15	5	50	20	1	{41,50}
13	meleepower	10	1	14	5	50	20	1	{41,50}
13	criticaldestroyrate	10	1	13	7	75	20	1	{61,75}
13	criticalrate	15	1	12	7	75	20	1	{61,75}
13	hitrate	15	1	11	7	75	20	1	{61,75}
13	agile_effect	10	1	10	9	91	20	1	{76,91}
13	intelligence_effect	10	1	9	9	91	20	1	{76,91}
13	strength_effect	10	1	8	9	91	20	1	{76,91}
11	magicpower	10	1	16	5	50	20	1	{41,50}
11	rangepower	10	1	15	5	50	20	1	{41,50}
11	meleepower	10	1	14	5	50	20	1	{41,50}
11	criticaldestroyrate	10	1	13	7	75	20	1	{61,75}
11	criticalrate	15	1	12	7	75	20	1	{61,75}
11	hitrate	15	1	11	7	75	20	1	{61,75}
11	agile_effect	10	1	10	9	91	20	1	{76,91}
11	intelligence_effect	10	1	9	9	91	20	1	{76,91}
11	strength_effect	10	1	8	9	91	20	1	{76,91}
9	magicpower	10	1	16	5	50	20	1	{41,50}
9	rangepower	10	1	15	5	50	20	1	{41,50}
9	meleepower	10	1	14	5	50	20	1	{41,50}
9	criticaldestroyrate	10	1	13	7	75	20	1	{61,75}
9	criticalrate	15	1	12	7	75	20	1	{61,75}
9	hitrate	15	1	11	7	75	20	1	{61,75}
9	agile_effect	10	1	10	9	91	20	1	{76,91}
9	intelligence_effect	10	1	9	9	91	20	1	{76,91}
9	strength_effect	10	1	8	9	91	20	1	{76,91}
8	magicpower	10	1	16	5	50	20	1	{41,50}
8	rangepower	10	1	15	5	50	20	1	{41,50}
8	meleepower	10	1	14	5	50	20	1	{41,50}
8	criticaldestroyrate	10	1	13	7	75	20	1	{61,75}
8	criticalrate	15	1	12	7	75	20	1	{61,75}
8	hitrate	15	1	11	7	75	20	1	{61,75}
8	agile_effect	10	1	10	9	91	20	1	{76,91}
8	intelligence_effect	10	1	9	9	91	20	1	{76,91}
8	strength_effect	10	1	8	9	91	20	1	{76,91}
7	magicpower	10	1	16	5	50	20	1	{41,50}
7	rangepower	10	1	15	5	50	20	1	{41,50}
7	meleepower	10	1	14	5	50	20	1	{41,50}
7	criticaldestroyrate	10	1	13	7	75	20	1	{61,75}
7	criticalrate	15	1	12	7	75	20	1	{61,75}
7	hitrate	15	1	11	7	75	20	1	{61,75}
7	agile_effect	10	1	10	9	91	20	1	{76,91}
7	intelligence_effect	10	1	9	9	91	20	1	{76,91}
7	strength_effect	10	1	8	9	91	20	1	{76,91}
6	rangeimmunity	3	1	7	7	75	20	1	{61,75}
6	magicimmunity	3	1	7	7	75	20	1	{61,75}
6	meleeimmunity	3	1	7	7	75	20	1	{61,75}
6	toughness	10	1	6	7	75	20	1	{61,75}
6	dodge	10	1	5	7	75	20	1	{61,75}
6	magicdefense	15	1	4	4	50	20	1	{41,50}
6	rangedefense	15	1	3	4	50	20	1	{41,50}
6	meleedefense	15	1	2	4	50	20	1	{41,50}
6	hpmax	15	1	17	40	500	20	1	{410,500}
6	stamina_effect	10	1	1	8	91	20	1	{76,91}
5	rangeimmunity	3	1	7	7	75	20	1	{61,75}
5	magicimmunity	3	1	7	7	75	20	1	{61,75}
5	meleeimmunity	3	1	7	7	75	20	1	{61,75}
5	toughness	10	1	6	7	75	20	1	{61,75}
5	dodge	10	1	5	7	75	20	1	{61,75}
5	magicdefense	15	1	4	4	50	20	1	{41,50}
5	rangedefense	15	1	3	4	50	20	1	{41,50}
5	meleedefense	15	1	2	4	50	20	1	{41,50}
5	hpmax	15	1	17	40	500	20	1	{410,500}
5	stamina_effect	10	1	1	8	91	20	1	{76,91}
4	rangeimmunity	3	1	7	7	75	20	1	{61,75}
4	magicimmunity	3	1	7	7	75	20	1	{61,75}
4	meleeimmunity	3	1	7	7	75	20	1	{61,75}
4	toughness	10	1	6	7	75	20	1	{61,75}
4	dodge	10	1	5	7	75	20	1	{61,75}
4	magicdefense	15	1	4	4	50	20	1	{41,50}
4	rangedefense	15	1	3	4	50	20	1	{41,50}
4	meleedefense	15	1	2	4	50	20	1	{41,50}
4	hpmax	15	1	17	40	500	20	1	{410,500}
4	stamina_effect	10	1	1	8	91	20	1	{76,91}
3	rangeimmunity	3	1	7	7	75	20	1	{61,75}
3	magicimmunity	3	1	7	7	75	20	1	{61,75}
3	meleeimmunity	3	1	7	7	75	20	1	{61,75}
3	toughness	10	1	6	7	75	20	1	{61,75}
3	dodge	10	1	5	7	75	20	1	{61,75}
3	magicdefense	15	1	4	4	50	20	1	{41,50}
3	rangedefense	15	1	3	4	50	20	1	{41,50}
3	meleedefense	15	1	2	4	50	20	1	{41,50}
3	hpmax	15	1	17	40	500	20	1	{410,500}
3	stamina_effect	10	1	1	8	91	20	1	{76,91}
2	rangeimmunity	3	1	7	7	75	20	1	{61,75}
2	magicimmunity	3	1	7	7	75	20	1	{61,75}
2	meleeimmunity	3	1	7	7	75	20	1	{61,75}
2	toughness	10	1	6	7	75	20	1	{61,75}
2	dodge	10	1	5	7	75	20	1	{61,75}
2	magicdefense	15	1	4	4	50	20	1	{41,50}
2	rangedefense	15	1	3	4	50	20	1	{41,50}
2	meleedefense	15	1	2	4	50	20	1	{41,50}
2	hpmax	15	1	17	40	500	20	1	{410,500}
2	stamina_effect	10	1	1	8	91	20	1	{76,91}
1	rangeimmunity	3	1	7	7	75	20	1	{61,75}
1	magicimmunity	3	1	7	7	75	20	1	{61,75}
1	meleeimmunity	3	1	7	7	75	20	1	{61,75}
1	toughness	10	1	6	7	75	20	1	{61,75}
1	dodge	10	1	5	7	75	20	1	{61,75}
1	magicdefense	15	1	4	4	50	20	1	{41,50}
1	rangedefense	15	1	3	4	50	20	1	{41,50}
1	meleedefense	15	1	2	4	50	20	1	{41,50}
1	hpmax	15	1	17	40	500	20	1	{410,500}
1	stamina_effect	10	1	1	8	91	20	1	{76,91}
