id	itemlist	brdid

{loot_rules_gift,10013101}	[13110061]	1149
{loot_rules_gift,10036301}	[12351041,12351141,12351241,12351341,12351441,12351541,12351641,12351741]	1149
{refine_system,17000101}	[]	152
{refine_system,17000091}	[]	152
{refine_system,16000531}	[]	152
{refine_system,12600731}	[]	151
{refine_system,12600631}	[]	151
{refine_system,12600531}	[]	151
{refine_system,12600431}	[]	151
{refine_system,12600331}	[]	151
{refine_system,12600231}	[]	151
{refine_system,12600131}	[]	151
{refine_system,12601731}	[]	151
{refine_system,12601631}	[]	151
{refine_system,12601531}	[]	151
{refine_system,12601431}	[]	151
{refine_system,12601331}	[]	151
{refine_system,12601231}	[]	151
{refine_system,12601131}	[]	151
{refine_system,12601031}	[]	151
{refine_system,12350731}	[]	151
{refine_system,12350631}	[]	151
{refine_system,12350531}	[]	151
{refine_system,12350431}	[]	151
{refine_system,12350331}	[]	151
{refine_system,12350231}	[]	151
{refine_system,12350131}	[]	151
{refine_system,12351731}	[]	151
{refine_system,12351631}	[]	151
{refine_system,12351531}	[]	151
{refine_system,12351431}	[]	151
{refine_system,12351331}	[]	151
{refine_system,12351231}	[]	151
{refine_system,12351131}	[]	151
{refine_system,12351031}	[]	151
{refine_system,17000100}	[]	152
{refine_system,17000090}	[]	152
{refine_system,16000530}	[]	152
{refine_system,12600730}	[]	151
{refine_system,12600630}	[]	151
{refine_system,12600530}	[]	151
{refine_system,12600430}	[]	151
{refine_system,12600330}	[]	151
{refine_system,12600230}	[]	151
{refine_system,12600130}	[]	151
{refine_system,12601730}	[]	151
{refine_system,12601630}	[]	151
{refine_system,12601530}	[]	151
{refine_system,12601430}	[]	151
{refine_system,12601330}	[]	151
{refine_system,12601230}	[]	151
{refine_system,12601130}	[]	151
{refine_system,12601030}	[]	151
{refine_system,12350730}	[]	151
{refine_system,12350630}	[]	151
{refine_system,12350530}	[]	151
{refine_system,12350430}	[]	151
{refine_system,12350330}	[]	151
{refine_system,12350230}	[]	151
{refine_system,12350130}	[]	151
{refine_system,12351730}	[]	151
{refine_system,12351630}	[]	151
{refine_system,12351530}	[]	151
{refine_system,12351430}	[]	151
{refine_system,12351330}	[]	151
{refine_system,12351230}	[]	151
{refine_system,12351130}	[]	151
{refine_system,12351030}	[]	151
{boss_loot,1801002}	[13080020,13080010,13030020,12600130,12600230,12600330,12600430,12600530,12600630,12600730]	76
{boss_loot,1800906}	[13080020,13080010,13030020,12600130,12600230,12600330,12600430,12600530,12600630,12600730]	76
{boss_loot,1800804}	[13080020,13080010,13030020,12600130,12600230,12600330,12600430,12600530,12600630,12600730]	76
{boss_loot,1800704}	[13080020,13080010,13030020,12600130,12600230,12600330,12600430,12600530,12600630,12600730]	76
{boss_loot,1800602}	[13080010,13030020,12600130,12600230,12600330,12600430,12600530,12600630,12600730]	76
{boss_loot,1800505}	[13080010,13030020,12600130,12600230,12600330,12600430,12600530,12600630,12600730]	76
{boss_loot,1800403}	[13080010,13030020,12600130,12600230,12600330,12600430,12600530,12600630,12600730]	76
{boss_loot,1800305}	[13080010,13030020,12600130,12600230,12600330,12600430,12600530,12600630,12600730]	76
{boss_loot,1800202}	[13080010,13030020,12600130,12600230,12600330,12600430,12600530,12600630,12600730]	76
{boss_loot,1800104}	[13080010,13030020,12600130,12600230,12600330,12600430,12600530,12600630,12600730]	76
{boss_loot,1703002}	[12351530,12351730,12351230,12601530,12601730,12601230]	76
{boss_loot,1702702}	[12351530,12351730,12351230,12601530,12601730,12601230]	76
{boss_loot,1702402}	[12351530,12351730,12351230,12601530,12601730,12601230]	76
{boss_loot,1702102}	[12351530,12351730,12351230,12601530,12601730,12601230]	76
{boss_loot,1701802}	[12351530,12351730,12351230,12601530,12601730,12601230]	76
{boss_loot,1701502}	[12351530,12351730,12351230,12601530,12601730,12601230]	76
