equipid	needitem	needitemcount	needmoney	resultid

12701731	[13110050,13110051]	80	120000	12801731
12701730	[13110050,13110051]	80	120000	12801730
12701631	[13110050,13110051]	80	120000	12801631
12701630	[13110050,13110051]	80	120000	12801630
12701531	[13110050,13110051]	80	120000	12801531
12701530	[13110050,13110051]	80	120000	12801530
12701431	[13110050,13110051]	80	120000	12801431
12701430	[13110050,13110051]	80	120000	12801430
12701331	[13110050,13110051]	80	120000	12801331
12701330	[13110050,13110051]	80	120000	12801330
12701231	[13110050,13110051]	80	120000	12801231
12701230	[13110050,13110051]	80	120000	12801230
12701131	[13110050,13110051]	80	120000	12801131
12701130	[13110050,13110051]	80	120000	12801130
12701031	[13110050,13110051]	80	120000	12801031
12701030	[13110050,13110051]	80	120000	12801030
12700731	[13110080,13110081]	80	120000	12800731
12700730	[13110080,13110081]	80	120000	12800730
12700631	[13110080,13110081]	80	120000	12800631
12700630	[13110080,13110081]	80	120000	12800630
12700531	[13110080,13110081]	80	120000	12800531
12700530	[13110080,13110081]	80	120000	12800530
12700431	[13110080,13110081]	80	120000	12800431
12700430	[13110080,13110081]	80	120000	12800430
12700331	[13110080,13110081]	80	120000	12800331
12700330	[13110080,13110081]	80	120000	12800330
12700231	[13110080,13110081]	80	120000	12800231
12700230	[13110080,13110081]	80	120000	12800230
12700131	[13110080,13110081]	80	120000	12800131
12700130	[13110080,13110081]	80	120000	12800130
12601731	[13110040,13110041]	80	80000	12701731
12601730	[13110040,13110041]	80	80000	12701730
12601631	[13110040,13110041]	80	80000	12701631
12601630	[13110040,13110041]	80	80000	12701630
12601531	[13110040,13110041]	80	80000	12701531
12601530	[13110040,13110041]	80	80000	12701530
12601431	[13110040,13110041]	80	80000	12701431
12601430	[13110040,13110041]	80	80000	12701430
12601331	[13110040,13110041]	80	80000	12701331
12601330	[13110040,13110041]	80	80000	12701330
12601231	[13110040,13110041]	80	80000	12701231
12601230	[13110040,13110041]	80	80000	12701230
12601131	[13110040,13110041]	80	80000	12701131
12601130	[13110040,13110041]	80	80000	12701130
12601031	[13110040,13110041]	80	80000	12701031
12601030	[13110040,13110041]	80	80000	12701030
12600731	[13110070,13110071]	80	80000	12700731
12600730	[13110070,13110071]	80	80000	12700730
12600631	[13110070,13110071]	80	80000	12700631
12600630	[13110070,13110071]	80	80000	12700630
12600531	[13110070,13110071]	80	80000	12700531
12600530	[13110070,13110071]	80	80000	12700530
12600431	[13110070,13110071]	80	80000	12700431
12600430	[13110070,13110071]	80	80000	12700430
12600331	[13110070,13110071]	80	80000	12700331
12600330	[13110070,13110071]	80	80000	12700330
12600231	[13110070,13110071]	80	80000	12700231
12600230	[13110070,13110071]	80	80000	12700230
12600131	[13110070,13110071]	80	80000	12700131
12600130	[13110070,13110071]	80	80000	12700130
12351731	[13110030,13110031]	40	40000	12501731
12351730	[13110030,13110031]	40	40000	12501730
12351631	[13110030,13110031]	40	40000	12501631
12351630	[13110030,13110031]	40	40000	12501630
12351531	[13110030,13110031]	40	40000	12501531
12351530	[13110030,13110031]	40	40000	12501530
12351431	[13110030,13110031]	40	40000	12501431
12351430	[13110030,13110031]	40	40000	12501430
12351331	[13110030,13110031]	40	40000	12501331
12351330	[13110030,13110031]	40	40000	12501330
12351231	[13110030,13110031]	40	40000	12501231
12351230	[13110030,13110031]	40	40000	12501230
12351131	[13110030,13110031]	40	40000	12501131
12351130	[13110030,13110031]	40	40000	12501130
12351031	[13110030,13110031]	40	40000	12501031
12351030	[13110030,13110031]	40	40000	12501030
12350731	[13110060,13110061]	40	40000	12500731
12350730	[13110060,13110061]	40	40000	12500730
12350631	[13110060,13110061]	40	40000	12500631
12350630	[13110060,13110061]	40	40000	12500630
12350531	[13110060,13110061]	40	40000	12500531
12350530	[13110060,13110061]	40	40000	12500530
12350431	[13110060,13110061]	40	40000	12500431
12350430	[13110060,13110061]	40	40000	12500430
12350331	[13110060,13110061]	40	40000	12500331
12350330	[13110060,13110061]	40	40000	12500330
12350231	[13110060,13110061]	40	40000	12500231
12350230	[13110060,13110061]	40	40000	12500230
12350131	[13110060,13110061]	40	40000	12500131
12350130	[13110060,13110061]	40	40000	12500130
12701741	[13080030,13080031]	80	300000	12801741
12701740	[13080030,13080031]	80	300000	12801740
12701641	[13080030,13080031]	80	300000	12801641
12701640	[13080030,13080031]	80	300000	12801640
12701541	[13080030,13080031]	80	300000	12801541
12701540	[13080030,13080031]	80	300000	12801540
12701441	[13080030,13080031]	80	300000	12801441
12701440	[13080030,13080031]	80	300000	12801440
12701341	[13080030,13080031]	80	300000	12801341
12701340	[13080030,13080031]	80	300000	12801340
12701241	[13080030,13080031]	80	300000	12801241
12701240	[13080030,13080031]	80	300000	12801240
12701141	[13080030,13080031]	80	300000	12801141
12701140	[13080030,13080031]	80	300000	12801140
12701041	[13080030,13080031]	80	300000	12801041
12701040	[13080030,13080031]	80	300000	12801040
