id	num	states	includeids

804	8	[{magicdefense,80},{rangedefense,80},{meleedefense,80},{magicpower,100},{rangepower,100},{meleepower,100},{criticaldestroyrate,80},{hpmax,2100}]	[[12801040,12801041],[12801140,12801141],[12801240,12801241],[12801340,12801341],[12801440,12801441],[12801540,12801541],[12801640,12801641],[12801740,12801741]]
804	7	[{magicdefense,80},{rangedefense,80},{meleedefense,80},{magicpower,100},{rangepower,100},{meleepower,100},{criticaldestroyrate,80}]	[[12801040,12801041],[12801140,12801141],[12801240,12801241],[12801340,12801341],[12801440,12801441],[12801540,12801541],[12801640,12801641],[12801740,12801741]]
804	6	[{magicdefense,80},{rangedefense,80},{meleedefense,80},{magicpower,100},{rangepower,100},{meleepower,100},{criticaldestroyrate,80}]	[[12801040,12801041],[12801140,12801141],[12801240,12801241],[12801340,12801341],[12801440,12801441],[12801540,12801541],[12801640,12801641],[12801740,12801741]]
804	5	[{magicdefense,80},{rangedefense,80},{meleedefense,80},{magicpower,100},{rangepower,100},{meleepower,100}]	[[12801040,12801041],[12801140,12801141],[12801240,12801241],[12801340,12801341],[12801440,12801441],[12801540,12801541],[12801640,12801641],[12801740,12801741]]
804	4	[{magicdefense,80},{rangedefense,80},{meleedefense,80},{magicpower,100},{rangepower,100},{meleepower,100}]	[[12801040,12801041],[12801140,12801141],[12801240,12801241],[12801340,12801341],[12801440,12801441],[12801540,12801541],[12801640,12801641],[12801740,12801741]]
804	3	[{magicdefense,80},{rangedefense,80},{meleedefense,80}]	[[12801040,12801041],[12801140,12801141],[12801240,12801241],[12801340,12801341],[12801440,12801441],[12801540,12801541],[12801640,12801641],[12801740,12801741]]
804	2	[{magicdefense,80},{rangedefense,80},{meleedefense,80}]	[[12801040,12801041],[12801140,12801141],[12801240,12801241],[12801340,12801341],[12801440,12801441],[12801540,12801541],[12801640,12801641],[12801740,12801741]]
804	1	[]	[[12801040,12801041],[12801140,12801141],[12801240,12801241],[12801340,12801341],[12801440,12801441],[12801540,12801541],[12801640,12801641],[12801740,12801741]]
803	8	[{magicdefense,60},{rangedefense,60},{meleedefense,60},{magicpower,80},{rangepower,80},{meleepower,80},{criticaldestroyrate,60},{hpmax,1500}]	[[12801030,12801031],[12801130,12801131],[12801230,12801231],[12801330,12801331],[12801430,12801431],[12801530,12801531],[12801630,12801631],[12801730,12801731]]
803	7	[{magicdefense,60},{rangedefense,60},{meleedefense,60},{magicpower,80},{rangepower,80},{meleepower,80},{criticaldestroyrate,60}]	[[12801030,12801031],[12801130,12801131],[12801230,12801231],[12801330,12801331],[12801430,12801431],[12801530,12801531],[12801630,12801631],[12801730,12801731]]
803	6	[{magicdefense,60},{rangedefense,60},{meleedefense,60},{magicpower,80},{rangepower,80},{meleepower,80},{criticaldestroyrate,60}]	[[12801030,12801031],[12801130,12801131],[12801230,12801231],[12801330,12801331],[12801430,12801431],[12801530,12801531],[12801630,12801631],[12801730,12801731]]
803	5	[{magicdefense,60},{rangedefense,60},{meleedefense,60},{magicpower,80},{rangepower,80},{meleepower,80}]	[[12801030,12801031],[12801130,12801131],[12801230,12801231],[12801330,12801331],[12801430,12801431],[12801530,12801531],[12801630,12801631],[12801730,12801731]]
803	4	[{magicdefense,60},{rangedefense,60},{meleedefense,60},{magicpower,80},{rangepower,80},{meleepower,80}]	[[12801030,12801031],[12801130,12801131],[12801230,12801231],[12801330,12801331],[12801430,12801431],[12801530,12801531],[12801630,12801631],[12801730,12801731]]
803	3	[{magicdefense,60},{rangedefense,60},{meleedefense,60}]	[[12801030,12801031],[12801130,12801131],[12801230,12801231],[12801330,12801331],[12801430,12801431],[12801530,12801531],[12801630,12801631],[12801730,12801731]]
803	2	[{magicdefense,60},{rangedefense,60},{meleedefense,60}]	[[12801030,12801031],[12801130,12801131],[12801230,12801231],[12801330,12801331],[12801430,12801431],[12801530,12801531],[12801630,12801631],[12801730,12801731]]
803	1	[]	[[12801030,12801031],[12801130,12801131],[12801230,12801231],[12801330,12801331],[12801430,12801431],[12801530,12801531],[12801630,12801631],[12801730,12801731]]
704	8	[{magicdefense,70},{rangedefense,70},{meleedefense,70},{magicpower,90},{rangepower,90},{meleepower,90},{criticaldestroyrate,70},{hpmax,1800}]	[[12701040,12701041],[12701140,12701141],[12701240,12701241],[12701340,12701341],[12701440,12701441],[12701540,12701541],[12701640,12701641],[12701740,12701741]]
704	7	[{magicdefense,70},{rangedefense,70},{meleedefense,70},{magicpower,90},{rangepower,90},{meleepower,90},{criticaldestroyrate,70}]	[[12701040,12701041],[12701140,12701141],[12701240,12701241],[12701340,12701341],[12701440,12701441],[12701540,12701541],[12701640,12701641],[12701740,12701741]]
704	6	[{magicdefense,70},{rangedefense,70},{meleedefense,70},{magicpower,90},{rangepower,90},{meleepower,90},{criticaldestroyrate,70}]	[[12701040,12701041],[12701140,12701141],[12701240,12701241],[12701340,12701341],[12701440,12701441],[12701540,12701541],[12701640,12701641],[12701740,12701741]]
704	5	[{magicdefense,70},{rangedefense,70},{meleedefense,70},{magicpower,90},{rangepower,90},{meleepower,90}]	[[12701040,12701041],[12701140,12701141],[12701240,12701241],[12701340,12701341],[12701440,12701441],[12701540,12701541],[12701640,12701641],[12701740,12701741]]
704	4	[{magicdefense,70},{rangedefense,70},{meleedefense,70},{magicpower,90},{rangepower,90},{meleepower,90}]	[[12701040,12701041],[12701140,12701141],[12701240,12701241],[12701340,12701341],[12701440,12701441],[12701540,12701541],[12701640,12701641],[12701740,12701741]]
704	3	[{magicdefense,70},{rangedefense,70},{meleedefense,70}]	[[12701040,12701041],[12701140,12701141],[12701240,12701241],[12701340,12701341],[12701440,12701441],[12701540,12701541],[12701640,12701641],[12701740,12701741]]
704	2	[{magicdefense,70},{rangedefense,70},{meleedefense,70}]	[[12701040,12701041],[12701140,12701141],[12701240,12701241],[12701340,12701341],[12701440,12701441],[12701540,12701541],[12701640,12701641],[12701740,12701741]]
704	1	[]	[[12701040,12701041],[12701140,12701141],[12701240,12701241],[12701340,12701341],[12701440,12701441],[12701540,12701541],[12701640,12701641],[12701740,12701741]]
