id	type	special_tag	required	datelines	guild_required	qualityrates	refresh_info	rounds_num	clear_time	quests	sections	section_counts	section_rewards	reward_exp_type	quality_extra_rewards	free_recover_interval

77	2	0	{0,65,69}	[]	{0,20}	[]	[]	2	{1,{0,0,0}}	[110077001]	1	1	[{1,[{1,[],9000,[]}]}]	1	[]	0
76	2	0	{0,60,64}	[]	{0,20}	[]	[]	2	{1,{0,0,0}}	[110076001]	1	1	[{1,[{1,[],9000,[]}]}]	1	[]	0
75	2	0	{0,55,59}	[]	{0,20}	[]	[]	2	{1,{0,0,0}}	[110075001]	1	1	[{1,[{1,[],9000,[]}]}]	1	[]	0
74	2	0	{0,50,54}	[]	{0,20}	[]	[]	2	{1,{0,0,0}}	[110074001]	1	1	[{1,[{1,[],9000,[]}]}]	1	[]	0
73	2	0	{0,45,49}	[]	{0,20}	[]	[]	2	{1,{0,0,0}}	[110073001]	1	1	[{1,[{1,[],9000,[]}]}]	1	[]	0
72	2	0	{0,40,44}	[]	{0,20}	[]	[]	2	{1,{0,0,0}}	[110072001]	1	1	[{1,[{1,[],9000,[]}]}]	1	[]	0
71	2	0	{0,35,39}	[]	{0,20}	[]	[]	2	{1,{0,0,0}}	[110071001]	1	1	[{1,[{1,[],9000,[]}]}]	1	[]	0
61	2	0	{0,52,71}	[]	{0,20}	[]	[]	5	{1,{0,0,0}}	[110061001]	1	1	[{1,[{1,[],4500,[]}]}]	1	[]	0
60	2	0	{0,31,51}	[]	{0,20}	[]	[]	5	{1,{0,0,0}}	[110060001]	1	1	[{1,[{1,[],4500,[]}]}]	1	[]	0
