level	itemslist	preview_itemslist
百宝阁等级	对应guild_shop_items表ID	之前物品ID 列表
20	[29000001,29000002,29000003,29000004,29000005,29000006,29000007,29000008,29000009,29000010,29000011,29000012,29000013,29000014,29000015,29000016,29000017,29000018,29000019,29000020,29000021,29000022,29000023,29000024,29000025]	[]
19	[28000001,28000002,28000003,28000004,28000005,28000006,28000007,28000008,28000009,28000010,28000011,28000012,28000013,28000014,28000015,28000016,28000017,28000018,28000019,28000020,28000021,28000022,28000023,28000024,28000025]	[]
18	[27000001,27000002,27000003,27000004,27000005,27000006,27000007,27000008,27000009,27000010,27000011,27000012,27000013,27000014,27000015,27000016,27000017,27000018,27000019,27000020,27000021,27000022,27000023,27000024,27000025]	[]
17	[26000001,26000002,26000003,26000004,26000005,26000006,26000007,26000008,26000009,26000010,26000011,26000012,26000013,26000014,26000015,26000016,26000017,26000018,26000019,26000020,26000021,26000022,26000023,26000024,26000025]	[]
16	[25000001,25000002,25000003,25000004,25000005,25000006,25000007,25000008,25000009,25000010,25000011,25000012,25000013,25000014,25000015,25000016,25000017,25000018,25000019,25000020,25000021,25000022,25000023,25000024,25000025]	[]
15	[24000001,24000002,24000003,24000004,24000005,24000006,24000007,24000008,24000009,24000010,24000011,24000012,24000013,24000014,24000015,24000016,24000017,24000018,24000019,24000020,24000021,24000022,24000023,24000024,24000025]	[]
14	[23000001,23000002,23000003,23000004,23000005,23000006,23000007,23000008,23000009,23000010,23000011,23000012,23000013,23000014,23000015,23000016,23000017,23000018,23000019,23000020,23000021,23000022,23000023,23000024,23000025]	[]
13	[22000001,22000002,22000003,22000004,22000005,22000006,22000007,22000008,22000009,22000010,22000011,22000012,22000013,22000014,22000015,22000016,22000017,22000018,22000019,22000020,22000021,22000022,22000023,22000024,22000025]	[]
12	[21000001,21000002,21000003,21000004,21000005,21000006,21000007,21000008,21000009,21000010,21000011,21000012,21000013,21000014,21000015,21000016,21000017,21000018,21000019,21000020,21000021,21000022,21000023,21000024,21000025]	[]
11	[20000001,20000002,20000003,20000004,20000005,20000006,20000007,20000008,20000009,20000010,20000011,20000012,20000013,20000014,20000015,20000016,20000017,20000018,20000019,20000020,20000021,20000022,20000023,20000024,20000025]	[]
10	[19000001,19000002,19000003,19000004,19000005,19000006,19000007,19000008,19000009,19000010,19000011,19000012,19000013,19000014,19000015,19000016,19000017,19000018,19000019,19000020,19000021,19000022,19000023,19000024,19000025]	[]
9	[18000001,18000002,18000003,18000004,18000005,18000006,18000007,18000008,18000009,18000010,18000011,18000012,18000013,18000014,18000015,18000016,18000017,18000018,18000019,18000020,18000021,18000022]	[19000023,19000024,19000025]
8	[17000001,17000002,17000003,17000004,17000005,17000006,17000007,17000008,17000009,17000010,17000011,17000012,17000013,17000014,17000015,17000016,17000017,17000018,17000019]	[18000020,18000021,18000022,19000023,19000024,19000025]
7	[16000001,16000002,16000003,16000004,16000005,16000006,16000007,16000008,16000009,16000010,16000011,16000012,16000013,16000014,16000015,16000016]	[17000017,17000018,17000019,18000020,18000021,18000022,19000023,19000024,19000025]
6	[15000001,15000002,15000003,15000004,15000005,15000006,15000007,15000008,15000009,15000010,15000011,15000012,15000013]	[16000014,16000015,16000016,17000017,17000018,17000019,18000020,18000021,18000022,19000023,19000024,19000025]
5	[14000001,14000002,14000003,14000004,14000005,14000006,14000007,14000008,14000009,14000010]	[15000011,15000012,15000013,16000014,16000015,16000016,17000017,17000018,17000019,18000020,18000021,18000022,19000023,19000024,19000025]
4	[13000001,13000002,13000003,13000004,13000005,13000006,13000007,13000008]	[14000009,14000010,15000011,15000012,15000013,16000014,16000015,16000016,17000017,17000018,17000019,18000020,18000021,18000022,19000023,19000024,19000025]
3	[12000001,12000002,12000003,12000004,12000005,12000006]	[13000007,13000008,14000009,14000010,15000011,15000012,15000013,16000014,16000015,16000016,17000017,17000018,17000019,18000020,18000021,18000022,19000023,19000024,19000025]
2	[11000001,11000002,11000003,11000004]	[12000005,12000006,13000007,13000008,14000009,14000010,15000011,15000012,15000013,16000014,16000015,16000016,17000017,17000018,17000019,18000020,18000021,18000022,19000023,19000024,19000025]
1	[10000001,10000002]	[11000003,11000004,12000005,12000006,13000007,13000008,14000009,14000010,15000011,15000012,15000013,16000014,16000015,16000016,17000017,17000018,17000019,18000020,18000021,18000022,19000023,19000024,19000025]
