id	itemid	showindex	guild_contribution	base_price	discount	minlevel	limitnum	itemtype
ID	物品ID	显示位置	消耗帮贡	{_,真实价格}	{_，折扣价}	等级	数量限制	物品类型
10000001	14000001	1	1	{2,8}	{2,6}	1	20	1
10000002	14000004	2	1	{2,8}	{2,6}	1	20	1
11000001	14000001	1	1	{2,8}	{2,6}	1	20	1
11000002	14000004	2	1	{2,8}	{2,6}	1	20	1
11000003	14000017	3	1	{2,9}	{2,7}	1	20	4
11000004	14000022	4	1	{2,48}	{2,36}	1	2	4
12000001	14000001	1	1	{2,8}	{2,6}	1	25	1
12000002	14000004	2	1	{2,8}	{2,6}	1	25	1
12000003	14000017	3	1	{2,9}	{2,7}	1	20	4
12000004	14000022	4	1	{2,48}	{2,36}	1	2	4
12000005	14000018	5	2	{2,28}	{2,25}	1	2	4
12000006	14100025	6	2	{2,18}	{2,13}	1	2	2
13000001	14000001	1	1	{2,8}	{2,6}	1	25	1
13000002	14000004	2	1	{2,8}	{2,6}	1	25	1
13000003	14000017	3	1	{2,9}	{2,7}	1	25	4
13000004	14000022	4	1	{2,48}	{2,36}	1	3	4
13000005	14000018	5	2	{2,28}	{2,25}	1	2	4
13000006	14100025	6	2	{2,18}	{2,13}	1	2	2
13000007	14000020	7	2	{2,18}	{2,13}	1	10	4
13000008	14000007	8	2	{2,4}	{2,3}	1	10	1
14000001	14000001	1	1	{2,8}	{2,6}	1	30	1
14000002	14000004	2	1	{2,8}	{2,6}	1	30	1
14000003	14000017	3	1	{2,9}	{2,7}	1	25	4
14000004	14000022	4	1	{2,48}	{2,36}	1	3	4
14000005	14000018	5	2	{2,28}	{2,25}	1	3	4
14000006	14100025	6	2	{2,18}	{2,13}	1	3	2
14000007	14000020	7	2	{2,18}	{2,13}	1	10	4
14000008	14000007	8	2	{2,4}	{2,3}	1	10	1
14000009	14000005	9	3	{2,18}	{2,15}	1	20	1
14000010	14000002	10	3	{2,18}	{2,13}	1	20	1
15000001	14000001	1	1	{2,8}	{2,6}	1	30	1
15000002	14000004	2	1	{2,8}	{2,6}	1	30	1
15000003	14000017	3	1	{2,9}	{2,7}	1	30	4
15000004	14000022	4	1	{2,48}	{2,36}	1	4	4
15000005	14000018	5	2	{2,28}	{2,25}	1	3	4
15000006	14100025	6	2	{2,18}	{2,13}	1	3	2
15000007	14000020	7	2	{2,18}	{2,13}	1	12	4
15000008	14000007	8	2	{2,4}	{2,3}	1	12	1
15000009	14000005	9	3	{2,18}	{2,15}	1	20	1
15000010	14000002	10	3	{2,18}	{2,13}	1	20	1
15000011	14000046	11	4	{2,8}	{2,6}	1	20	3
