id	itemid	showindex	guild_contribution	base_price	minlevel	limitnum	itemtype

10000020	18900251	4	8000	{1,0}	1	-1	5
10000019	11051211	3	100	{1,0}	1	-1	5
10000018	11051111	2	100	{1,0}	1	-1	5
10000017	11051011	1	100	{1,0}	1	-1	5
10000016	18700151	4	4000	{1,0}	1	-1	4
10000015	11050911	3	60	{1,0}	1	-1	4
10000014	11050811	2	60	{1,0}	1	-1	4
10000013	11050711	1	60	{1,0}	1	-1	4
10000012	18500091	4	1500	{1,0}	1	-1	3
10000011	11050611	3	30	{1,0}	1	-1	3
10000010	11050511	2	30	{1,0}	1	-1	3
10000009	11050411	1	30	{1,0}	1	-1	3
10000008	18400051	4	200	{1,0}	1	-1	2
10000007	11050311	3	25	{1,0}	1	-1	2
10000006	11050211	2	25	{1,0}	1	-1	2
10000005	11050111	1	25	{1,0}	1	-1	2
10000004	19000711	4	10	{1,0}	1	-1	1
10000003	18300031	3	80	{1,0}	1	-1	1
10000002	19000271	2	30	{1,0}	1	-1	1
10000001	19000301	1	20	{1,0}	1	-1	1
