level	type	stonelevel	remove

{90,100,39}	[]	8	[13060010,13060011]
{90,100,24}	[4,5,6,7,10,11]	8	[13060010,13060011]
{90,100,11}	[1,2,3,8,9,12,13]	8	[13060010,13060011]
{90,100,10}	[1,2,3,8,9,12,13]	8	[13060010,13060011]
{90,100,9}	[1,2,3,8,9,12,13]	8	[13060010,13060011]
{90,100,8}	[4,5,6,7,10,11]	8	[13060010,13060011]
{90,100,7}	[4,5,6,7,10,11]	8	[13060010,13060011]
{90,100,6}	[4,5,6,7,10,11]	8	[13060010,13060011]
{90,100,5}	[4,5,6,7,10,11]	8	[13060010,13060011]
{90,100,4}	[4,5,6,7,10,11]	8	[13060010,13060011]
{90,100,3}	[4,5,6,7,10,11]	8	[13060010,13060011]
{90,100,2}	[1,2,3,8,9,12,13]	8	[13060010,13060011]
{90,100,1}	[1,2,3,8,9,12,13]	8	[13060010,13060011]
{70,89,39}	[]	8	[13060010,13060011]
{70,89,24}	[4,5,6,7,10,11]	8	[13060010,13060011]
{70,89,11}	[1,2,3,8,9,12,13]	8	[13060010,13060011]
{70,89,10}	[1,2,3,8,9,12,13]	8	[13060010,13060011]
{70,89,9}	[1,2,3,8,9,12,13]	8	[13060010,13060011]
{70,89,8}	[4,5,6,7,10,11]	8	[13060010,13060011]
{70,89,7}	[4,5,6,7,10,11]	8	[13060010,13060011]
{70,89,6}	[4,5,6,7,10,11]	8	[13060010,13060011]
{70,89,5}	[4,5,6,7,10,11]	8	[13060010,13060011]
{70,89,4}	[4,5,6,7,10,11]	8	[13060010,13060011]
{70,89,3}	[4,5,6,7,10,11]	8	[13060010,13060011]
{70,89,2}	[1,2,3,8,9,12,13]	8	[13060010,13060011]
{70,89,1}	[1,2,3,8,9,12,13]	8	[13060010,13060011]
{50,69,39}	[]	8	[13060010,13060011]
{50,69,24}	[4,5,6,7,10,11]	8	[13060010,13060011]
{50,69,11}	[1,2,3,8,9,12,13]	8	[13060010,13060011]
{50,69,10}	[1,2,3,8,9,12,13]	8	[13060010,13060011]
