protoid	type	create_leadertag	create_item	level	membernum	dateline	quests	item_need	can_direct_exit	datetimes	restrict_items	level_mapid	duration_time	nextproto
副本ID	副本类型1(单人)2(组队)3(公会)4(群p)5(轮回塔)6(永恒之旗)10(组队多层副本)9(晶石争夺战)8(国王争夺战)7(温泉)	是否何以组队	所需物品	等级限制{最低等级，最高等级}	最多成员			参加副本所需物品	是否可以强制退出	副本元宝委托({0,0}直接委托,{1(是否可以进行时间运算),{副本时间},副本次数})		离开的mapID	副本持续事件 	下一个副本ID
30010	2	TRUE	[]	{45,100}	{0,5}	[]	{[],[]}	[]	1	{{1,{{0,0,0},{0,0,0}}},10}	[]	9210	3000000	[]
30009	2	TRUE	[]	{45,100}	{0,5}	[]	{[],[]}	[]	1	{{1,{{0,0,0},{0,0,0}}},10}	[]	9209	3000000	[]
30008	2	TRUE	[]	{45,100}	{0,5}	[]	{[],[]}	[]	1	{{1,{{0,0,0},{0,0,0}}},10}	[]	9208	3000000	[]
30007	2	TRUE	[]	{45,100}	{0,5}	[]	{[],[]}	[]	1	{{1,{{0,0,0},{0,0,0}}},10}	[]	9207	3000000	[]
30006	2	TRUE	[]	{45,100}	{0,5}	[]	{[],[]}	[]	1	{{1,{{0,0,0},{0,0,0}}},10}	[]	9206	3000000	[]
30005	2	TRUE	[]	{45,100}	{0,5}	[]	{[],[]}	[]	1	{{1,{{0,0,0},{0,0,0}}},10}	[]	9205	3000000	[]
30004	2	TRUE	[]	{45,100}	{0,5}	[]	{[],[]}	[]	1	{{1,{{0,0,0},{0,0,0}}},10}	[]	9204	3000000	[]
30003	2	TRUE	[]	{45,100}	{0,5}	[]	{[],[]}	[]	1	{{1,{{0,0,0},{0,0,0}}},10}	[]	9203	3000000	[]
30002	2	TRUE	[]	{45,100}	{0,5}	[]	{[],[]}	[]	1	{{1,{{0,0,0},{0,0,0}}},10}	[]	9202	3000000	[]
30001	1	FALSE	[]	{35,100}	{0,1}	[]	{[],[]}	[]	1	{{1,{{0,0,0},{0,0,0}}},2}	[]	9201	3000000	[]
60004	12	FALSE	[]	{50,100}	{0,150}	[]	{[],[]}	[]	0	{0,0}	[]	6004	19200000	[]
42000	11	FALSE	[]	{50,100}	{0,80}	[]	{[],[]}	[]	0	{{1,{{0,0,0},{0,0,0}}},3}	[]	4200	19200000	[]
41000	11	FALSE	[]	{35,100}	{0,80}	[]	{[],[]}	[]	0	{{1,{{0,0,0},{0,0,0}}},3}	[]	4100	19200000	[]
20000	10	TRUE	[]	{50,100}	{0,5}	[]	{[],[]}	[]	1	{0,0}	[]	0	0	[]
10000	10	TRUE	[]	{40,100}	{0,3}	[]	{[],[]}	[]	1	{0,0}	[]	0	0	[]
80010	10	TRUE	[]	{50,100}	{0,5}	[]	{[],[]}	[]	1	{0,0}	[]	8010	86400000	[]
80009	10	TRUE	[]	{50,100}	{0,5}	[]	{[],[]}	[]	1	{0,0}	[]	8009	86400000	[]
80008	10	TRUE	[]	{50,100}	{0,5}	[]	{[],[]}	[]	1	{0,0}	[]	8008	86400000	[]
80007	10	TRUE	[]	{50,100}	{0,5}	[]	{[],[]}	[]	1	{0,0}	[]	8007	86400000	[]
80006	10	TRUE	[]	{50,100}	{0,5}	[]	{[],[]}	[]	1	{0,0}	[]	8006	86400000	[]
80005	10	TRUE	[]	{50,100}	{0,5}	[]	{[],[]}	[]	1	{0,0}	[]	8005	86400000	[]
80004	10	TRUE	[]	{50,100}	{0,5}	[]	{[],[]}	[]	1	{0,0}	[]	8004	86400000	[]
80003	10	TRUE	[]	{50,100}	{0,5}	[]	{[],[]}	[]	1	{0,0}	[]	8003	86400000	[]
80002	10	TRUE	[]	{50,100}	{0,5}	[]	{[],[]}	[]	1	{0,0}	[]	8002	86400000	[]
80001	10	TRUE	[]	{50,100}	{0,5}	[]	{[],[]}	[]	1	{0,0}	[]	8001	86400000	[]
60013	9	FALSE	[]	{25,100}	{0,300}	[]	{[],[]}	[]	0	{0,0}	[]	5016	0	[]
60012	9	FALSE	[]	{25,100}	{0,300}	[]	{[],[]}	[]	0	{0,0}	[]	5015	0	[]
60011	9	FALSE	[]	{25,100}	{0,300}	[]	{[],[]}	[]	0	{0,0}	[]	5014	0	[]
60010	9	FALSE	[]	{25,100}	{0,300}	[]	{[],[]}	[]	0	{0,0}	[]	5013	0	[]
60009	9	FALSE	[]	{25,100}	{0,300}	[]	{[],[]}	[]	0	{0,0}	[]	5012	0	[]
60008	9	FALSE	[]	{25,100}	{0,300}	[]	{[],[]}	[]	0	{0,0}	[]	5011	0	[]
