entry	name	class	displayed	equipmentset	level	qualty	requiredlevel	stackable	maxdurability	inventorytype	sockettype	allowableclass	useable	sellprice	damage	defense	states	spellid	spellcategory	spellcooldown	bonding	maxsoket	scriptname	questid	baserepaired	overdue_type	overdue_args	overdue_transform	enchant_ext

10000011	布鲁召唤符	131	3100019	0	1	2	{1,100}	1	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10000021	黄钻麒麟	131	3100020	0	1	3	{1,100}	1	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10000031	蓝钻麒麟	131	3100020	0	1	3	{1,100}	1	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	2	0	0	0	0	0	[]	[]	[]
10011001	10级礼包	43	2400028	0	10	3	{10,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[11001,11002,11005]	0	0	0	2	0	loot_rules_gift	0	0	0	[]	[]	[]
10012001	20级礼包	43	2400028	0	20	3	{20,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[11101,11102,11104,11106]	0	0	0	2	0	loot_rules_gift	0	0	0	[]	[]	[]
10013001	30级礼包	43	2400028	0	30	3	{30,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[11201,11202,11203,11204,11207,11205,11206,11208,11209]	0	0	0	2	0	loot_rules_gift	0	0	0	[]	[]	[]
10013110	圣兽大礼包	90	1003631	0	1	4	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	0	0	0	0	0	0	[]	[]	[]
10013111	圣兽大礼包	90	1003631	0	1	4	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	0	0	0	0	0	0	[]	[]	[]
10013120	宝石礼袋	90	1003641	0	1	4	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	0	0	0	0	0	0	[]	[]	[]
10013130	长相思抽奖券大礼包	90	1003651	0	1	4	{1,100}	99	0	0	[]	0	0	0	{0,0,0}	{0,0,0}	[]	0	0	0	0	0	0	0	0	0	[]	[]	[]
