rank	guild_money	guild_score	rolehonor	exp	bonus

20	0	10	20	3000	[{10040501,1}]
19	0	10	22	3600	[{10040501,1}]
18	0	10	24	4200	[{10040501,1}]
17	0	10	26	4800	[{10040501,1}]
16	0	10	28	5400	[{10040501,1}]
15	0	10	30	6000	[{10040501,1}]
14	0	10	32	6600	[{10040501,1}]
13	0	10	34	7200	[{10040501,1}]
12	0	10	36	7800	[{10040501,1}]
11	0	10	38	8400	[{10040501,1}]
10	0	20	40	9000	[{10040501,1}]
9	0	30	42	9600	[{10040501,1}]
8	0	40	44	10200	[{10040501,1}]
7	0	50	46	10800	[{10040501,1}]
6	0	60	48	11400	[{10040501,1}]
5	0	150	50	12000	[{10040501,1}]
4	0	165	52	12600	[{10040401,1}]
3	0	180	54	13400	[{10040301,1}]
2	0	195	57	14200	[{10040201,1}]
1	0	210	60	15000	[{10040101,1}]
