level	dragon_fight_exp
任务等级	得到的经验
100	1350000
99	1336500
98	1323000
97	1309500
96	1296000
95	1282500
94	1269000
93	1255500
92	1242000
91	1228500
90	1215000
89	1201500
88	1188000
87	1174500
86	1161000
85	1147500
84	1134000
83	1120500
82	1107000
81	1093500
80	1080000
79	1066500
78	1053000
77	1039500
76	1026000
75	1012500
74	999000
73	985500
72	972000
71	958500
70	945000
69	931500
68	918000
67	904500
66	891000
65	877500
64	864000
63	850500
62	837000
61	823500
60	810000
59	796500
58	783000
57	769500
56	756000
55	742500
54	729000
53	715500
52	702000
51	688500
50	675000
49	661500
48	648000
47	634500
46	621000
45	607500
44	594000
43	580500
42	567000
41	553500
40	540000
39	526500
38	513000
37	499500
36	486000
35	472500
34	459000
33	445500
32	432000
31	418500
30	405000
