layer	exp	money	bonus	soulpower	instance_proto	type	monsters	time	targetnpclist	bornpos

{20000,10}	520000	0	[]	0	80010	3	[8010001]	300	[{1801002,1,[35,102,102,48,48,48,48]}]	{28,48}
{20000,9}	480000	0	[]	0	80009	3	[8009023,8009018,8009017,8009016,8009015,8009014,8009013,8009012,8009011,8009010,8009009,8009008,8009007,8009006,8009005,8009004,8009003,8009002,8009001,8009037,8009036,8009035,8009034,8009033,8009032,8009031,8009030,8009029,8009028]	300	[{1800901,10,[35,48,48,102,102,102,102]},{1800904,5,[35,48,48,102,102,102,102]},{1800905,5,[35,48,48,102,102,102,102]},{1800906,1,[35,102,102,48,48,48,48]}]	{33,94}
{20000,8}	440000	0	[]	0	80008	3	[8008004]	300	[{1800804,1,[35,102,102,48,48,48,48]}]	{50,51}
{20000,7}	400000	0	[]	0	80007	3	[8007028,8007027,8007026,8007025,8007024,8007023,8007022,8007021,8007020,8007019,8007018,8007017,8007016,8007015,8007014,8007013,8007012,8007011,8007010,8007009,8007008,8007007,8007006,8007005,8007004,8007003,8007002,8007001]	300	[{1800701,12,[35,48,48,102,102,102,102]},{1800703,10,[35,48,48,102,102,102,102]},{1800704,1,[35,102,102,48,48,48,48]}]	{154,138}
{20000,6}	360000	0	[]	0	80006	3	[8006001]	300	[{1800602,1,[35,102,102,48,48,48,48]}]	{73,104}
{20000,5}	320000	0	[]	0	80005	3	[8005023,8005022,8005021,8005020,8005019,8005018,8005017,8005016,8005015,8005014,8005013,8005012,8005011,8005010,8005009,8005008,8005007,8005006,8005005,8005004,8005003,8005002,8005001,8005024]	300	[{1800501,12,[35,48,48,102,102,102,102]},{1800504,3,[35,48,48,102,102,102,102]},{1800505,1,[35,102,102,48,48,48,48]}]	{102,112}
{20000,4}	280000	0	[]	0	80004	3	[8004009,8004008,8004006,8004004,8004003,8004002,8004001]	300	[{1800403,1,[35,102,102,48,48,48,48]}]	{85,99}
{20000,3}	240000	0	[]	0	80003	3	[8003007,8003006,8003005,8003004,8003003,8003001,8003024,8003023,8003022,8003021,8003020,8003017,8003019,8003018,8003016,8003015,8003014,8003013,8003012,8003011,8003010,8003009,8003008]	300	[{1800301,8,[35,48,48,102,102,102,102]},{1800303,8,[35,48,48,102,102,102,102]},{1800305,1,[35,102,102,48,48,48,48]}]	{117,79}
{20000,2}	200000	0	[]	0	80002	3	[8002001]	300	[{1800202,1,[35,102,102,48,48,48,48]}]	{29,58}
