layer	consum_money	enter_prop	convey_prop	exp	bonus	instance_id	week_bonus	monsters	loop_prop
ID	消耗钱币	所需要的物品(物品ID，数量)	进入副本物品检测	获得经验	额外奖励	传送镇ID	周奖励	怪物列表	物品检测，是否有次物品
100	0	[]	[]	8037000	[]	50025003	[]	[6000721,6000722,6000723,6000724,6000725,6000726,6000727,6000728,6000729,6000730,6000731,6000732,6000733,6000734,6000735,6000736,6000737,6000738,6000739,6000740,6000741,6000742,6000743,6000744,6000745,6000746,6000747,6000748,6000749,6000750]	[24000035,14000035]
99	0	[]	[]	7783200	[]	50015002	[]	[6000712,6000713,6000714,6000715,6000716,6000717,6000718,6000719,6000720]	[24000035,14000035]
98	0	[]	[]	7542400	[]	50055001	[]	[6000708,6000709,6000710,6000711]	[24000035,14000035]
97	0	[]	[]	7314600	[]	50045005	[]	[6000705,6000706,6000707]	[24000035,14000035]
96	0	[]	[]	7099800	[]	50035004	[]	[6000699,6000700,6000701,6000702,6000703,6000704]	[24000035,14000035]
95	0	[]	[]	6898000	[]	50025003	[]	[6000693,6000694,6000695,6000696,6000697,6000698]	[24000035,14000035]
94	0	[]	[]	6709200	[]	50015002	[]	[6000688,6000689,6000690,6000691,6000692]	[24000035,14000035]
93	0	[]	[]	6533400	[]	50055001	[]	[6000683,6000684,6000685,6000686,6000687]	[24000035,14000035]
92	0	[]	[]	6370600	[]	50045005	[]	[6000679,6000680,6000681,6000682]	[24000035,14000035]
91	0	[]	[{24000034,9},{14000034,9}]	6220800	[]	50035004	[]	[6000676,6000677,6000678]	[24000035,14000035]
90	0	[]	[]	6084000	[]	50025003	[]	[6000646,6000647,6000648,6000649,6000650,6000651,6000652,6000653,6000654,6000655,6000656,6000657,6000658,6000659,6000660,6000661,6000662,6000663,6000664,6000665,6000666,6000667,6000668,6000669,6000670,6000671,6000672,6000673,6000674,6000675]	[24000035,14000035]
89	0	[]	[]	5960200	[]	50015002	[]	[6000637,6000638,6000639,6000640,6000641,6000642,6000643,6000644,6000645]	[24000035,14000035]
