level	count
人物等级数量	数量
100	3
99	3
98	3
97	3
96	3
95	3
94	3
93	3
92	3
91	3
90	3
89	3
88	3
87	3
86	3
85	3
84	3
83	3
82	3
81	3
80	3
79	3
78	3
77	3
76	3
75	3
74	3
73	3
72	3
71	3
70	2
69	2
68	2
67	2
66	2
65	2
64	2
63	2
62	2
61	2
60	2
59	2
58	2
57	2
56	2
55	2
54	2
53	2
52	2
51	2
50	2
49	2
48	2
47	2
46	2
45	2
44	2
43	2
42	2
41	2
40	1
39	1
38	1
37	1
36	1
35	1
34	1
33	1
32	1
31	1
30	1
29	1
28	1
27	1
26	1
25	1
24	1
23	1
22	1
21	1
20	0
19	0
18	0
17	0
16	0
15	0
14	0
13	0
12	0
11	0
10	0
9	0
8	0
7	0
6	0
5	0
4	0
3	0
2	0
1	0
