class_level_id	class	level	ruleids

{100,3}	100	3	[617]
{99,3}	99	3	[617]
{98,3}	98	3	[617]
{97,3}	97	3	[617]
{96,3}	96	3	[617]
{95,3}	95	3	[617]
{94,3}	94	3	[617]
{93,3}	93	3	[617]
{92,3}	92	3	[617]
{91,3}	91	3	[617]
{90,3}	90	3	[617]
{89,3}	89	3	[617]
{88,3}	88	3	[617]
{87,3}	87	3	[617]
{86,3}	86	3	[617]
{85,3}	85	3	[617]
{84,3}	84	3	[617]
{83,3}	83	3	[617]
{82,3}	82	3	[617]
{81,3}	81	3	[617]
{80,3}	80	3	[617]
{79,3}	79	3	[617]
{78,3}	78	3	[617]
{77,3}	77	3	[617]
{76,3}	76	3	[617]
{75,3}	75	3	[617]
{74,3}	74	3	[617]
{73,3}	73	3	[617]
{72,3}	72	3	[617]
{71,3}	71	3	[617]
{70,3}	70	3	[616]
{69,3}	69	3	[616]
{68,3}	68	3	[616]
{67,3}	67	3	[616]
{66,3}	66	3	[616]
{65,3}	65	3	[616]
{64,3}	64	3	[616]
{63,3}	63	3	[616]
{62,3}	62	3	[616]
{61,3}	61	3	[616]
{60,3}	60	3	[616]
{59,3}	59	3	[616]
{58,3}	58	3	[616]
{57,3}	57	3	[616]
{56,3}	56	3	[616]
{55,3}	55	3	[616]
{54,3}	54	3	[616]
{53,3}	53	3	[616]
{52,3}	52	3	[616]
{51,3}	51	3	[616]
{50,3}	50	3	[615]
{49,3}	49	3	[615]
{48,3}	48	3	[615]
{47,3}	47	3	[615]
{46,3}	46	3	[615]
{45,3}	45	3	[614]
{44,3}	44	3	[614]
{43,3}	43	3	[614]
{42,3}	42	3	[614]
{41,3}	41	3	[614]
{40,3}	40	3	[613]
{39,3}	39	3	[613]
{38,3}	38	3	[613]
{37,3}	37	3	[613]
{36,3}	36	3	[613]
{35,3}	35	3	[612]
{34,3}	34	3	[612]
{33,3}	33	3	[612]
{32,3}	32	3	[612]
{31,3}	31	3	[612]
{30,3}	30	3	[611]
{29,3}	29	3	[611]
{28,3}	28	3	[611]
{27,3}	27	3	[611]
{26,3}	26	3	[611]
{25,3}	25	3	[610]
{24,3}	24	3	[610]
{23,3}	23	3	[610]
{22,3}	22	3	[610]
{21,3}	21	3	[610]
{20,3}	20	3	[]
{19,3}	19	3	[]
{18,3}	18	3	[]
{17,3}	17	3	[]
{16,3}	16	3	[]
{15,3}	15	3	[]
{14,3}	14	3	[]
{13,3}	13	3	[]
{12,3}	12	3	[]
{11,3}	11	3	[]
{10,3}	10	3	[]
{9,3}	9	3	[]
{8,3}	8	3	[]
{7,3}	7	3	[]
{6,3}	6	3	[]
{5,3}	5	3	[]
{4,3}	4	3	[]
{3,3}	3	3	[]
{2,3}	2	3	[]
{1,3}	1	3	[]
{100,2}	100	2	[617]
{99,2}	99	2	[617]
{98,2}	98	2	[617]
{97,2}	97	2	[617]
{96,2}	96	2	[617]
{95,2}	95	2	[617]
{94,2}	94	2	[617]
{93,2}	93	2	[617]
{92,2}	92	2	[617]
{91,2}	91	2	[617]
{90,2}	90	2	[617]
{89,2}	89	2	[617]
{88,2}	88	2	[617]
{87,2}	87	2	[617]
{86,2}	86	2	[617]
{85,2}	85	2	[617]
{84,2}	84	2	[617]
{83,2}	83	2	[617]
{82,2}	82	2	[617]
{81,2}	81	2	[617]
{80,2}	80	2	[617]
{79,2}	79	2	[617]
{78,2}	78	2	[617]
{77,2}	77	2	[617]
{76,2}	76	2	[617]
{75,2}	75	2	[617]
{74,2}	74	2	[617]
{73,2}	73	2	[617]
{72,2}	72	2	[617]
{71,2}	71	2	[617]
{70,2}	70	2	[616]
{69,2}	69	2	[616]
{68,2}	68	2	[616]
{67,2}	67	2	[616]
{66,2}	66	2	[616]
{65,2}	65	2	[616]
{64,2}	64	2	[616]
{63,2}	63	2	[616]
{62,2}	62	2	[616]
{61,2}	61	2	[616]
{60,2}	60	2	[616]
{59,2}	59	2	[616]
