chapter	stage	difficulty	class	section	spawns

2	8	1	3	10	[{1820804,{45,52}}]
2	8	1	2	10	[{1820804,{45,52}}]
2	8	1	1	10	[{1820804,{45,52}}]
2	8	1	3	9	[{1820803,{33,58}},{1820803,{33,43}},{1820803,{39,58}},{1820803,{39,43}}]
2	8	1	2	9	[{1820803,{33,58}},{1820803,{33,43}},{1820803,{39,58}},{1820803,{39,43}}]
2	8	1	1	9	[{1820803,{33,58}},{1820803,{33,43}},{1820803,{39,58}},{1820803,{39,43}}]
2	8	1	3	8	[{1820803,{33,58}},{1820803,{33,43}},{1820803,{39,58}},{1820803,{39,43}}]
2	8	1	2	8	[{1820803,{33,58}},{1820803,{33,43}},{1820803,{39,58}},{1820803,{39,43}}]
2	8	1	1	8	[{1820803,{33,58}},{1820803,{33,43}},{1820803,{39,58}},{1820803,{39,43}}]
2	8	1	3	7	[{1820803,{33,58}},{1820803,{33,43}},{1820803,{39,58}},{1820803,{39,43}}]
2	8	1	2	7	[{1820803,{33,58}},{1820803,{33,43}},{1820803,{39,58}},{1820803,{39,43}}]
2	8	1	1	7	[{1820803,{33,58}},{1820803,{33,43}},{1820803,{39,58}},{1820803,{39,43}}]
2	8	1	3	6	[{1820803,{33,58}},{1820803,{33,43}}]
2	8	1	2	6	[{1820803,{33,58}},{1820803,{33,43}}]
2	8	1	1	6	[{1820803,{33,58}},{1820803,{33,43}}]
2	8	1	3	5	[{1820802,{45,52}}]
2	8	1	2	5	[{1820802,{45,52}}]
2	8	1	1	5	[{1820802,{45,52}}]
2	8	1	3	4	[{1820801,{33,58}},{1820801,{33,43}},{1820801,{39,58}},{1820801,{39,43}}]
2	8	1	2	4	[{1820801,{33,58}},{1820801,{33,43}},{1820801,{39,58}},{1820801,{39,43}}]
2	8	1	1	4	[{1820801,{33,58}},{1820801,{33,43}},{1820801,{39,58}},{1820801,{39,43}}]
2	8	1	3	3	[{1820801,{33,58}},{1820801,{33,43}},{1820801,{39,58}},{1820801,{39,43}}]
2	8	1	2	3	[{1820801,{33,58}},{1820801,{33,43}},{1820801,{39,58}},{1820801,{39,43}}]
2	8	1	1	3	[{1820801,{33,58}},{1820801,{33,43}},{1820801,{39,58}},{1820801,{39,43}}]
