chapter	stage	pre_stage	entry_condition	entry_times	difficulty	class	transportid	monsterslist	type	time_s	killmonsterlist	protectnpclist	defend_sections	first_award_money	first_award_exp	first_award_items	common_award_money	common_award_exp	common_award_items	level_factor	time_factor	designation	section_duration

3	10	{3,9}	[{level,50}]	5	1	3	88818310	[8310001]	4	120	[{1831001,1,[35,102,102,48,48,48,48]}]	[]	0	4800	580000	[{24000020,5},{24300058,3}]	0	0	[]	48300	15000	16	0
3	10	{3,9}	[{level,50}]	5	1	2	88818310	[8310001]	4	120	[{1831001,1,[35,102,102,48,48,48,48]}]	[]	0	4800	580000	[{24000020,5},{24300058,3}]	0	0	[]	48300	15000	16	0
3	10	{3,9}	[{level,50}]	5	1	1	88818310	[8310001]	4	120	[{1831001,1,[35,102,102,48,48,48,48]}]	[]	0	4800	580000	[{24000020,5},{24300058,3}]	0	0	[]	48300	15000	16	0
3	9	{3,8}	[{level,50}]	5	1	3	88818309	[8309001]	4	120	[{1830901,1,[35,102,102,48,48,48,48]}]	[]	0	4600	560000	[{24000008,3},{22001703,1}]	0	0	[]	47600	15000	0	0
3	9	{3,8}	[{level,50}]	5	1	2	88818309	[8309001]	4	120	[{1830901,1,[35,102,102,48,48,48,48]}]	[]	0	4600	560000	[{24000008,3},{22001703,1}]	0	0	[]	47600	15000	0	0
3	9	{3,8}	[{level,50}]	5	1	1	88818309	[8309001]	4	120	[{1830901,1,[35,102,102,48,48,48,48]}]	[]	0	4600	560000	[{24000008,3},{22001703,1}]	0	0	[]	47600	15000	0	0
3	8	{3,7}	[{level,50}]	5	1	3	88818308	[8308001,8308002,8308003,8308004]	4	120	[{1830801,1,[35,102,102,48,48,48,48]}]	[]	0	4500	540000	[{24000118,5},{23004109,2}]	0	0	[]	46900	15000	15	0
3	8	{3,7}	[{level,50}]	5	1	2	88818308	[8308001,8308002,8308003,8308004]	4	120	[{1830801,1,[35,102,102,48,48,48,48]}]	[]	0	4500	540000	[{24000118,5},{23004109,2}]	0	0	[]	46900	15000	15	0
3	8	{3,7}	[{level,50}]	5	1	1	88818308	[8308001,8308002,8308003,8308004]	4	120	[{1830801,1,[35,102,102,48,48,48,48]}]	[]	0	4500	540000	[{24000118,5},{23004109,2}]	0	0	[]	46900	15000	15	0
3	7	{3,6}	[{level,50}]	5	1	3	88818307	[8307001,8307002,8307003,8307004,8307005,8307006,8307007]	4	120	[{1830701,6,[35,49,101,57,48,102,102]},{1830702,1,[35,102,102,48,48,48,48]}]	[]	0	4400	520000	[{24000085,5},{22001003,1}]	0	0	[]	46200	15000	0	0
3	7	{3,6}	[{level,50}]	5	1	2	88818307	[8307001,8307002,8307003,8307004,8307005,8307006,8307007]	4	120	[{1830701,6,[35,49,101,57,48,102,102]},{1830702,1,[35,102,102,48,48,48,48]}]	[]	0	4400	520000	[{24000085,5},{22001003,1}]	0	0	[]	46200	15000	0	0
3	7	{3,6}	[{level,50}]	5	1	1	88818307	[8307001,8307002,8307003,8307004,8307005,8307006,8307007]	4	120	[{1830701,6,[35,49,101,57,48,102,102]},{1830702,1,[35,102,102,48,48,48,48]}]	[]	0	4400	520000	[{24000085,5},{22001003,1}]	0	0	[]	46200	15000	0	0
3	6	{3,5}	[{level,50}]	5	1	3	88818306	[8306001,8306002,8306003,8306004,8306005,8306006,8306007]	4	120	[{1830601,6,[35,49,101,57,48,102,102]},{1830602,1,[35,102,102,48,48,48,48]}]	[]	0	4200	500000	[{24000022,2},{22005303,1}]	0	0	[]	45500	15000	14	0
3	6	{3,5}	[{level,50}]	5	1	2	88818306	[8306001,8306002,8306003,8306004,8306005,8306006,8306007]	4	120	[{1830601,6,[35,49,101,57,48,102,102]},{1830602,1,[35,102,102,48,48,48,48]}]	[]	0	4200	500000	[{24000022,2},{22005303,1}]	0	0	[]	45500	15000	14	0
3	6	{3,5}	[{level,50}]	5	1	1	88818306	[8306001,8306002,8306003,8306004,8306005,8306006,8306007]	4	120	[{1830601,6,[35,49,101,57,48,102,102]},{1830602,1,[35,102,102,48,48,48,48]}]	[]	0	4200	500000	[{24000022,2},{22005303,1}]	0	0	[]	45500	15000	14	0
3	5	{3,4}	[{level,50}]	5	1	3	88818305	[8305011]	4	60	[{1830501,1,[35,102,102,48,48,48,48]}]	[]	0	4100	480000	[{24000002,5},{22000803,1}]	0	0	[]	44800	15000	0	0
3	5	{3,4}	[{level,50}]	5	1	2	88818305	[8305011]	4	60	[{1830501,1,[35,102,102,48,48,48,48]}]	[]	0	4100	480000	[{24000002,5},{22000803,1}]	0	0	[]	44800	15000	0	0
3	5	{3,4}	[{level,50}]	5	1	1	88818305	[8305011]	4	60	[{1830501,1,[35,102,102,48,48,48,48]}]	[]	0	4100	480000	[{24000002,5},{22000803,1}]	0	0	[]	44800	15000	0	0
3	4	{3,3}	[{level,50}]	5	1	3	88818304	[8304001]	4	60	[{1830401,1,[35,102,102,48,48,48,48]}]	[]	0	4000	460000	[{24300054,3},{22000703,1}]	0	0	[]	44100	15000	13	0
3	4	{3,3}	[{level,50}]	5	1	2	88818304	[8304001]	4	60	[{1830401,1,[35,102,102,48,48,48,48]}]	[]	0	4000	460000	[{24300054,3},{22000703,1}]	0	0	[]	44100	15000	13	0
3	4	{3,3}	[{level,50}]	5	1	1	88818304	[8304001]	4	60	[{1830401,1,[35,102,102,48,48,48,48]}]	[]	0	4000	460000	[{24300054,3},{22000703,1}]	0	0	[]	44100	15000	13	0
3	3	{3,2}	[{level,50}]	5	1	3	88818303	[8303001]	4	60	[{1830301,1,[35,102,102,48,48,48,48]}]	[]	0	3900	440000	[{24200025,1},{22005103,1}]	0	0	[]	43400	15000	0	0
3	3	{3,2}	[{level,50}]	5	1	2	88818303	[8303001]	4	60	[{1830301,1,[35,102,102,48,48,48,48]}]	[]	0	3900	440000	[{24200025,1},{22005103,1}]	0	0	[]	43400	15000	0	0
3	3	{3,2}	[{level,50}]	5	1	1	88818303	[8303001]	4	60	[{1830301,1,[35,102,102,48,48,48,48]}]	[]	0	3900	440000	[{24200025,1},{22005103,1}]	0	0	[]	43400	15000	0	0
3	2	{3,1}	[{level,50}]	5	1	3	88818302	[8302001]	4	60	[{1830201,1,[35,102,102,48,48,48,48]}]	[]	0	3800	420000	[{24000081,3},{22000403,1}]	0	0	[]	42700	15000	12	0
3	2	{3,1}	[{level,50}]	5	1	2	88818302	[8302001]	4	60	[{1830201,1,[35,102,102,48,48,48,48]}]	[]	0	3800	420000	[{24000081,3},{22000403,1}]	0	0	[]	42700	15000	12	0
3	2	{3,1}	[{level,50}]	5	1	1	88818302	[8302001]	4	60	[{1830201,1,[35,102,102,48,48,48,48]}]	[]	0	3800	420000	[{24000081,3},{22000403,1}]	0	0	[]	42700	15000	12	0
3	1	{2,10}	[{level,50}]	5	1	3	88818301	[8301001]	4	60	[{1830101,1,[35,102,102,48,48,48,48]}]	[]	0	3700	400000	[{24000093,2},{22005003,1}]	0	0	[]	42000	15000	0	0
3	1	{2,10}	[{level,50}]	5	1	2	88818301	[8301001]	4	60	[{1830101,1,[35,102,102,48,48,48,48]}]	[]	0	3700	400000	[{24000093,2},{22005003,1}]	0	0	[]	42000	15000	0	0
3	1	{2,10}	[{level,50}]	5	1	1	88818301	[8301001]	4	60	[{1830101,1,[35,102,102,48,48,48,48]}]	[]	0	3700	400000	[{24000093,2},{22005003,1}]	0	0	[]	42000	15000	0	0
3	0	[]	[]	5	1	1	1	[]	1	0	[]	[]	1	0	0	[]	0	0	[]	[]	[]	0	0
2	10	{2,9}	[{level,50}]	5	1	3	88818210	[8210001]	4	120	[{1821001,1,[35,102,102,48,48,48,48]}]	[]	0	3650	390000	[{24000092,2},{24200058,3}]	0	0	[]	41300	15000	11	0
2	10	{2,9}	[{level,50}]	5	1	2	88818210	[8210001]	4	120	[{1821001,1,[35,102,102,48,48,48,48]}]	[]	0	3650	390000	[{24000092,2},{24200058,3}]	0	0	[]	41300	15000	11	0
2	10	{2,9}	[{level,50}]	5	1	1	88818210	[8210001]	4	120	[{1821001,1,[35,102,102,48,48,48,48]}]	[]	0	3650	390000	[{24000092,2},{24200058,3}]	0	0	[]	41300	15000	11	0
2	9	{2,8}	[{level,50}]	5	1	3	88818209	[8209006]	4	120	[{1820903,1,[35,102,102,48,48,48,48]}]	[]	0	3600	380000	[{24000091,2},{23004108,1}]	0	0	[]	40600	15000	0	0
2	9	{2,8}	[{level,50}]	5	1	2	88818209	[8209006]	4	120	[{1820903,1,[35,102,102,48,48,48,48]}]	[]	0	3600	380000	[{24000091,2},{23004108,1}]	0	0	[]	40600	15000	0	0
2	9	{2,8}	[{level,50}]	5	1	1	88818209	[8209006]	4	120	[{1820903,1,[35,102,102,48,48,48,48]}]	[]	0	3600	380000	[{24000091,2},{23004108,1}]	0	0	[]	40600	15000	0	0
2	8	{2,7}	[{level,50}]	5	1	3	88818208	[]	6	0	[]	[]	10	3550	370000	[{24000090,2},{22005302,1}]	0	0	[]	39900	10200	10	20
2	8	{2,7}	[{level,50}]	5	1	2	88818208	[]	6	0	[]	[]	10	3550	370000	[{24000090,2},{22005302,1}]	0	0	[]	39900	10200	10	20
2	8	{2,7}	[{level,50}]	5	1	1	88818208	[]	6	0	[]	[]	10	3550	370000	[{24000090,2},{22005302,1}]	0	0	[]	39900	10200	10	20
2	7	{2,6}	[{level,50}]	5	1	3	88818207	[]	6	0	[]	[]	10	3500	360000	[{24000050,5},{24000107,1}]	0	0	[]	39200	10800	0	20
2	7	{2,6}	[{level,50}]	5	1	2	88818207	[]	6	0	[]	[]	10	3500	360000	[{24000050,5},{24000107,1}]	0	0	[]	39200	10800	0	20
2	7	{2,6}	[{level,50}]	5	1	1	88818207	[]	6	0	[]	[]	10	3500	360000	[{24000050,5},{24000107,1}]	0	0	[]	39200	10800	0	20
2	6	{2,5}	[{level,50}]	5	1	3	88818206	[8206001,8206002,8206004,8206005,8206006,8206007,8206008,8206009,8206010,8206011,8206012,8206013,8206014,8206015,8206016,8206017]	4	240	[{1820602,1,[35,102,102,48,48,48,48]},{1820604,1,[35,102,102,48,48,48,48]},{1820606,1,[35,102,102,48,48,48,48]},{1820608,1,[35,102,102,48,48,48,48]}]	[]	0	3450	350000	[{24000047,5},{22005202,1}]	0	0	[]	38500	15000	9	0
2	6	{2,5}	[{level,50}]	5	1	2	88818206	[8206001,8206002,8206004,8206005,8206006,8206007,8206008,8206009,8206010,8206011,8206012,8206013,8206014,8206015,8206016,8206017]	4	240	[{1820602,1,[35,102,102,48,48,48,48]},{1820604,1,[35,102,102,48,48,48,48]},{1820606,1,[35,102,102,48,48,48,48]},{1820608,1,[35,102,102,48,48,48,48]}]	[]	0	3450	350000	[{24000047,5},{22005202,1}]	0	0	[]	38500	15000	9	0
2	6	{2,5}	[{level,50}]	5	1	1	88818206	[8206001,8206002,8206004,8206005,8206006,8206007,8206008,8206009,8206010,8206011,8206012,8206013,8206014,8206015,8206016,8206017]	4	240	[{1820602,1,[35,102,102,48,48,48,48]},{1820604,1,[35,102,102,48,48,48,48]},{1820606,1,[35,102,102,48,48,48,48]},{1820608,1,[35,102,102,48,48,48,48]}]	[]	0	3450	350000	[{24000047,5},{22005202,1}]	0	0	[]	38500	15000	9	0
2	5	{2,4}	[{level,50}]	5	1	3	88818205	[2820501]	5	0	[]	[2820501]	10	3400	340000	[{24000008,3},{24000102,5}]	0	0	[]	37800	10500	0	20
2	5	{2,4}	[{level,50}]	5	1	2	88818205	[2820501]	5	0	[]	[2820501]	10	3400	340000	[{24000008,3},{24000102,5}]	0	0	[]	37800	10500	0	20
2	5	{2,4}	[{level,50}]	5	1	1	88818205	[2820501]	5	0	[]	[2820501]	10	3400	340000	[{24000008,3},{24000102,5}]	0	0	[]	37800	10500	0	20
2	4	{2,3}	[{level,50}]	5	1	3	88818204	[2820401]	5	0	[]	[2820401]	6	3300	300000	[{24000005,3},{22005102,1}]	0	0	[]	37100	6900	8	20
2	4	{2,3}	[{level,50}]	5	1	2	88818204	[2820401]	5	0	[]	[2820401]	6	3300	300000	[{24000005,3},{22005102,1}]	0	0	[]	37100	6900	8	20
