mapid	map_name	is_instance	map_tag	restrict_items	script	can_flyshoes	linetag	serverdataname	pvptag

100	枫华谷	0	0	[]	[]	1	[]	100	1
200	落阳道	0	0	[]	[]	1	[]	200	1
300	有熊城	0	0	[]	[]	1	[]	300	1
309	云中阁一层	0	0	[]	[]	1	[]	309	1
310	云中阁二层	0	0	[]	[]	1	[]	310	1
311	云中阁三层	0	0	[]	[]	1	[]	311	1
312	云中阁四层	0	0	[]	[]	1	[]	312	1
313	云中阁五层	0	0	[]	[]	1	[]	313	1
320	通灵道	1	0	[19000300,19000301]	[{on_leave,delete_buffs,[[750000005,750000006,750000007,750000008]]}]	0	[]	320	1
321	通灵谷	1	0	[19000300,19000301]	[{on_join,group_change_pkmodel,[3]},{on_leave,delete_buffs,[[750000014,750000015,750000016,750000017]]}]	0	[]	321	1
333	灵虚殿	0	0	[]	[]	1	[]	333	1
339	监狱	0	5	[19000300,19000301]	[{on_join,change_pkmodel,[3]}]	1	[1]	339	0
500	飞虎岭	0	0	[]	[]	1	[]	500	1
502	诛魔台	1	0	[19000300,19000301]	[]	0	[]	502	1
600	天王殿	0	0	[]	[]	1	[]	600	1
603	玉蛟宫【单人】	1	0	[19000300,19000301]	[]	0	[]	603	1
605	玉蛟宫【精英】	1	0	[19000300,19000301]	[{on_join,group_change_pkmodel,[3]}]	0	[]	605	1
700	妙玉山	0	0	[]	[]	1	[]	700	1
801	绯红岭【单人】	1	0	[19000300,19000301]	[]	0	[]	801	1
802	绯红岭【精英】	1	0	[19000300,19000301]	[{on_join,group_change_pkmodel,[3]}]	0	[]	802	1
1000	夜祸林	0	0	[]	[]	1	[]	1000	1
1001	幽谷道	1	0	[19000300,19000301]	[]	0	[]	1001	1
1201	销金窟	1	0	[19000300,19000301]	[]	0	[]	1201	1
1201	多宝阁	1	0	[19000300,19000301]	[]	0	[]	1201	1
1203	仙境温泉	1	6	[19000300,19000301]	[{on_join,add_buffs_by_gender,[[{1,[{500000003,1}]},{0,[{500000004,1}]}]]},{on_leave,delete_buffs_by_gender,[[{1,[500000003]},{0,[500000004]}]]}]	0	[]	1203	1
1205	40级VIP地图	0	0	[]	[]	1	[1]	1202	1
1206	61级VIP地图	0	0	[]	[]	1	[1]	1202	1
1300	盘龙涧	0	0	[]	[]	1	[]	1300	1
1400	星陨峰	0	0	[]	[]	1	[]	1400	1
1500	南天门	0	0	[]	[]	1	[]	1500	1
1600	兜率宫	0	0	[]	[]	1	[]	1600	1
1601	锁命塔	1	0	[19000300,19000301]	[]	0	[]	1601	1
2001	传心阁	1	0	[19000300,19000301]	[]	0	[]	5001	1
4000	降妖伏魔	1	3	[19000300,19000301]	[]	0	[]	4000	0
4001	降妖伏魔	1	3	[19000300,19000301]	[]	0	[]	4001	0
4002	降妖伏魔	1	3	[19000300,19000301]	[]	0	[]	4002	0
4003	降妖伏魔	1	3	[19000300,19000301]	[]	0	[]	4003	0
4004	仙门夺旗	1	3	[19000300,19000301]	[]	0	[]	4004	0
4101	驱神魔殿	0	0	[19000300,19000301]	[{on_join,change_pkmodel,[3]}]	0	[1]	4101	0
4102	通风魔殿	0	0	[19000300,19000301]	[{on_join,change_pkmodel,[3]}]	0	[1]	4102	0
4103	移山魔殿	0	0	[19000300,19000301]	[{on_join,change_pkmodel,[3]}]	0	[1]	4103	0
4104	混天魔殿	0	0	[19000300,19000301]	[{on_join,change_pkmodel,[3]}]	0	[1]	4104	0
4105	覆海魔殿	0	0	[19000300,19000301]	[{on_join,change_pkmodel,[3]}]	0	[1]	4105	0
4106	平天魔殿	0	0	[19000300,19000301]	[{on_join,change_pkmodel,[3]}]	0	[1]	4106	0
4107	诛心魔殿	0	0	[19000300,19000301]	[{on_join,change_pkmodel,[3]}]	0	[1]	4107	0
4108	阴毒魔殿	0	0	[19000300,19000301]	[{on_join,change_pkmodel,[3]}]	0	[1]	4108	0
4109	波询魔殿	0	0	[19000300,19000301]	[{on_join,change_pkmodel,[3]}]	0	[1]	4109	0
5006	帮会驻地	1	11	[19000300,19000301]	[{on_join,add_buffs_by_timepoint,[[{500000005,1}]]},{on_leave,delete_buffs,[[500000005]]}]	0	[]	1815	0
5006	仙门福地	1	11	[19000300,19000301]	[{on_join,add_buffs_by_timepoint,[[{500000005,1}]]},{on_leave,delete_buffs,[[500000005]]}]	0	[]	1815	0
5007	帮会驻地	1	11	[19000300,19000301]	[{on_join,add_buffs_by_timepoint,[[{500000005,1}]]},{on_leave,delete_buffs,[[500000005]]}]	0	[]	1815	0
