npcid	rate	ruleids

1120121	100	[22317]
1600407	100	[22181,22182,22183,22184,22185]
1600406	100	[22178,22179,22180]
1600405	100	[22178,22179,22180]
1600404	100	[22178,22179,22180]
1600403	100	[22178,22179,22180]
1600402	100	[22186,22187,22188]
1600401	100	[22174,22175,22176,22177]
4500627	100	[22160,22161,22172]
4500626	100	[22160,22161,22172]
4500625	100	[22160,22161,22172]
4500624	100	[22160,22161,22172]
4500623	100	[22160,22161,22172]
4500622	100	[22160,22161,22172]
4500621	100	[22160,22161,22172]
4500620	100	[22160,22161,22172]
4500619	100	[22160,22161,22172]
1420005	100	[22158]
1410005	100	[22156]
1420002	100	[22158]
1420001	100	[22157]
1410002	100	[22156]
1410001	100	[22155]
1420004	100	[22158]
1420003	100	[22157]
1410004	100	[22156]
1410003	100	[22155]
1703001	100	[22146,22147,22148,22151]
1702901	100	[22146,22147,22148,22151]
1702801	100	[22146,22147,22148,22151]
1702701	100	[22146,22147,22148,22151]
1702601	100	[22146,22147,22148,22151]
1702501	100	[22146,22147,22148,22151]
1702401	100	[22146,22147,22148,22151]
1702302	100	[22146,22147,22148,22151]
1702301	100	[22146,22147,22148,22151]
1702202	100	[22146,22147,22148,22151]
1702201	100	[22146,22147,22148,22151]
1702101	100	[22146,22147,22148,22151]
1702002	100	[22146,22147,22148,22151]
1702001	100	[22146,22147,22148,22151]
1701902	100	[22146,22147,22148,22151]
1701901	100	[22146,22147,22148,22151]
1701801	100	[22146,22147,22148,22151]
1701702	100	[22146,22147,22148,22151]
1701701	100	[22146,22147,22148,22151]
1701602	100	[22146,22147,22148,22151]
1701601	100	[22146,22147,22148,22151]
1701501	100	[22146,22147,22148,22151]
1701402	100	[22146,22147,22148,22151]
1701401	100	[22146,22147,22148,22151]
1701302	100	[22146,22147,22148,22151]
1701301	100	[22146,22147,22148,22151]
1701201	100	[22146,22147,22148,22151]
1701101	100	[22146,22147,22148,22151]
1701001	100	[22146,22147,22148,22151]
1700901	100	[22146,22147,22148,22151]
1700801	100	[22146,22147,22148,22151]
1700701	100	[22146,22147,22148,22151]
1700601	100	[22146,22147,22148,22151]
1700501	100	[22146,22147,22148,22151]
1700401	100	[22146,22147,22148,22151]
1700301	100	[22146,22147,22148,22151]
1700201	100	[22146,22147,22148,22151]
1700101	100	[22146,22147,22148,22151]
