npcid	exchangeitems

24000018	[{24000082,400}]
24000050	[{24000082,400}]
24000049	[{24000082,100}]
24000047	[{24000082,100}]
24000046	[{24000082,100}]
24000016	[{24000082,400}]
11006174	[{50000004,200}]
11006164	[{50000004,200}]
11006154	[{50000004,200}]
11006144	[{50000004,200}]
11006134	[{50000004,200}]
11006124	[{50000004,200}]
11006114	[{50000004,200}]
11006104	[{50000004,200}]
11006094	[{50000004,200}]
11006084	[{50000004,200}]
11006074	[{50000004,200}]
11006064	[{50000004,200}]
11006054	[{50000004,200}]
11006044	[{50000004,200}]
11006034	[{50000004,200}]
11006024	[{50000004,200}]
11006014	[{50000004,200}]
11005174	[{50000003,100}]
11005164	[{50000003,100}]
11005154	[{50000003,100}]
11005144	[{50000003,100}]
11005134	[{50000003,100}]
11005124	[{50000003,100}]
11005114	[{50000003,100}]
11005104	[{50000003,100}]
11005094	[{50000003,100}]
11005084	[{50000003,100}]
11005074	[{50000003,100}]
11005064	[{50000003,100}]
11005054	[{50000003,100}]
11005044	[{50000003,100}]
11005034	[{50000003,100}]
11005024	[{50000003,100}]
11005014	[{50000003,100}]
11004173	[{50000002,50}]
11004163	[{50000002,50}]
11004153	[{50000002,50}]
11004143	[{50000002,50}]
11004133	[{50000002,50}]
11004123	[{50000002,50}]
11004113	[{50000002,50}]
11004103	[{50000002,50}]
11004093	[{50000002,50}]
11004083	[{50000002,50}]
11004073	[{50000002,50}]
11004063	[{50000002,50}]
11004053	[{50000002,50}]
11004043	[{50000002,50}]
11004033	[{50000002,50}]
11004023	[{50000002,50}]
11004013	[{50000002,50}]
11002172	[{50000001,10}]
11002162	[{50000001,10}]
11002152	[{50000001,10}]
11002142	[{50000001,10}]
11002132	[{50000001,10}]
11002122	[{50000001,10}]
11002112	[{50000001,10}]
11002102	[{50000001,2}]
11002092	[{50000001,10}]
11002082	[{50000001,10}]
11002072	[{50000001,10}]
11002062	[{50000001,10}]
11002052	[{50000001,10}]
11002042	[{50000001,10}]
11002032	[{50000001,10}]
11002022	[{50000001,10}]
11002012	[{50000001,10}]
