level	hourexp	exchange

100	360000	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
99	356400	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
98	352800	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
97	349200	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
96	345600	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
95	342000	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
94	338400	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
93	334800	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
92	331200	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
91	327600	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
90	324000	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
89	320400	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
88	316800	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
87	313200	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
86	309600	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
85	306000	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
84	302400	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
83	298800	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
82	295200	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
81	291600	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
80	288000	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
79	284400	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
78	280800	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
77	277200	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
76	273600	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
75	270000	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
74	266400	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
73	262800	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
72	259200	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
71	255600	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
70	252000	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
69	248400	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
68	244800	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
67	241200	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
66	237600	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
65	234000	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
64	230400	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
63	226800	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
62	223200	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
61	219600	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
60	216000	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
59	212400	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
58	208800	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
57	205200	[{1.5,[{2,30}]},{1.2,[{2,20}]},{1,[{1,10000}]},{0.5,[]}]
