step	lucky	rate
阶数	幸运值区间	幸运值所对应的成功几率
3	{100,100}	10000
3	{90,99}	2000
3	{80,89}	1640
3	{70,79}	80
3	{60,69}	70
3	{50,59}	10000
3	{40,49}	50
3	{30,39}	40
3	{20,29}	30
3	{10,19}	20
3	{0,9}	10
2	{100,100}	10000
2	{90,99}	10000
2	{80,89}	10000
2	{70,79}	10000
2	{60,69}	10000
2	{50,59}	10000
2	{40,49}	10000
2	{30,39}	10000
2	{20,29}	2800
2	{10,19}	200
2	{0,9}	100
1	{100,100}	10000
1	{90,99}	10000
1	{80,89}	10000
1	{70,79}	10000
1	{60,69}	10000
1	{50,59}	10000
1	{40,49}	10000
1	{30,39}	10000
1	{20,29}	10000
1	{10,19}	10000
1	{0,9}	1000
