quality	transform
资质值	对于角色身上附加属性的转化率
100	120
99	119
98	118
97	117
96	116
95	115
94	114
93	113
92	112
91	111
90	110
89	109
88	108
87	107
86	106
85	105
84	104
83	103
82	102
81	101
80	100
79	99
78	98
77	97
76	96
75	95
74	94
73	93
72	92
71	91
70	90
69	89
68	88
67	87
66	86
65	85
64	84
63	83
62	82
61	81
60	80
59	79
58	78
57	77
56	76
55	75
54	74
53	73
52	72
51	71
50	70
49	69
48	68
47	67
46	66
45	65
44	64
43	63
42	62
41	61
40	60
39	59
38	58
37	57
36	56
35	55
34	54
33	53
32	52
31	51
30	50
29	49
28	48
27	47
26	46
25	45
24	44
23	43
22	42
21	41
20	40
19	39
18	38
17	37
16	36
15	35
14	34
13	33
12	32
11	31
10	30
