proto	hp	power	defence	hprate	powerrate	defencerate	data1	data2
宠物类型（攻击，防御，均衡，生命）	附加血量值	附加攻击力	附加防御	血量几率	攻击几率	防御几率		
4004	1080	{106,106,106}	{102,102,102}	0.75	0.04	0.025	{0,0,0}	1
3004	580	{56,56,56}	{52,52,52}	0.75	0.04	0.025	{0,0,0}	1
2004	280	{26,26,26}	{22,22,22}	0.75	0.04	0.025	{0,0,0}	1
4	80	{6,6,6}	{2,2,2}	0.75	0.04	0.025	{0,0,0}	1
4003	1030	{106,106,106}	{110,110,110}	0.4	0.04	0.055	{0,0,0}	1
3003	530	{56,56,56}	{60,60,60}	0.4	0.04	0.055	{0,0,0}	1
2003	230	{26,26,26}	{30,30,30}	0.4	0.04	0.055	{0,0,0}	1
3	30	{6,6,6}	{10,10,10}	0.4	0.04	0.055	{0,0,0}	1
4002	1030	{115,115,115}	{102,102,102}	0.4	0.075	0.025	{0,0,0}	1
3002	530	{65,65,65}	{52,52,52}	0.4	0.075	0.025	{0,0,0}	1
2002	230	{35,35,35}	{22,22,22}	0.4	0.075	0.025	{0,0,0}	1
2	30	{15,15,15}	{2,2,2}	0.4	0.075	0.025	{0,0,0}	1
4001	1050	{110,110,110}	{105,105,105}	0.5	0.05	0.04	{0,0,0}	1
3001	550	{60,60,60}	{55,55,55}	0.5	0.05	0.04	{0,0,0}	1
2001	250	{30,30,30}	{25,25,25}	0.5	0.05	0.04	{0,0,0}	1
1	50	{10,10,10}	{5,5,5}	0.5	0.05	0.04	{0,0,0}	1
