level	exp	maxhp	sysaddattr
等级	经验	血量	其他属性
100	45960	4870	{554,554,554,1,414,414,414,1,1,1,1,0,0,0}
99	45420	4780	{544,544,544,1,405,405,405,1,1,1,1,0,0,0}
98	44880	4690	{534,534,534,1,396,396,396,1,1,1,1,0,0,0}
97	44340	4600	{524,524,524,1,387,387,387,1,1,1,1,0,0,0}
96	43800	4510	{514,514,514,1,378,378,378,1,1,1,1,0,0,0}
95	43260	4420	{504,504,504,1,369,369,369,1,1,1,1,0,0,0}
94	42720	4330	{494,494,494,1,360,360,360,1,1,1,1,0,0,0}
93	42180	4240	{484,484,484,1,351,351,351,1,1,1,1,0,0,0}
92	41640	4150	{474,474,474,1,342,342,342,1,1,1,1,0,0,0}
91	41100	4060	{464,464,464,1,333,333,333,1,1,1,1,0,0,0}
90	40560	3970	{454,454,454,1,324,324,324,1,1,1,1,0,0,0}
89	40020	3890	{445,445,445,1,315,315,315,1,1,1,1,0,0,0}
88	39480	3810	{436,436,436,1,307,307,307,1,1,1,1,0,0,0}
87	38940	3730	{427,427,427,1,299,299,299,1,1,1,1,0,0,0}
86	38400	3650	{418,418,418,1,291,291,291,1,1,1,1,0,0,0}
85	37860	3570	{409,409,409,1,283,283,283,1,1,1,1,0,0,0}
84	37320	3490	{400,400,400,1,275,275,275,1,1,1,1,0,0,0}
83	36780	3410	{391,391,391,1,267,267,267,1,1,1,1,0,0,0}
82	36240	3330	{382,382,382,1,259,259,259,1,1,1,1,0,0,0}
81	35700	3250	{373,373,373,1,251,251,251,1,1,1,1,0,0,0}
80	35160	3170	{364,364,364,1,243,243,243,1,1,1,1,0,0,0}
79	34620	3100	{356,356,356,1,235,235,235,1,1,1,1,0,0,0}
78	34080	3030	{348,348,348,1,228,228,228,1,1,1,1,0,0,0}
77	33540	2960	{340,340,340,1,221,221,221,1,1,1,1,0,0,0}
76	33000	2870	{332,332,332,1,214,214,214,1,1,1,1,0,0,0}
75	32460	2800	{324,324,324,1,207,207,207,1,1,1,1,0,0,0}
74	31920	2730	{316,316,316,1,200,200,200,1,1,1,1,0,0,0}
73	31380	2560	{308,308,308,1,193,193,193,1,1,1,1,0,0,0}
72	30840	2490	{300,300,300,1,186,186,186,1,1,1,1,0,0,0}
71	30300	2420	{292,292,292,1,179,179,179,1,1,1,1,0,0,0}
70	29760	2350	{284,284,284,1,172,172,172,1,1,1,1,0,0,0}
69	29220	2290	{277,277,277,1,165,165,165,1,1,1,1,0,0,0}
68	28680	2230	{270,270,270,1,159,159,159,1,1,1,1,0,0,0}
67	28140	2170	{263,263,263,1,153,153,153,1,1,1,1,0,0,0}
66	27600	2110	{256,256,256,1,147,147,147,1,1,1,1,0,0,0}
65	27060	2050	{249,249,249,1,141,141,141,1,1,1,1,0,0,0}
64	26520	1990	{242,242,242,1,135,135,135,1,1,1,1,0,0,0}
63	25980	1930	{235,235,235,1,129,129,129,1,1,1,1,0,0,0}
62	25440	1870	{228,228,228,1,123,123,123,1,1,1,1,0,0,0}
61	24900	1810	{221,221,221,1,117,117,117,1,1,1,1,0,0,0}
60	24360	1750	{214,214,214,1,111,111,111,1,1,1,1,0,0,0}
59	23820	1700	{208,208,208,1,105,105,105,1,1,1,1,0,0,0}
58	23280	1650	{202,202,202,1,100,100,100,1,1,1,1,0,0,0}
57	22740	1600	{196,196,196,1,95,95,95,1,1,1,1,0,0,0}
56	22200	1550	{190,190,190,1,90,90,90,1,1,1,1,0,0,0}
55	21660	1500	{184,184,184,1,85,85,85,1,1,1,1,0,0,0}
54	21120	1450	{178,178,178,1,80,80,80,1,1,1,1,0,0,0}
53	20580	1400	{172,172,172,1,75,75,75,1,1,1,1,0,0,0}
52	20040	1350	{166,166,166,1,70,70,70,1,1,1,1,0,0,0}
51	19500	1300	{160,160,160,1,65,65,65,1,1,1,1,0,0,0}
50	18960	1250	{154,154,154,1,60,60,60,1,1,1,1,0,0,0}
49	18420	1210	{149,149,149,1,55,55,55,1,1,1,1,0,0,0}
48	17880	1170	{144,144,144,1,43,43,43,1,1,1,1,0,0,0}
47	17340	1130	{139,139,139,1,43,43,43,1,1,1,1,0,0,0}
46	16800	1090	{134,134,134,1,43,43,43,1,1,1,1,0,0,0}
45	16380	1050	{129,129,129,1,43,43,43,1,1,1,1,0,0,0}
44	15960	1010	{124,124,124,1,43,43,43,1,1,1,1,0,0,0}
43	15540	970	{119,119,119,1,43,43,43,1,1,1,1,0,0,0}
42	15120	930	{114,114,114,1,43,43,43,1,1,1,1,0,0,0}
41	14700	890	{109,109,109,1,43,43,43,1,1,1,1,0,0,0}
40	14280	850	{104,104,104,1,43,43,43,1,1,1,1,0,0,0}
