protoid	name	species	femina_rate	class	min_take_level	quality_to_growth	born_abilities	born_attr	born_talents	born_skills	happiness_cast	born_quality	born_quality_up	can_delete	can_explore
Id	名字	物种	性别概率	类型	携带最低等级									是否可以删除	
1	小蜻蜓	2	100	1	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{20,80,5,50,100}	{10,10,10,10}	{{100,150},{100,150},{100,150},{100,150}}	[]	{5,100}	[{1,[{{10,10},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,25},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	1
2	霜狼	2	50	3	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{20,80,5,50,100}	{10,10,10,10}	{{100,150},{100,150},{100,150},{100,150}}	[]	{5,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
3	熊猫	2	30	3	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{20,80,5,50,100}	{10,10,10,10}	{{100,150},{100,150},{100,150},{100,150}}	[]	{5,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
4	幽冥虎	2	50	1	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{20,80,5,50,100}	{10,10,10,10}	{{100,150},{100,150},{100,150},{100,150}}	[]	{5,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
5	刃豹	2	50	2	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{20,80,5,50,100}	{10,10,10,10}	{{100,150},{100,150},{100,150},{100,150}}	[]	{5,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
6	蝶仙	1	100	1	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{20,80,5,50,100}	{10,10,10,10}	{{100,150},{100,150},{100,150},{100,150}}	[]	{5,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
7	小仙女	1	30	3	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{20,80,5,50,100}	{10,10,10,10}	{{100,150},{100,150},{100,150},{100,150}}	[]	{5,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
8	萌喵喵	1	30	2	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{20,80,5,50,100}	{10,10,10,10}	{{100,150},{100,150},{100,150},{100,150}}	[]	{5,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
9	寒冰比蒙	1	30	2	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{20,80,5,50,100}	{10,10,10,10}	{{100,150},{100,150},{100,150},{100,150}}	[]	{5,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
