quality_value	rate	needs	protect	money
资质值	几率运算	需要物品类型	需要物品类型	消耗金钱
100	[{1,125},{2,25},{3,5},{-1,2375},{-2,475},{-3,95}]	120	121	500
99	[{1,125},{2,25},{3,5},{-1,2375},{-2,475},{-3,95}]	120	121	500
98	[{1,125},{2,25},{3,5},{-1,2375},{-2,475},{-3,95}]	120	121	500
97	[{1,125},{2,25},{3,5},{-1,2375},{-2,475},{-3,95}]	120	121	500
96	[{1,125},{2,25},{3,5},{-1,2375},{-2,475},{-3,95}]	120	121	500
95	[{1,125},{2,25},{3,5},{-1,2375},{-2,475},{-3,95}]	120	121	500
94	[{1,125},{2,25},{3,5},{-1,2375},{-2,475},{-3,95}]	120	121	500
93	[{1,125},{2,25},{3,5},{-1,2375},{-2,475},{-3,95}]	120	121	500
92	[{1,125},{2,25},{3,5},{-1,2375},{-2,475},{-3,95}]	120	121	500
91	[{1,125},{2,25},{3,5},{-1,2375},{-2,475},{-3,95}]	120	121	500
90	[{1,125},{2,25},{3,5},{0,2945},{-1,0},{-2,0},{-3,0}]	120	121	500
89	[{1,125},{2,25},{3,5},{-1,2375},{-2,475},{-3,95}]	120	121	500
88	[{1,125},{2,25},{3,5},{-1,2375},{-2,475},{-3,95}]	120	121	500
87	[{1,125},{2,25},{3,5},{-1,2375},{-2,475},{-3,95}]	120	121	500
86	[{1,125},{2,25},{3,5},{-1,2375},{-2,475},{-3,95}]	120	121	500
85	[{1,25},{2,5},{3,1},{-1,225},{-2,45},{-3,9}]	120	121	500
84	[{1,25},{2,5},{3,1},{-1,225},{-2,45},{-3,9}]	120	121	500
83	[{1,25},{2,5},{3,1},{-1,225},{-2,45},{-3,9}]	120	121	500
82	[{1,25},{2,5},{3,1},{-1,225},{-2,45},{-3,9}]	120	121	500
81	[{1,25},{2,5},{3,1},{-1,225},{-2,45},{-3,9}]	120	121	500
80	[{1,25},{2,5},{3,1},{0,279},{-1,0},{-2,0},{-3,0}]	120	121	500
79	[{1,375},{2,75},{3,15},{-1,2125},{-2,425},{-3,85}]	120	121	500
78	[{1,375},{2,75},{3,15},{-1,2125},{-2,425},{-3,85}]	120	121	500
77	[{1,375},{2,75},{3,15},{-1,2125},{-2,425},{-3,85}]	120	121	500
76	[{1,375},{2,75},{3,15},{-1,2125},{-2,425},{-3,85}]	120	121	500
75	[{1,375},{2,75},{3,15},{-1,2125},{-2,425},{-3,85}]	120	121	500
74	[{1,50},{2,10},{3,2},{-1,200},{-2,40},{-3,8}]	120	121	500
73	[{1,50},{2,10},{3,2},{-1,200},{-2,40},{-3,8}]	120	121	500
72	[{1,50},{2,10},{3,2},{-1,200},{-2,40},{-3,8}]	120	121	500
71	[{1,50},{2,10},{3,2},{-1,200},{-2,40},{-3,8}]	120	121	500
70	[{1,50},{2,10},{3,2},{0,248},{-1,0},{-2,0},{-3,0}]	120	121	500
69	[{1,625},{2,125},{3,25},{-1,1875},{-2,375},{-3,75}]	120	121	500
68	[{1,625},{2,125},{3,25},{-1,1875},{-2,375},{-3,75}]	120	121	500
67	[{1,625},{2,125},{3,25},{-1,1875},{-2,375},{-3,75}]	120	121	500
66	[{1,625},{2,125},{3,25},{-1,1875},{-2,375},{-3,75}]	120	121	500
