skillid	skilllevel	skill	itemid
技能ID	技能等级	技能属性	物品Id
220012	5	[{toughness,130}]	{22001250,22001251}
220012	4	[{toughness,95}]	{22001240,22001241}
220012	3	[{toughness,65}]	{22001230,22001231}
220012	2	[{toughness,40}]	{22001220,22001221}
220012	1	[{toughness,20}]	{22001210,22001211}
220011	5	[{criticaldestroyrate,130}]	{22001150,22001151}
220011	4	[{criticaldestroyrate,95}]	{22001140,22001141}
220011	3	[{criticaldestroyrate,65}]	{22001130,22001131}
220011	2	[{criticaldestroyrate,40}]	{22001120,22001121}
220011	1	[{criticaldestroyrate,20}]	{22001110,22001111}
220010	5	[{criticalrate,130}]	{22001050,22001051}
220010	4	[{criticalrate,95}]	{22001040,22001041}
220010	3	[{criticalrate,65}]	{22001030,22001031}
220010	2	[{criticalrate,40}]	{22001020,22001021}
220010	1	[{criticalrate,20}]	{22001010,22001011}
220009	5	[{dodge,130}]	{22000950,22000951}
220009	4	[{dodge,95}]	{22000940,22000941}
220009	3	[{dodge,65}]	{22000930,22000931}
220009	2	[{dodge,40}]	{22000920,22000921}
220009	1	[{dodge,20}]	{22000910,22000911}
220008	5	[{hitrate,130}]	{22000850,22000851}
220008	4	[{hitrate,95}]	{22000840,22000841}
220008	3	[{hitrate,65}]	{22000830,22000831}
220008	2	[{hitrate,40}]	{22000820,22000821}
220008	1	[{hitrate,20}]	{22000810,22000811}
220007	5	[{magicdefense,130}]	{22000750,22000751}
220007	4	[{magicdefense,95}]	{22000740,22000741}
220007	3	[{magicdefense,65}]	{22000730,22000731}
220007	2	[{magicdefense,40}]	{22000720,22000721}
220007	1	[{magicdefense,20}]	{22000710,22000711}
220006	5	[{rangedefense,130}]	{22000650,22000651}
220006	4	[{rangedefense,95}]	{22000640,22000641}
220006	3	[{rangedefense,65}]	{22000630,22000631}
220006	2	[{rangedefense,40}]	{22000620,22000621}
220006	1	[{rangedefense,20}]	{22000610,22000611}
220005	5	[{meleedefense,130}]	{22000550,22000551}
220005	4	[{meleedefense,95}]	{22000540,22000541}
220005	3	[{meleedefense,65}]	{22000530,22000531}
220005	2	[{meleedefense,40}]	{22000520,22000521}
220005	1	[{meleedefense,20}]	{22000510,22000511}
220004	5	[{magicpower,130}]	{22000450,22000451}
220004	4	[{magicpower,95}]	{22000440,22000441}
220004	3	[{magicpower,65}]	{22000430,22000431}
220004	2	[{magicpower,40}]	{22000420,22000421}
220004	1	[{magicpower,20}]	{22000410,22000411}
220003	5	[{rangepower,130}]	{22000350,22000351}
220003	4	[{rangepower,95}]	{22000340,22000341}
220003	3	[{rangepower,65}]	{22000330,22000331}
220003	2	[{rangepower,40}]	{22000320,22000321}
220003	1	[{rangepower,20}]	{22000310,22000311}
220002	5	[{meleepower,130}]	{22000250,22000251}
220002	4	[{meleepower,95}]	{22000240,22000241}
220002	3	[{meleepower,65}]	{22000230,22000231}
220002	2	[{meleepower,40}]	{22000220,22000221}
220002	1	[{meleepower,20}]	{22000210,22000211}
220001	5	[{hpmax,2100}]	{22000150,22000151}
220001	4	[{hpmax,1500}]	{22000140,22000141}
220001	3	[{hpmax,1000}]	{22000130,22000131}
220001	2	[{hpmax,600}]	{22000120,22000121}
220001	1	[{hpmax,300}]	{22000110,22000111}
