level	item	money
天赋等级	消耗物品	消耗金钱
30	{{13160030,13160031},102}	300000
29	{{13160030,13160031},96}	290000
28	{{13160030,13160031},90}	280000
27	{{13160030,13160031},84}	270000
26	{{13160030,13160031},78}	260000
25	{{13160030,13160031},72}	250000
24	{{13160030,13160031},66}	240000
23	{{13160030,13160031},60}	230000
22	{{13160030,13160031},54}	220000
21	{{13160030,13160031},48}	210000
20	{{13160020,13160021},78}	200000
19	{{13160020,13160021},72}	190000
18	{{13160020,13160021},66}	180000
17	{{13160020,13160021},60}	170000
16	{{13160020,13160021},54}	160000
15	{{13160020,13160021},48}	150000
14	{{13160020,13160021},42}	140000
13	{{13160020,13160021},36}	130000
12	{{13160020,13160021},30}	120000
11	{{13160020,13160021},24}	110000
10	{{13160010,13160011},80}	100000
9	{{13160010,13160011},72}	90000
8	{{13160010,13160011},64}	80000
7	{{13160010,13160011},56}	70000
6	{{13160010,13160011},48}	60000
5	{{13160010,13160011},40}	50000
4	{{13160010,13160011},32}	40000
3	{{13160010,13160011},24}	30000
2	{{13160010,13160011},16}	20000
1	{{13160010,13160011},8}	10000
