talnetid	level	affect
天赋Id	等级	效果
100010	1	[{meleedefense,200},{rangedefense,200},{magicdefense,200}]
100009	1	[{meleepower,200},{rangepower,200},{magicpower,200}]
100008	1	[{hpmax,2000}]
100007	30	[{magicimmunity,124}]
100007	29	[{magicimmunity,120}]
100007	28	[{magicimmunity,116}]
100007	27	[{magicimmunity,112}]
100007	26	[{magicimmunity,108}]
100007	25	[{magicimmunity,104}]
100007	24	[{magicimmunity,100}]
100007	23	[{magicimmunity,96}]
100007	22	[{magicimmunity,92}]
100007	21	[{magicimmunity,88}]
100007	20	[{magicimmunity,84}]
100007	19	[{magicimmunity,80}]
100007	18	[{magicimmunity,76}]
100007	17	[{magicimmunity,72}]
100007	16	[{magicimmunity,68}]
100007	15	[{magicimmunity,64}]
100007	14	[{magicimmunity,60}]
100007	13	[{magicimmunity,56}]
100007	12	[{magicimmunity,52}]
100007	11	[{magicimmunity,48}]
100007	10	[{magicimmunity,44}]
100007	9	[{magicimmunity,40}]
100007	8	[{magicimmunity,36}]
100007	7	[{magicimmunity,32}]
100007	6	[{magicimmunity,28}]
100007	5	[{magicimmunity,24}]
100007	4	[{magicimmunity,20}]
100007	3	[{magicimmunity,16}]
100007	2	[{magicimmunity,12}]
100007	1	[{magicimmunity,8}]
100006	30	[{rangeimmunity,124}]
100006	29	[{rangeimmunity,120}]
100006	28	[{rangeimmunity,116}]
100006	27	[{rangeimmunity,112}]
100006	26	[{rangeimmunity,108}]
100006	25	[{rangeimmunity,104}]
100006	24	[{rangeimmunity,100}]
100006	23	[{rangeimmunity,96}]
100006	22	[{rangeimmunity,92}]
100006	21	[{rangeimmunity,88}]
100006	20	[{rangeimmunity,84}]
100006	19	[{rangeimmunity,80}]
100006	18	[{rangeimmunity,76}]
100006	17	[{rangeimmunity,72}]
100006	16	[{rangeimmunity,68}]
100006	15	[{rangeimmunity,64}]
100006	14	[{rangeimmunity,60}]
100006	13	[{rangeimmunity,56}]
100006	12	[{rangeimmunity,52}]
100006	11	[{rangeimmunity,48}]
100006	10	[{rangeimmunity,44}]
100006	9	[{rangeimmunity,40}]
100006	8	[{rangeimmunity,36}]
100006	7	[{rangeimmunity,32}]
100006	6	[{rangeimmunity,28}]
100006	5	[{rangeimmunity,24}]
100006	4	[{rangeimmunity,20}]
100006	3	[{rangeimmunity,16}]
100006	2	[{rangeimmunity,12}]
100006	1	[{rangeimmunity,8}]
100005	30	[{meleeimmunity,124}]
100005	29	[{meleeimmunity,120}]
100005	28	[{meleeimmunity,116}]
100005	27	[{meleeimmunity,112}]
100005	26	[{meleeimmunity,108}]
100005	25	[{meleeimmunity,104}]
100005	24	[{meleeimmunity,100}]
100005	23	[{meleeimmunity,96}]
100005	22	[{meleeimmunity,92}]
100005	21	[{meleeimmunity,88}]
100005	20	[{meleeimmunity,84}]
100005	19	[{meleeimmunity,80}]
100005	18	[{meleeimmunity,76}]
100005	17	[{meleeimmunity,72}]
100005	16	[{meleeimmunity,68}]
100005	15	[{meleeimmunity,64}]
100005	14	[{meleeimmunity,60}]
100005	13	[{meleeimmunity,56}]
100005	12	[{meleeimmunity,52}]
100005	11	[{meleeimmunity,48}]
100005	10	[{meleeimmunity,44}]
100005	9	[{meleeimmunity,40}]
100005	8	[{meleeimmunity,36}]
100005	7	[{meleeimmunity,32}]
100005	6	[{meleeimmunity,28}]
100005	5	[{meleeimmunity,24}]
100005	4	[{meleeimmunity,20}]
100005	3	[{meleeimmunity,16}]
100005	2	[{meleeimmunity,12}]
100005	1	[{meleeimmunity,8}]
100004	30	[{toughness,248}]
100004	29	[{toughness,240}]
100004	28	[{toughness,232}]
100004	27	[{toughness,224}]
100004	26	[{toughness,216}]
100004	25	[{toughness,208}]
100004	24	[{toughness,200}]
100004	23	[{toughness,192}]
100004	22	[{toughness,184}]
100004	21	[{toughness,176}]
100004	20	[{toughness,168}]
100004	19	[{toughness,160}]
100004	18	[{toughness,152}]
100004	17	[{toughness,144}]
100004	16	[{toughness,136}]
100004	15	[{toughness,128}]
100004	14	[{toughness,120}]
100004	13	[{toughness,112}]
100004	12	[{toughness,104}]
100004	11	[{toughness,96}]
100004	10	[{toughness,88}]
100004	9	[{toughness,80}]
100004	8	[{toughness,72}]
100004	7	[{toughness,64}]
100004	6	[{toughness,56}]
100004	5	[{toughness,48}]
100004	4	[{toughness,40}]
100004	3	[{toughness,32}]
100004	2	[{toughness,24}]
100004	1	[{toughness,16}]
100003	30	[{criticaldestroyrate,248}]
100003	29	[{criticaldestroyrate,240}]
100003	28	[{criticaldestroyrate,232}]
100003	27	[{criticaldestroyrate,224}]
100003	26	[{criticaldestroyrate,216}]
100003	25	[{criticaldestroyrate,208}]
100003	24	[{criticaldestroyrate,200}]
100003	23	[{criticaldestroyrate,192}]
100003	22	[{criticaldestroyrate,184}]
100003	21	[{criticaldestroyrate,176}]
100003	20	[{criticaldestroyrate,168}]
100003	19	[{criticaldestroyrate,160}]
100003	18	[{criticaldestroyrate,152}]
100003	17	[{criticaldestroyrate,144}]
100003	16	[{criticaldestroyrate,136}]
100003	15	[{criticaldestroyrate,128}]
100003	14	[{criticaldestroyrate,120}]
100003	13	[{criticaldestroyrate,112}]
100003	12	[{criticaldestroyrate,104}]
100003	11	[{criticaldestroyrate,96}]
100003	10	[{criticaldestroyrate,88}]
100003	9	[{criticaldestroyrate,80}]
100003	8	[{criticaldestroyrate,72}]
