growth	ratevalue	needitem
成长值	几率	消耗物品
80	[{1,0},{2,0},{3,0},{0,62}]	[13150010,13150011]
79	[{1,31},{2,5},{3,1},{0,25}]	[13150010,13150011]
78	[{1,31},{2,5},{3,1},{0,25}]	[13150010,13150011]
77	[{1,31},{2,5},{3,1},{0,25}]	[13150010,13150011]
76	[{1,31},{2,5},{3,1},{0,25}]	[13150010,13150011]
75	[{1,31},{2,5},{3,1},{0,25}]	[13150010,13150011]
74	[{1,31},{2,5},{3,1},{0,25}]	[13150010,13150011]
73	[{1,31},{2,5},{3,1},{0,25}]	[13150010,13150011]
72	[{1,31},{2,5},{3,1},{0,25}]	[13150010,13150011]
71	[{1,31},{2,5},{3,1},{0,25}]	[13150010,13150011]
70	[{1,35},{2,6},{3,1},{0,20}]	[13150010,13150011]
69	[{1,35},{2,6},{3,1},{0,20}]	[13150010,13150011]
68	[{1,35},{2,6},{3,1},{0,20}]	[13150010,13150011]
67	[{1,35},{2,6},{3,1},{0,20}]	[13150010,13150011]
66	[{1,35},{2,6},{3,1},{0,20}]	[13150010,13150011]
65	[{1,35},{2,6},{3,1},{0,20}]	[13150010,13150011]
64	[{1,35},{2,6},{3,1},{0,20}]	[13150010,13150011]
63	[{1,35},{2,6},{3,1},{0,20}]	[13150010,13150011]
62	[{1,35},{2,6},{3,1},{0,20}]	[13150010,13150011]
61	[{1,35},{2,6},{3,1},{0,20}]	[13150010,13150011]
60	[{1,39},{2,7},{3,1},{0,15}]	[13150010,13150011]
59	[{1,39},{2,7},{3,1},{0,15}]	[13150010,13150011]
58	[{1,39},{2,7},{3,1},{0,15}]	[13150010,13150011]
57	[{1,39},{2,7},{3,1},{0,15}]	[13150010,13150011]
56	[{1,39},{2,7},{3,1},{0,15}]	[13150010,13150011]
55	[{1,39},{2,7},{3,1},{0,15}]	[13150010,13150011]
54	[{1,39},{2,7},{3,1},{0,15}]	[13150010,13150011]
53	[{1,39},{2,7},{3,1},{0,15}]	[13150010,13150011]
52	[{1,39},{2,7},{3,1},{0,15}]	[13150010,13150011]
51	[{1,39},{2,7},{3,1},{0,15}]	[13150010,13150011]
50	[{1,39},{2,7},{3,1},{0,15}]	[13150010,13150011]
49	[{1,39},{2,7},{3,1},{0,15}]	[13150010,13150011]
48	[{1,43},{2,8},{3,1},{0,10}]	[13150010,13150011]
47	[{1,43},{2,8},{3,1},{0,10}]	[13150010,13150011]
46	[{1,43},{2,8},{3,1},{0,10}]	[13150010,13150011]
45	[{1,43},{2,8},{3,1},{0,10}]	[13150010,13150011]
44	[{1,43},{2,8},{3,1},{0,10}]	[13150010,13150011]
43	[{1,43},{2,8},{3,1},{0,10}]	[13150010,13150011]
42	[{1,43},{2,8},{3,1},{0,10}]	[13150010,13150011]
41	[{1,43},{2,8},{3,1},{0,10}]	[13150010,13150011]
40	[{1,43},{2,8},{3,1},{0,10}]	[13150010,13150011]
39	[{1,43},{2,8},{3,1},{0,10}]	[13150010,13150011]
38	[{1,47},{2,9},{3,1},{0,5}]	[13150010,13150011]
37	[{1,47},{2,9},{3,1},{0,5}]	[13150010,13150011]
36	[{1,47},{2,9},{3,1},{0,5}]	[13150010,13150011]
35	[{1,47},{2,9},{3,1},{0,5}]	[13150010,13150011]
34	[{1,47},{2,9},{3,1},{0,5}]	[13150010,13150011]
33	[{1,47},{2,9},{3,1},{0,5}]	[13150010,13150011]
32	[{1,47},{2,9},{3,1},{0,5}]	[13150010,13150011]
31	[{1,47},{2,9},{3,1},{0,5}]	[13150010,13150011]
30	[{1,47},{2,9},{3,1},{0,5}]	[13150010,13150011]
29	[{1,47},{2,9},{3,1},{0,5}]	[13150010,13150011]
28	[{1,50},{2,10},{3,2},{0,0}]	[13150010,13150011]
27	[{1,50},{2,10},{3,2},{0,0}]	[13150010,13150011]
26	[{1,50},{2,10},{3,2},{0,0}]	[13150010,13150011]
25	[{1,50},{2,10},{3,2},{0,0}]	[13150010,13150011]
24	[{1,50},{2,10},{3,2},{0,0}]	[13150010,13150011]
23	[{1,50},{2,10},{3,2},{0,0}]	[13150010,13150011]
22	[{1,50},{2,10},{3,2},{0,0}]	[13150010,13150011]
21	[{1,50},{2,10},{3,2},{0,0}]	[13150010,13150011]
20	[{1,50},{2,10},{3,2},{0,0}]	[13150010,13150011]
