npcid	quest_action

2030016	{[100300068,100300069,100300070,100300071,100300072,100300073,100300074],[100300067,100300068,100300069,100300070,100300071,100300072,100300073]}
2160005	{[],[]}
2160004	{[],[]}
2160003	{[],[]}
2160002	{[],[]}
2160001	{[],[]}
2150005	{[],[]}
2150004	{[],[]}
2150003	{[],[]}
2150002	{[],[]}
2150001	{[],[]}
2140005	{[101400008,101400004,101400005,101400006,101400007,101400009],[101400007,101400008,101400003,101400004,101400005,101400006,101400009]}
2140004	{[],[]}
2140003	{[],[]}
2140002	{[],[]}
2130003	{[101300005,101300006,101300007,101300008,101300011,101300012,101300013,101300014,101300015],[101300004,101300005,101300006,101300007,101300010,101300011,101300012,101300013,101300014]}
2130002	{[101300001,101300002,101300003,101300004,101300018,101300019,101300020,101300021,101400001,101400002,101400003],[100300077,101300001,101300002,101300003,101300017,101300018,101300019,101300020,101300024,101400001,101400002]}
2130001	{[100300075,100300076,100300077,101300009,101300010,101300016,101300017,101300023,101300024,101300022],[100300074,100300075,100300076,101300008,101300015,101300016,101300021,101300022,101300023,101300009]}
2070004	{[100700016,100700017,100700018,100700027,100700028,100700029],[100300062,100700016,100700017,100700026,100700027,100700028]}
2070003	{[100700013,100700014],[100700012,100700013]}
2070002	{[100700009,100700010,100700011,100700012,100700015,100700022,100700023],[100700008,100700009,100700010,100700011,100700014,100300063,100700022]}
2070001	{[100700001,100700002,100700004,100300018,100700005,100700008,100700019,100700020,100700021,100300064,100700024,100700025,100700026,100700003,100700006,100700007],[100300059,100700001,100700002,100700003,100300017,100300018,100700005,100700006,100700018,100700019,100700020,100700023,100300064,100700024,100700025,100300060]}
2031301	{[],[]}
2031201	{[],[]}
2031101	{[110022001,110022002,110022003,110022004,110022005],[110022001,110022002,110022003,110022004,110022005]}
2031001	{[110021001,110021002,110021003,110021004,110021005],[110021001,110021002,110021003,110021004,110021005]}
2030901	{[100300039,110020001,110020002,110020003,110020004,110020005],[100300038,110020001,110020002,110020003,110020004,110020005]}
2030026	{[100300048,100300049,100300050,100300051,110041001],[100300047,100300048,100300049,100300050,110041001]}
2140001	{[],[110040001]}
2030021	{[100300059,110040001],[100300058]}
2030012	{[100300045,110071001,110072001,110073001,110074001,110075001,110076001],[100300044,110071001,110072001,110073001,110074001,110075001,110076001]}
2030018	{[100300043,100300044,100300057],[100300042,100300043,100300056]}
2030022	{[100300008,100300030,100300031,100300032],[100300004,100300029,100300030,100300031]}
2030019	{[],[]}
2050009	{[100500013],[100500012]}
2050008	{[100500007,100500008,100500009,100500010,100500012,100500021,100500029,100500030],[100500006,100500007,100500008,100500009,100500011,100500020,100500028,100500029]}
2050007	{[100500005,100500006,100500020],[100500004,100500005,100500019]}
2050006	{[100500002,100500003,100500004],[100500001,100500002,100500003]}
2050005	{[100500011,100500024,100500025,100500026,100500027,100500028],[100500010,100500023,100500024,100500025,100500026,100500027]}
2050004	{[101000008,101000011,101000014],[101000007,101000010,101000013]}
2050003	{[100500014,100500015,100500022,100500023],[100500013,100500014,100500021,100500022]}
2050002	{[100500018],[100500017]}
2050001	{[100500016,100500017],[100500015,100500016]}
2100007	{[],[]}
2100006	{[],[]}
2100005	{[101000004,101000006,101000010,101000013],[101000003,101000005,101000009,101000012]}
2100004	{[101000003,101000005],[101000002,101000004]}
2100003	{[101000002,101000007,101000009,101000012,101000015],[101000001,101000006,101000008,101000011,101000014]}
2100002	{[],[]}
2100001	{[],[]}
2030024	{[110001001,110001002,110001003,110001004,110001005,110001006,110001007,110001008,110001009,110001010],[110001001,110001002,110001003,110001004,110001005,110001006,110001007,110001008,110001009,110001010]}
2030028	{[100300011,101000001,101000016,100300015,100300053,110030001,110030002,110030003,110030004,110030005,110030006,110030007,110030008,110030009,110030010,110031001,110031002,110031003,110031004,110031005,110031006,110031007,110031008,110031009,110031010,110032001,110032002,110032003,110032004,110032005,110032006,110032007,110032008,110032009,110032010],[100300010,100300011,101000015,100300052,100300015,110030001,110030002,110030003,110030004,110030005,110030006,110030007,110030008,110030009,110030010,110031001,110031002,110031003,110031004,110031005,110031006,110031007,110031008,110031009,110031010,110032001,110032002,110032003,110032004,110032005,110032006,110032007,110032008,110032009,110032010]}
2030015	{[],[]}
2030014	{[110010001,110011001,110012001],[110010001,110011001,110012001]}
2030013	{[110002001,110003001,110004001],[110002001,110003001,110004001]}
2030011	{[100300040,100300041],[100300039,100300040]}
2030010	{[],[]}
2030009	{[101000018,100300019,100300020,100300021,100300022],[101000017,101000018,100300019,100300020,100300021]}
2030008	{[100300038,110060001,110061001],[100300037,110060001,110061001]}
2030007	{[100300010],[100300009]}
2030006	{[100300009],[100300008]}
2030005	{[100300004,100300005,100300006,100300007,100300025,100300026,100500001,100300029,100300033,100300034,100300035,100300054,100300055,100300056,100300016,100300017,100300062],[100300003,100300005,100300006,100300007,100300024,100300025,100300026,100300028,100300032,100300033,100300034,100300053,100300054,100300055,100700004,100300016,100300061,100300005]}
2030004	{[100300003],[100300002]}
2030003	{[100300002],[100300001]}
2030002	{[],[]}
