id	isactivity	level	limittime	required	prevquestid	nextquestid	rewrules	rewitem	choiceitemid	rewxp	reworreqmoney	reqmob	reqmobitem	objectivemsg	objectivetext	acc_script	on_acc_script	com_script	on_com_script	direct_com_disable

10001	0	1	0	{0,1,100}	[]	{[],[],[]}	[]	[{10011001,1}]	[]	50	[{1,15}]	[]	[]	[]	[拜访(阎霏儿,2010001)]	[]	[]	[]	[]	0
100100001	0	2	0	{0,1,100}	[10001]	{[],[],[]}	[]	[{12010711,1}]	[]	216	[{1,30}]	[]	[]	[]	[拜访(洛雨,2010002)]	[]	[]	[]	[]	0
100100002	0	3	0	{1,1,100}	[100100001]	{[],[],[]}	[]	[{12010511,1}]	[]	610	[{1,45}]	[]	[]	[]	[拜访(出尘子,2010003)]	[]	[]	[]	[]	0
100100003	0	3	0	{2,1,100}	[100100001]	{[],[],[]}	[]	[{12010311,1}]	[]	610	[{1,45}]	[]	[]	[]	[拜访(出尘子,2010003)]	[]	[]	[]	[]	0
100100004	0	3	0	{3,1,100}	[100100001]	{[],[],[]}	[]	[{12010111,1}]	[]	610	[{1,45}]	[]	[]	[]	[拜访(出尘子,2010003)]	[]	[]	[]	[]	0
100100005	0	4	0	{0,1,100}	[100100002,100100003,100100004]	{[],[],[]}	[]	[]	[]	1197	[{1,60}]	[{1010001,2}]	[]	[]	[击杀(狡兔,1010001)@1，拜访(凌岳,2010004)]	[]	[]	[]	[]	0
100100006	0	5	0	{1,1,100}	[100100005]	{[],[],[]}	[]	[]	[]	2010	[{1,75}]	[]	[]	[{{learn_skill,510000001},ge,1}]	[学习第一个技能，回复(凌岳,2010004)]	[]	[]	quest_learn_skill	[]	0
100100007	0	5	0	{2,1,100}	[100100005]	{[],[],[]}	[]	[]	[]	2010	[{1,75}]	[]	[]	[{{learn_skill,520000001},ge,1}]	[学习第一个技能，回复(凌岳,2010004)]	[]	[]	quest_learn_skill	[]	0
100100008	0	5	0	{3,1,100}	[100100005]	{[],[],[]}	[]	[]	[]	2010	[{1,75}]	[]	[]	[{{learn_skill,530000001},ge,1}]	[学习第一个技能，回复(凌岳,2010004)]	[]	[]	quest_learn_skill	[]	0
100100009	0	6	0	{0,1,100}	[100100006,100100007,100100008]	{[],[],[]}	[]	[]	[]	3066	[{1,90}]	[{1010002,1}]	[]	[]	[击杀(鬣狗,1010002)@1，回复(慕容,2010005)]	[]	[]	[]	[]	0
100100010	0	7	0	{0,1,100}	[100100009]	{[],[],[]}	[]	[{11030101,50}]	[]	4377	[{1,105}]	[]	[]	[]	[拜访(火玲儿,2010006)]	[]	[]	[]	[]	0
100100011	0	8	0	{1,1,100}	[100100010]	{[],[],[]}	[]	[{12010611,1}]	[]	5956	[{1,120}]	[]	[]	[]	[拜访(龙啸,2010007)]	[]	[]	[]	[]	0
100100012	0	8	0	{2,1,100}	[100100010]	{[],[],[]}	[]	[{12010411,1}]	[]	5956	[{1,120}]	[]	[]	[]	[拜访(龙啸,2010007)]	[]	[]	[]	[]	0
100100013	0	8	0	{3,1,100}	[100100010]	{[],[],[]}	[]	[{12010211,1}]	[]	5956	[{1,120}]	[]	[]	[]	[拜访(龙啸,2010007)]	[]	[]	[]	[]	0
100100014	0	9	0	{0,1,100}	[100100011,100100012,100100013]	{[],[],[]}	[]	[{11010101,50}]	[]	7334	[{1,135}]	[]	[]	[]	[拜访(云霄子,2010008)]	[]	[]	[]	[]	0
100100015	0	10	0	{0,1,100}	[100100014]	{[],[],[]}	[]	[{17000011,1}]	[]	9961	[{1,135}]	[{3010001,1}]	[]	[]	[采集(仙草,3010001)@1，拜访(梦璃,2010009)]	[]	[]	[]	[]	0
100100016	0	11	0	{0,1,100}	[100100015]	{[],[],[]}	[]	[]	[]	12886	[{1,150}]	[{1020001,2}]	[]	[]	[前往洛阳道，击杀(土狼,1020001)，拜访(有熊谦,2020001)]	[]	[]	[]	[]	0
100200001	0	12	0	{1,1,100}	[100100016]	{[],[],[]}	[]	[]	[]	15158	[{1,180}]	[]	[]	[{{learn_skill,510000001},ge,1}]	[学习第二个技能，拜访(墨神医,2020002)]	[]	[]	quest_learn_skill	[]	0
100200002	0	12	0	{2,1,100}	[100100016]	{[],[],[]}	[]	[]	[]	15158	[{1,180}]	[]	[]	[{{learn_skill,520000001},ge,1}]	[学习第二个技能，拜访(墨神医,2020002)]	[]	[]	quest_learn_skill	[]	0
100200003	0	12	0	{3,1,100}	[100100016]	{[],[],[]}	[]	[]	[]	15158	[{1,180}]	[]	[]	[{{learn_skill,530000001},ge,1}]	[学习第二个技能，拜访(墨神医,2020002)]	[]	[]	quest_learn_skill	[]	0
100200004	0	13	0	{0,1,100}	[100200001,100200002,100200003]	{[],[],[]}	[]	[{19010241,1}]	[]	18225	[{1,195}]	[{1020002,2}]	[]	[]	[击杀(猞猁,1020002)@1，回复(云绯,2020003)]	[]	[]	[]	[]	0
100200005	0	14	0	{0,1,100}	[100200004]	{[],[],[]}	[]	[{19000301,1}]	[]	10327	[{1,210}]	[]	[]	[]	[拜访(正阳子,2020004)]	[]	[]	[]	[]	0
100200006	0	15	0	{0,1,100}	[100200005]	{[],[],[]}	[]	[]	[]	11288	[{1,210}]	[{3020001,1}]	[]	[]	[采集(西域奇花,3020001)@1，回复(正阳子,2020004)]	[]	[]	[]	[]	0
100200007	0	15	0	{0,1,100}	[100200006]	{[],[],[]}	[]	[]	[]	1000	[{1,100}]	[]	[]	[]	[使用神行鞋@1进入主城，回复(玄袆天师,2030001)]	[]	[]	[]	[]	0
100300001	0	16	0	{0,1,100}	[100200007]	{[],[],[]}	[]	[{12011011,1}]	[]	11288	[{1,210}]	[]	[]	[]	[拜访(韦药师,2030003)]	[]	[]	[]	[]	0
100300002	0	17	0	{0,1,100}	[100300001]	{[],[],[]}	[]	[]	[]	25335	[{1,225}]	[]	[]	[]	[拜访(袖里乾坤·李潇,2030004)]	[]	[]	[]	[]	0
100300003	0	18	0	{0,1,100}	[100300002]	{[],[],[]}	[]	[]	[]	15174	[{1,240}]	[]	[]	[]	[拜访(炼器宗师·明月,2030005)]	[]	[]	[]	[]	0
100300004	0	19	0	{0,1,100}	[100300003]	{[],[],[]}	[]	[]	[]	16124	[{1,225}]	[]	[]	[]	[拜访(装备·封云裳,2030022)]	[]	[]	[]	[]	0
100300005	0	30	0	{1,30,100}	[]	{[],[],[]}	[]	[{12350531,1}]	[]	49129	[{1,450}]	[]	[]	[{{mall_item,13010020},add_to,1}]	[在<act>商城,shop,0</act>购买<act>中品星之砂,starstone,0</act>，回复(炼器宗师·明月,2030005)]	[]	[]	quest_mall_item	[]	0
