serial_number	output_bond_item	output_unbond_item	need_items	rate	need_money	output_type

113	19000461	19000460	[{[19000451,19000450],2}]	10000	0	2
112	22001231	22001230	[{[22001221,22001220],8}]	10000	0	2
111	22001131	22001130	[{[22001121,22001120],8}]	10000	0	2
110	22001031	22001030	[{[22001021,22001020],8}]	10000	0	2
109	22000931	22000930	[{[22000921,22000920],8}]	10000	0	2
108	22000831	22000830	[{[22000821,22000820],8}]	10000	0	2
107	22000731	22000730	[{[22000721,22000720],8}]	10000	0	2
106	22000631	22000630	[{[22000621,22000620],8}]	10000	0	2
105	22000531	22000530	[{[22000521,22000520],8}]	10000	0	2
104	22000431	22000430	[{[22000421,22000420],8}]	10000	0	2
103	22000331	22000330	[{[22000321,22000320],8}]	10000	0	2
102	22000231	22000230	[{[22000221,22000220],8}]	10000	0	2
101	22000131	22000130	[{[22000121,22000120],8}]	10000	0	2
100	22001221	22001220	[{[22001211,22001210],8}]	10000	0	2
99	22001121	22001120	[{[22001111,22001110],8}]	10000	0	2
98	22001021	22001020	[{[22001011,22001010],8}]	10000	0	2
97	22000921	22000920	[{[22000911,22000910],8}]	10000	0	2
96	22000821	22000820	[{[22000811,22000810],8}]	10000	0	2
95	22000721	22000720	[{[22000711,22000710],8}]	10000	0	2
94	22000621	22000620	[{[22000611,22000610],8}]	10000	0	2
93	22000521	22000520	[{[22000511,22000510],8}]	10000	0	2
92	22000421	22000420	[{[22000411,22000410],8}]	10000	0	2
91	22000321	22000320	[{[22000311,22000310],8}]	10000	0	2
90	22000221	22000220	[{[22000211,22000210],8}]	10000	0	2
89	22000121	22000120	[{[22000111,22000110],8}]	10000	0	2
88	22000711	22000710	[{[22000001,22000000],10}]	10000	0	2
87	22000611	22000610	[{[22000001,22000000],10}]	10000	0	2
86	22000511	22000510	[{[22000001,22000000],10}]	10000	0	2
85	22000411	22000410	[{[22000001,22000000],10}]	10000	0	2
84	22000311	22000310	[{[22000001,22000000],10}]	10000	0	2
83	22000211	22000210	[{[22000001,22000000],10}]	10000	0	2
82	22000111	22000110	[{[22000001,22000000],10}]	10000	0	2
81	11051211	11051210	[{[11050911,11050910],10}]	10000	0	2
80	11051111	11051110	[{[11050811,11050810],10}]	10000	0	2
79	11051011	11051010	[{[11050711,11050710],10}]	10000	0	2
78	11050911	11050910	[{[11050611,11050610],10}]	10000	0	2
77	11050811	11050810	[{[11050511,11050510],10}]	10000	0	2
76	11050711	11050710	[{[11050411,11050410],10}]	10000	0	2
75	17000101	17000100	[{[19000591,19000590],8},{[19000571,19000570],20}]	10000	200000	2
74	17000091	17000090	[{[19000601,19000600],30},{[19000571,19000570],5}]	10000	100000	2
73	17000061	17000060	[{[19000611,19000610],8}]	10000	50000	2
72	16000531	16000530	[{[19000581,19000580],30},{[19000571,19000570],5}]	10000	100000	2
71	12600731	12600730	[{[13110011,13110010],90},{[13110021,13110020],40},{[13110071,13110070],30}]	10000	0	2
70	12600631	12600630	[{[13110011,13110010],90},{[13110021,13110020],40},{[13110071,13110070],30}]	10000	0	2
69	12600531	12600530	[{[13110011,13110010],90},{[13110021,13110020],40},{[13110071,13110070],30}]	10000	0	2
68	12600431	12600430	[{[13110011,13110010],90},{[13110021,13110020],40},{[13110071,13110070],30}]	10000	0	2
67	12600331	12600330	[{[13110011,13110010],90},{[13110021,13110020],40},{[13110071,13110070],30}]	10000	0	2
66	12600231	12600230	[{[13110011,13110010],90},{[13110021,13110020],40},{[13110071,13110070],30}]	10000	0	2
65	12600131	12600130	[{[13110011,13110010],90},{[13110021,13110020],40},{[13110071,13110070],30}]	10000	0	2
64	12601731	12601730	[{[13110011,13110010],90},{[13110021,13110020],40},{[13110041,13110040],30}]	10000	0	2
63	12601631	12601630	[{[13110011,13110010],90},{[13110021,13110020],40},{[13110041,13110040],30}]	10000	0	2
62	12601531	12601530	[{[13110011,13110010],90},{[13110021,13110020],40},{[13110041,13110040],30}]	10000	0	2
61	12601431	12601430	[{[13110011,13110010],90},{[13110021,13110020],40},{[13110041,13110040],30}]	10000	0	2
60	12601331	12601330	[{[13110011,13110010],90},{[13110021,13110020],40},{[13110041,13110040],30}]	10000	0	2
59	12601231	12601230	[{[13110011,13110010],90},{[13110021,13110020],40},{[13110041,13110040],30}]	10000	0	2
58	12601131	12601130	[{[13110011,13110010],90},{[13110021,13110020],40},{[13110041,13110040],30}]	10000	0	2
57	12601031	12601030	[{[13110011,13110010],90},{[13110021,13110020],40},{[13110041,13110040],30}]	10000	0	2
56	12350731	12350730	[{[13110011,13110010],48},{[13110021,13110020],16},{[13110061,13110060],12}]	10000	0	2
55	12350631	12350630	[{[13110011,13110010],48},{[13110021,13110020],16},{[13110061,13110060],12}]	10000	0	2
54	12350531	12350530	[{[13110011,13110010],48},{[13110021,13110020],16},{[13110061,13110060],12}]	10000	0	2
