equipid	needitem	needitemcount	needmoney	resultid

12800981	[13070060,13070061]	8	200000	12800941
12800980	[13070060,13070061]	8	200000	12800940
12800881	[13070060,13070061]	8	200000	12800841
12800880	[13070060,13070061]	8	200000	12800840
12800781	[13070060,13070061]	8	200000	12800741
12800780	[13070060,13070061]	8	200000	12800740
12800681	[13070060,13070061]	8	200000	12800641
12800680	[13070060,13070061]	8	200000	12800640
12800581	[13070060,13070061]	8	200000	12800541
12800580	[13070060,13070061]	8	200000	12800540
12800481	[13070060,13070061]	8	200000	12800441
12800480	[13070060,13070061]	8	200000	12800440
12800381	[13070060,13070061]	8	200000	12800341
12800380	[13070060,13070061]	8	200000	12800340
12800281	[13070060,13070061]	8	200000	12800241
12800280	[13070060,13070061]	8	200000	12800240
12800181	[13070060,13070061]	8	200000	12800141
12800180	[13070060,13070061]	8	200000	12800140
12700981	[13070050,13070051]	8	160000	12700941
12700980	[13070050,13070051]	8	160000	12700940
12700881	[13070050,13070051]	8	160000	12700841
12700880	[13070050,13070051]	8	160000	12700840
12700781	[13070050,13070051]	8	160000	12700741
12700780	[13070050,13070051]	8	160000	12700740
12700681	[13070050,13070051]	8	160000	12700641
12700680	[13070050,13070051]	8	160000	12700640
12700581	[13070050,13070051]	8	160000	12700541
12700580	[13070050,13070051]	8	160000	12700540
12700481	[13070050,13070051]	8	160000	12700441
12700480	[13070050,13070051]	8	160000	12700440
12700381	[13070050,13070051]	8	160000	12700341
12700380	[13070050,13070051]	8	160000	12700340
12700281	[13070050,13070051]	8	160000	12700241
12700280	[13070050,13070051]	8	160000	12700240
12700181	[13070050,13070051]	8	160000	12700141
12700180	[13070050,13070051]	8	160000	12700140
12600981	[13070040,13070041]	8	120000	12600941
12600980	[13070040,13070041]	8	120000	12600940
12600881	[13070040,13070041]	8	120000	12600841
12600880	[13070040,13070041]	8	120000	12600840
12600781	[13070040,13070041]	8	120000	12600741
12600780	[13070040,13070041]	8	120000	12600740
12600681	[13070040,13070041]	8	120000	12600641
12600680	[13070040,13070041]	8	120000	12600640
12600581	[13070040,13070041]	8	120000	12600541
12600580	[13070040,13070041]	8	120000	12600540
12600481	[13070040,13070041]	8	120000	12600441
12600480	[13070040,13070041]	8	120000	12600440
12600381	[13070040,13070041]	8	120000	12600341
12600380	[13070040,13070041]	8	120000	12600340
12600281	[13070040,13070041]	8	120000	12600241
12600280	[13070040,13070041]	8	120000	12600240
12600181	[13070040,13070041]	8	120000	12600141
12600180	[13070040,13070041]	8	120000	12600140
12500981	[13070030,13070031]	8	80000	12500941
12500980	[13070030,13070031]	8	80000	12500940
12500881	[13070030,13070031]	8	80000	12500841
12500880	[13070030,13070031]	8	80000	12500840
12500781	[13070030,13070031]	8	80000	12500741
12500780	[13070030,13070031]	8	80000	12500740
12500681	[13070030,13070031]	8	80000	12500641
12500680	[13070030,13070031]	8	80000	12500640
12500581	[13070030,13070031]	8	80000	12500541
12500580	[13070030,13070031]	8	80000	12500540
12500481	[13070030,13070031]	8	80000	12500441
12500480	[13070030,13070031]	8	80000	12500440
12500381	[13070030,13070031]	8	80000	12500341
12500380	[13070030,13070031]	8	80000	12500340
12500281	[13070030,13070031]	8	80000	12500241
12500280	[13070030,13070031]	8	80000	12500240
12500181	[13070030,13070031]	8	80000	12500141
12500180	[13070030,13070031]	8	80000	12500140
12350981	[13070020,13070021]	8	40000	12350941
12350980	[13070020,13070021]	8	40000	12350940
12350881	[13070020,13070021]	8	40000	12350841
12350880	[13070020,13070021]	8	40000	12350840
12350781	[13070020,13070021]	8	40000	12350741
12350780	[13070020,13070021]	8	40000	12350740
12350681	[13070020,13070021]	8	40000	12350641
12350680	[13070020,13070021]	8	40000	12350640
12350581	[13070020,13070021]	8	40000	12350541
12350580	[13070020,13070021]	8	40000	12350540
12350481	[13070020,13070021]	8	40000	12350441
12350480	[13070020,13070021]	8	40000	12350440
12350381	[13070020,13070021]	8	40000	12350341
12350380	[13070020,13070021]	8	40000	12350340
12350281	[13070020,13070021]	8	40000	12350241
12350280	[13070020,13070021]	8	40000	12350240
12350181	[13070020,13070021]	8	40000	12350141
12350180	[13070020,13070021]	8	40000	12350140
