level	exp	soulpower

100	6000	1200
99	5940	1188
98	5880	1176
97	5820	1164
96	5760	1152
95	5700	1140
94	5640	1128
93	5580	1116
92	5520	1104
91	5460	1092
90	5400	1080
89	5340	1068
88	5280	1056
87	5220	1044
86	5160	1032
85	5100	1020
84	5040	1008
83	4980	996
82	4920	984
81	4860	972
80	4800	960
79	4740	948
78	4680	936
77	4620	924
76	4560	912
75	4500	900
74	4440	888
73	4380	876
72	4320	864
71	4260	852
70	4200	840
69	4140	828
68	4080	816
67	4020	804
66	3960	792
65	3900	780
64	3840	768
63	3780	756
62	3720	744
61	3660	732
60	3600	720
59	3540	708
58	3480	696
57	3420	684
56	3360	672
55	3300	660
54	3240	648
53	3180	636
52	3120	624
51	3060	612
50	3000	600
49	2940	588
48	2880	576
47	2820	564
46	2760	552
45	2700	540
44	2640	528
43	2580	516
42	2520	504
41	2460	492
40	2400	480
39	2340	468
38	2280	456
37	2220	444
36	2160	432
35	2100	420
34	2040	408
33	1980	396
32	1920	384
31	1860	372
30	1800	360
