level	experience

experience_lock	1.90E+11
101	1.90E+11
100	55926491176
99	50137502183
98	44874784941
97	40090496535
96	35741143437
95	31787186070
94	28192679362
93	24924945998
92	21954279304
91	19253673215
90	16798576791
89	14566670952
88	12537665619
87	11086084941
86	9883716046
85	8805269096
84	7857907611
83	7108934782
82	6479886751
81	5894974645
80	5353306773
79	4841680898
78	4369545298
77	3924647577
76	3507750231
75	3130847272
74	2791392942
73	2491480341
72	2221432219
71	1986990571
70	1788408570
69	1625994999
68	1477716674
67	1341649680
66	1215132671
65	1099719739
64	994601370
63	898154509
62	807913083
61	724615708
60	648261426
59	577596381
58	511476091
57	449900570
56	390640251
55	336482431
54	290174309
53	249295335
52	214221721
51	181634698
50	153138493
49	127391523
48	104678187
47	84448931
46	68300970
45	54536477
44	43376814
43	35055103
42	28269456
41	22552664
40	17976468
39	14601908
38	12170548
37	10263188
36	8470228
35	6782068
34	5198708
33	3824948
32	2944628
31	2277052
30	1846775
29	1586900
28	1385801
27	1197410
26	1017520
25	852203
24	697796
23	560897
22	446569
21	365302
20	292357
19	234425
18	191178
17	157387
16	127996
15	102661
14	81046
13	62821
12	47663
11	35257
10	25296
9	17482
8	11526
7	7149
6	4083
5	2073
4	876
3	266
2	35
1	0
