level	exp	soulpower	hppercent	mppercent	zhenqi

100	200	100	0	0	0
99	198	99	0	0	0
98	196	98	0	0	0
97	194	97	0	0	0
96	192	96	0	0	0
95	190	95	0	0	0
94	188	94	0	0	0
93	186	93	0	0	0
92	184	92	0	0	0
91	182	91	0	0	0
90	180	90	0	0	0
89	178	89	0	0	0
88	176	88	0	0	0
87	174	87	0	0	0
86	172	86	0	0	0
85	170	85	0	0	0
84	168	84	0	0	0
83	166	83	0	0	0
82	164	82	0	0	0
81	162	81	0	0	0
80	160	80	0	0	0
79	158	79	0	0	0
78	156	78	0	0	0
77	154	77	0	0	0
76	152	76	0	0	0
75	150	75	0	0	0
74	148	74	0	0	0
73	146	73	0	0	0
72	144	72	0	0	0
71	142	71	0	0	0
70	140	70	0	0	0
69	138	69	0	0	0
68	136	68	0	0	0
67	134	67	0	0	0
66	132	66	0	0	0
65	130	65	0	0	0
64	128	64	0	0	0
63	126	63	0	0	0
62	124	62	0	0	0
61	122	61	0	0	0
60	120	60	0	0	0
59	118	59	0	0	0
58	116	58	0	0	0
57	114	57	0	0	0
56	112	56	0	0	0
55	110	55	0	0	0
54	108	54	0	0	0
53	106	53	0	0	0
52	104	52	0	0	0
51	102	51	0	0	0
50	100	50	0	0	0
49	98	49	0	0	0
48	96	48	0	0	0
47	94	47	0	0	0
46	92	46	0	0	0
45	90	45	0	0	0
44	88	44	0	0	0
43	86	43	0	0	0
42	84	42	0	0	0
41	82	41	0	0	0
40	80	40	0	0	0
39	78	39	0	0	0
38	76	38	0	0	0
37	74	37	0	0	0
36	72	36	0	0	0
35	70	35	0	0	0
34	68	34	0	0	0
33	66	33	0	0	0
32	64	32	0	0	0
31	62	31	0	0	0
30	60	30	0	0	0
29	58	29	0	0	0
28	56	28	0	0	0
27	54	27	0	0	0
26	52	26	0	0	0
25	50	25	0	0	0
24	48	24	0	0	0
23	46	23	0	0	0
22	44	22	0	0	0
21	42	21	0	0	0
20	40	20	0	0	0
19	38	19	0	0	0
18	36	18	0	0	0
17	34	17	0	0	0
16	32	16	0	0	0
15	30	15	0	0	0
14	28	14	0	0	0
13	26	13	0	0	0
12	24	12	0	0	0
11	22	11	0	0	0
10	20	10	0	0	0
9	18	9	0	0	0
8	16	8	0	0	0
7	14	7	0	0	0
6	12	6	0	0	0
5	10	5	0	0	0
4	8	4	0	0	0
3	6	3	0	0	0
2	4	2	0	0	0
1	2	1	0	0	0
