level	maxpower	spreward
100	30000000	15000
99	29000000	15000
98	28000000	15000
97	27000000	15000
96	26000000	15000
95	25000000	15000
94	24000000	15000
93	23000000	15000
92	22000000	15000
91	21000000	15000
90	20000000	15000
89	19000000	15000
88	18000000	15000
87	17000000	15000
86	16000000	15000
85	15000000	15000
84	14000000	15000
83	13000000	15000
82	12000000	15000
81	11000000	15000
80	10100000	15000
79	9600000	15000
78	9100000	15000
77	8600000	15000
76	8100000	15000
75	7600000	15000
74	7100000	15000
73	6600000	15000
72	6100000	15000
71	5600000	15000
70	5100000	15000
69	4900000	15000
68	4700000	15000
67	4500000	15000
66	4300000	15000
65	4100000	15000
64	3900000	15000
63	3700000	15000
62	3500000	15000
61	3300000	15000
60	3100000	15000
59	3000000	15000
58	2900000	15000
57	2800000	15000
56	2700000	15000
55	2600000	15000
54	2500000	15000
53	2400000	15000
52	2300000	15000
51	2200000	15000
50	2100000	15000
49	2020000	15000
48	1940000	15000
47	1860000	15000
46	1780000	15000
45	1700000	15000
44	1620000	15000
43	1540000	15000
42	1460000	15000
41	1380000	15000
40	1300000	15000
39	1240000	15000
38	1180000	15000
37	1120000	15000
36	1060000	15000
35	1000000	15000
34	940000	15000
33	880000	15000
32	820000	15000
31	760000	15000
30	700000	15000
29	660000	0
28	620000	0
27	580000	0
26	540000	0
25	500000	0
24	460000	0
23	420000	0
22	380000	0
21	340000	0
20	300000	0
19	280000	0
18	260000	0
17	240000	0
16	220000	0
15	200000	0
14	180000	0
13	160000	0
12	140000	0
11	120000	0
10	100000	0
9	90000	0
8	80000	0
7	70000	0
6	60000	0
5	50000	0
4	40000	0
3	30000	0
2	20000	0
1	10000	0
