level	default_num	max_num

100	4	30
99	4	30
98	4	30
97	4	30
96	4	30
95	4	30
94	4	30
93	4	30
92	4	30
91	4	30
90	4	30
89	4	30
88	4	30
87	4	30
86	4	30
85	4	30
84	4	30
83	4	30
82	4	30
81	4	30
80	4	30
79	4	30
78	4	30
77	4	30
76	4	30
75	4	30
74	4	30
73	4	30
72	4	30
71	4	30
70	4	30
69	4	30
68	4	30
67	4	30
66	4	30
65	4	30
64	4	30
63	4	30
62	4	30
61	4	30
60	4	30
59	4	30
58	4	30
57	4	30
56	4	30
55	4	30
54	4	30
53	4	30
52	4	30
51	4	30
50	4	30
49	4	30
48	4	30
47	4	30
46	4	30
45	4	30
44	4	30
43	4	30
42	4	30
41	4	30
40	4	30
39	4	30
38	4	30
37	4	30
36	4	30
35	4	30
34	4	30
33	4	30
32	4	30
31	4	30
30	4	30
29	4	30
28	4	30
27	4	30
26	4	30
25	4	30
24	4	30
23	4	30
22	4	30
21	4	30
20	4	30
19	4	30
18	4	30
17	4	30
16	4	30
15	4	30
14	4	30
13	4	30
12	4	30
11	4	30
10	4	30
9	4	30
8	4	30
7	4	30
6	4	30
5	4	30
4	4	30
3	4	30
2	4	30
1	4	30
