level	exp	soulpower	chopping_self	chopping_be	swimming_self	swimming_be

100	1200	900	96000	19200	28800	14400
99	1188	891	95040	19008	28512	14256
98	1176	882	94080	18816	28224	14112
97	1164	873	93120	18624	27936	13968
96	1152	864	92160	18432	27648	13824
95	1140	855	91200	18240	27360	13680
94	1128	846	90240	18048	27072	13536
93	1116	837	89280	17856	26784	13392
92	1104	828	88320	17664	26496	13248
91	1092	819	87360	17472	26208	13104
90	1080	810	86400	17280	25920	12960
89	1068	801	85440	17088	25632	12816
88	1056	792	84480	16896	25344	12672
87	1044	783	83520	16704	25056	12528
86	1032	774	82560	16512	24768	12384
85	1020	765	81600	16320	24480	12240
84	1008	756	80640	16128	24192	12096
83	996	747	79680	15936	23904	11952
82	984	738	78720	15744	23616	11808
81	972	729	77760	15552	23328	11664
80	960	720	76800	15360	23040	11520
79	948	711	75840	15168	22752	11376
78	936	702	74880	14976	22464	11232
77	924	693	73920	14784	22176	11088
76	912	684	72960	14592	21888	10944
75	900	675	72000	14400	21600	10800
74	888	666	71040	14208	21312	10656
73	876	657	70080	14016	21024	10512
72	864	648	69120	13824	20736	10368
71	852	639	68160	13632	20448	10224
70	840	630	67200	13440	20160	10080
69	828	621	66240	13248	19872	9936
68	816	612	65280	13056	19584	9792
67	804	603	64320	12864	19296	9648
66	792	594	63360	12672	19008	9504
65	780	585	62400	12480	18720	9360
64	768	576	61440	12288	18432	9216
63	756	567	60480	12096	18144	9072
62	744	558	59520	11904	17856	8928
61	732	549	58560	11712	17568	8784
60	720	540	57600	11520	17280	8640
59	708	531	56640	11328	16992	8496
58	696	522	55680	11136	16704	8352
57	684	513	54720	10944	16416	8208
56	672	504	53760	10752	16128	8064
55	660	495	52800	10560	15840	7920
54	648	486	51840	10368	15552	7776
53	636	477	50880	10176	15264	7632
52	624	468	49920	9984	14976	7488
51	612	459	48960	9792	14688	7344
50	600	450	48000	9600	14400	7200
49	588	441	47040	9408	14112	7056
48	576	432	46080	9216	13824	6912
47	564	423	45120	9024	13536	6768
46	552	414	44160	8832	13248	6624
45	540	405	43200	8640	12960	6480
44	528	396	42240	8448	12672	6336
43	516	387	41280	8256	12384	6192
42	504	378	40320	8064	12096	6048
41	492	369	39360	7872	11808	5904
40	480	360	38400	7680	11520	5760
