stoneclass	rate	silver	gold	result

907	10000	0	0	[14001380,14001381]
906	10000	0	0	[14001370,14001371]
905	10000	0	0	[14001360,14001361]
904	10000	0	0	[14001350,14001351]
903	10000	0	0	[14001340,14001341]
902	10000	0	0	[14001330,14001331]
901	10000	0	0	[14001320,14001321]
1807	10000	0	0	[14001180,14001181]
1806	10000	0	0	[14001170,14001171]
1805	10000	0	0	[14001160,14001161]
1804	10000	0	0	[14001150,14001151]
1803	10000	0	0	[14001140,14001141]
1802	10000	0	0	[14001130,14001131]
1801	10000	0	0	[14001120,14001121]
1707	10000	0	0	[14001080,14001081]
1706	10000	0	0	[14001070,14001071]
1705	10000	0	0	[14001060,14001061]
1704	10000	0	0	[14001050,14001051]
1703	10000	0	0	[14001040,14001041]
1702	10000	0	0	[14001030,14001031]
1701	10000	0	0	[14001020,14001021]
1307	10000	0	0	[14000580,14000581]
1306	10000	0	0	[14000570,14000571]
1305	10000	0	0	[14000560,14000561]
1304	10000	0	0	[14000550,14000551]
1303	10000	0	0	[14000540,14000541]
1302	10000	0	0	[14000530,14000531]
1301	10000	0	0	[14000520,14000521]
1207	10000	0	0	[14000680,14000681]
1206	10000	0	0	[14000670,14000671]
1205	10000	0	0	[14000660,14000661]
1204	10000	0	0	[14000650,14000651]
1203	10000	0	0	[14000640,14000641]
1202	10000	0	0	[14000630,14000631]
1201	10000	0	0	[14000620,14000621]
1107	10000	0	0	[14000780,14000781]
1106	10000	0	0	[14000770,14000771]
1105	10000	0	0	[14000760,14000761]
1104	10000	0	0	[14000750,14000751]
1103	10000	0	0	[14000740,14000741]
1102	10000	0	0	[14000730,14000731]
1101	10000	0	0	[14000720,14000721]
1007	10000	0	0	[14000480,14000481]
1006	10000	0	0	[14000470,14000471]
1005	10000	0	0	[14000460,14000461]
1004	10000	0	0	[14000450,14000451]
1003	10000	0	0	[14000440,14000441]
1002	10000	0	0	[14000430,14000431]
1001	10000	0	0	[14000420,14000421]
807	10000	0	0	[14001280,14001281]
806	10000	0	0	[14001270,14001271]
805	10000	0	0	[14001260,14001261]
804	10000	0	0	[14001250,14001251]
803	10000	0	0	[14001240,14001241]
802	10000	0	0	[14001230,14001231]
801	10000	0	0	[14001220,14001221]
707	10000	0	0	[14000980,14000981]
706	10000	0	0	[14000970,14000971]
705	10000	0	0	[14000960,14000961]
704	10000	0	0	[14000950,14000951]
703	10000	0	0	[14000940,14000941]
702	10000	0	0	[14000930,14000931]
701	10000	0	0	[14000920,14000921]
407	10000	0	0	[14000880,14000881]
406	10000	0	0	[14000870,14000871]
405	10000	0	0	[14000860,14000861]
404	10000	0	0	[14000850,14000851]
403	10000	0	0	[14000840,14000841]
402	10000	0	0	[14000830,14000831]
401	10000	0	0	[14000820,14000821]
307	10000	0	0	[14000380,14000381]
306	10000	0	0	[14000370,14000371]
305	10000	0	0	[14000360,14000361]
304	10000	0	0	[14000350,14000351]
303	10000	0	0	[14000340,14000341]
302	10000	0	0	[14000330,14000331]
301	10000	0	0	[14000320,14000321]
207	10000	0	0	[14000280,14000281]
206	10000	0	0	[14000270,14000271]
205	10000	0	0	[14000260,14000261]
204	10000	0	0	[14000250,14000251]
203	10000	0	0	[14000240,14000241]
202	10000	0	0	[14000230,14000231]
201	10000	0	0	[14000220,14000221]
107	10000	0	0	[14000180,14000181]
106	10000	0	0	[14000170,14000171]
105	10000	0	0	[14000160,14000161]
104	10000	0	0	[14000150,14000151]
103	10000	0	0	[14000140,14000141]
102	10000	0	0	[14000130,14000131]
101	10000	0	0	[14000120,14000121]
