setid	entry

65	[{11006015,1},{11006025,1},{11006035,1},{11006045,1},{11006055,1},{11006065,1},{11006075,1},{11006085,1},{11006095,1},{11006105,1},{11006115,1},{11006115,1},{11006125,1},{11006135,1},{11006135,1},{11006145,1},{11006155,1},{12000105,7},{12000205,7},{12000305,7},{12000405,7},{12000705,7},{12000805,7},{12001005,7},{12001105,7},{12001205,7},{12001305,7},{12001705,7},{12001805,7},{14400025,5},{14400025,1},{14400025,1},{14400025,1},{14400025,1},{14000017,99},{14000035,103}]
64	[{11006014,1},{11006024,1},{11006034,1},{11006044,1},{11006054,1},{11006064,1},{11006074,1},{11006084,1},{11006094,1},{11006104,1},{11006114,1},{11006114,1},{11006124,1},{11006134,1},{11006134,1},{11006144,1},{11006154,1},{12000105,7},{12000205,7},{12000305,7},{12000405,7},{12000705,7},{12000805,7},{12001005,7},{12001105,7},{12001205,7},{12001305,7},{12001705,7},{12001805,7},{14400025,5},{14400025,1},{14400025,1},{14400025,1},{14400025,1},{14000017,99},{14000035,102}]
63	[{11006013,1},{11006023,1},{11006033,1},{11006043,1},{11006053,1},{11006063,1},{11006073,1},{11006083,1},{11006093,1},{11006103,1},{11006113,1},{11006113,1},{11006123,1},{11006133,1},{11006133,1},{11006143,1},{11006153,1},{12000105,7},{12000205,7},{12000305,7},{12000405,7},{12000705,7},{12000805,7},{12001005,7},{12001105,7},{12001205,7},{12001305,7},{12001705,7},{12001805,7},{14400025,5},{14400025,1},{14400025,1},{14400025,1},{14400025,1},{14000017,99},{14000035,101}]
62	[{11006012,1},{11006022,1},{11006032,1},{11006042,1},{11006052,1},{11006062,1},{11006072,1},{11006082,1},{11006092,1},{11006102,1},{11006112,1},{11006112,1},{11006122,1},{11006132,1},{11006132,1},{11006142,1},{11006152,1},{12000105,7},{12000205,7},{12000305,7},{12000405,7},{12000705,7},{12000805,7},{12001005,7},{12001105,7},{12001205,7},{12001305,7},{12001705,7},{12001805,7},{14400025,5},{14400025,1},{14400025,1},{14400025,1},{14400025,1},{14000017,99},{14000035,100}]
61	[{11006011,1},{11006021,1},{11006031,1},{11006041,1},{11006051,1},{11006061,1},{11006071,1},{11006081,1},{11006091,1},{11006101,1},{11006111,1},{11006111,1},{11006121,1},{11006131,1},{11006131,1},{11006141,1},{11006151,1},{12000105,7},{12000205,7},{12000305,7},{12000405,7},{12000705,7},{12000805,7},{12001005,7},{12001105,7},{12001205,7},{12001305,7},{12001705,7},{12001805,7},{14400025,5},{14400025,1},{14400025,1},{14400025,1},{14400025,1},{14000017,99},{14000035,99}]
55	[{11005015,1},{11005025,1},{11005035,1},{11005045,1},{11005055,1},{11005065,1},{11005075,1},{11005085,1},{11005095,1},{11005105,1},{11005115,1},{11005115,1},{11005125,1},{11005135,1},{11005135,1},{11005145,1},{11005155,1},{12000104,7},{12000204,7},{12000304,7},{12000404,7},{12000704,7},{12000804,7},{12001004,7},{12001104,7},{12001204,7},{12001304,7},{12001704,7},{12001804,7},{14300025,5},{14300025,1},{14300025,1},{14300025,1},{14300025,1},{14000017,99},{14000035,99}]
54	[{11005014,1},{11005024,1},{11005034,1},{11005044,1},{11005054,1},{11005064,1},{11005074,1},{11005084,1},{11005094,1},{11005104,1},{11005114,1},{11005114,1},{11005124,1},{11005134,1},{11005134,1},{11005144,1},{11005154,1},{12000104,7},{12000204,7},{12000304,7},{12000404,7},{12000704,7},{12000804,7},{12001004,7},{12001104,7},{12001204,7},{12001304,7},{12001704,7},{12001804,7},{14300025,5},{14300025,1},{14300025,1},{14300025,1},{14300025,1},{14000017,99},{14000035,99}]
53	[{11005013,1},{11005023,1},{11005033,1},{11005043,1},{11005053,1},{11005063,1},{11005073,1},{11005083,1},{11005093,1},{11005103,1},{11005113,1},{11005113,1},{11005123,1},{11005133,1},{11005133,1},{11005143,1},{11005153,1},{12000104,7},{12000204,7},{12000304,7},{12000404,7},{12000704,7},{12000804,7},{12001004,7},{12001104,7},{12001204,7},{12001304,7},{12001704,7},{12001804,7},{14300025,5},{14300025,1},{14300025,1},{14300025,1},{14300025,1},{14000017,99},{14000035,99}]
52	[{11005012,1},{11005022,1},{11005032,1},{11005042,1},{11005052,1},{11005062,1},{11005072,1},{11005082,1},{11005092,1},{11005102,1},{11005112,1},{11005112,1},{11005122,1},{11005132,1},{11005132,1},{11005142,1},{11005152,1},{12000104,7},{12000204,7},{12000304,7},{12000404,7},{12000704,7},{12000804,7},{12001004,7},{12001104,7},{12001204,7},{12001304,7},{12001704,7},{12001804,7},{14300025,5},{14300025,1},{14300025,1},{14300025,1},{14300025,1},{14000017,99},{14000035,99}]
