id	droplist

{100,3}	[{1,60,[10401]},{2,180,[10402]},{3,300,[10403]},{4,600,[10404]},{5,900,[10405]},{6,1800,[10406]},{7,1800,[10407]},{8,1800,[10408]},{9,1800,[10409]},{10,1800,[10410]},{11,1800,[10411]},{12,1800,[10412]}]
{99,3}	[{1,60,[10401]},{2,180,[10402]},{3,300,[10403]},{4,600,[10404]},{5,900,[10405]},{6,1800,[10406]},{7,1800,[10407]},{8,1800,[10408]},{9,1800,[10409]},{10,1800,[10410]},{11,1800,[10411]},{12,1800,[10412]}]
{98,3}	[{1,60,[10401]},{2,180,[10402]},{3,300,[10403]},{4,600,[10404]},{5,900,[10405]},{6,1800,[10406]},{7,1800,[10407]},{8,1800,[10408]},{9,1800,[10409]},{10,1800,[10410]},{11,1800,[10411]},{12,1800,[10412]}]
{97,3}	[{1,60,[10401]},{2,180,[10402]},{3,300,[10403]},{4,600,[10404]},{5,900,[10405]},{6,1800,[10406]},{7,1800,[10407]},{8,1800,[10408]},{9,1800,[10409]},{10,1800,[10410]},{11,1800,[10411]},{12,1800,[10412]}]
{96,3}	[{1,60,[10401]},{2,180,[10402]},{3,300,[10403]},{4,600,[10404]},{5,900,[10405]},{6,1800,[10406]},{7,1800,[10407]},{8,1800,[10408]},{9,1800,[10409]},{10,1800,[10410]},{11,1800,[10411]},{12,1800,[10412]}]
{95,3}	[{1,60,[10401]},{2,180,[10402]},{3,300,[10403]},{4,600,[10404]},{5,900,[10405]},{6,1800,[10406]},{7,1800,[10407]},{8,1800,[10408]},{9,1800,[10409]},{10,1800,[10410]},{11,1800,[10411]},{12,1800,[10412]}]
{94,3}	[{1,60,[10401]},{2,180,[10402]},{3,300,[10403]},{4,600,[10404]},{5,900,[10405]},{6,1800,[10406]},{7,1800,[10407]},{8,1800,[10408]},{9,1800,[10409]},{10,1800,[10410]},{11,1800,[10411]},{12,1800,[10412]}]
{93,3}	[{1,60,[10401]},{2,180,[10402]},{3,300,[10403]},{4,600,[10404]},{5,900,[10405]},{6,1800,[10406]},{7,1800,[10407]},{8,1800,[10408]},{9,1800,[10409]},{10,1800,[10410]},{11,1800,[10411]},{12,1800,[10412]}]
{92,3}	[{1,60,[10401]},{2,180,[10402]},{3,300,[10403]},{4,600,[10404]},{5,900,[10405]},{6,1800,[10406]},{7,1800,[10407]},{8,1800,[10408]},{9,1800,[10409]},{10,1800,[10410]},{11,1800,[10411]},{12,1800,[10412]}]
{91,3}	[{1,60,[10401]},{2,180,[10402]},{3,300,[10403]},{4,600,[10404]},{5,900,[10405]},{6,1800,[10406]},{7,1800,[10407]},{8,1800,[10408]},{9,1800,[10409]},{10,1800,[10410]},{11,1800,[10411]},{12,1800,[10412]}]
{90,3}	[{1,60,[10401]},{2,180,[10402]},{3,300,[10403]},{4,600,[10404]},{5,900,[10405]},{6,1800,[10406]},{7,1800,[10407]},{8,1800,[10408]},{9,1800,[10409]},{10,1800,[10410]},{11,1800,[10411]},{12,1800,[10412]}]
{89,3}	[{1,60,[10401]},{2,180,[10402]},{3,300,[10403]},{4,600,[10404]},{5,900,[10405]},{6,1800,[10406]},{7,1800,[10407]},{8,1800,[10408]},{9,1800,[10409]},{10,1800,[10410]},{11,1800,[10411]},{12,1800,[10412]}]
{88,3}	[{1,60,[10401]},{2,180,[10402]},{3,300,[10403]},{4,600,[10404]},{5,900,[10405]},{6,1800,[10406]},{7,1800,[10407]},{8,1800,[10408]},{9,1800,[10409]},{10,1800,[10410]},{11,1800,[10411]},{12,1800,[10412]}]
{87,3}	[{1,60,[10401]},{2,180,[10402]},{3,300,[10403]},{4,600,[10404]},{5,900,[10405]},{6,1800,[10406]},{7,1800,[10407]},{8,1800,[10408]},{9,1800,[10409]},{10,1800,[10410]},{11,1800,[10411]},{12,1800,[10412]}]
{86,3}	[{1,60,[10401]},{2,180,[10402]},{3,300,[10403]},{4,600,[10404]},{5,900,[10405]},{6,1800,[10406]},{7,1800,[10407]},{8,1800,[10408]},{9,1800,[10409]},{10,1800,[10410]},{11,1800,[10411]},{12,1800,[10412]}]
{85,3}	[{1,60,[10401]},{2,180,[10402]},{3,300,[10403]},{4,600,[10404]},{5,900,[10405]},{6,1800,[10406]},{7,1800,[10407]},{8,1800,[10408]},{9,1800,[10409]},{10,1800,[10410]},{11,1800,[10411]},{12,1800,[10412]}]
{84,3}	[{1,60,[10401]},{2,180,[10402]},{3,300,[10403]},{4,600,[10404]},{5,900,[10405]},{6,1800,[10406]},{7,1800,[10407]},{8,1800,[10408]},{9,1800,[10409]},{10,1800,[10410]},{11,1800,[10411]},{12,1800,[10412]}]
{83,3}	[{1,60,[10401]},{2,180,[10402]},{3,300,[10403]},{4,600,[10404]},{5,900,[10405]},{6,1800,[10406]},{7,1800,[10407]},{8,1800,[10408]},{9,1800,[10409]},{10,1800,[10410]},{11,1800,[10411]},{12,1800,[10412]}]
{82,3}	[{1,60,[10401]},{2,180,[10402]},{3,300,[10403]},{4,600,[10404]},{5,900,[10405]},{6,1800,[10406]},{7,1800,[10407]},{8,1800,[10408]},{9,1800,[10409]},{10,1800,[10410]},{11,1800,[10411]},{12,1800,[10412]}]
{81,3}	[{1,60,[10401]},{2,180,[10402]},{3,300,[10403]},{4,600,[10404]},{5,900,[10405]},{6,1800,[10406]},{7,1800,[10407]},{8,1800,[10408]},{9,1800,[10409]},{10,1800,[10410]},{11,1800,[10411]},{12,1800,[10412]}]
{80,3}	[{1,60,[10401]},{2,180,[10402]},{3,300,[10403]},{4,600,[10404]},{5,900,[10405]},{6,1800,[10406]},{7,1800,[10407]},{8,1800,[10408]},{9,1800,[10409]},{10,1800,[10410]},{11,1800,[10411]},{12,1800,[10412]}]
{79,3}	[{1,60,[10401]},{2,180,[10402]},{3,300,[10403]},{4,600,[10404]},{5,900,[10405]},{6,1800,[10406]},{7,1800,[10407]},{8,1800,[10408]},{9,1800,[10409]},{10,1800,[10410]},{11,1800,[10411]},{12,1800,[10412]}]
{78,3}	[{1,60,[10401]},{2,180,[10402]},{3,300,[10403]},{4,600,[10404]},{5,900,[10405]},{6,1800,[10406]},{7,1800,[10407]},{8,1800,[10408]},{9,1800,[10409]},{10,1800,[10410]},{11,1800,[10411]},{12,1800,[10412]}]
{77,3}	[{1,60,[10401]},{2,180,[10402]},{3,300,[10403]},{4,600,[10404]},{5,900,[10405]},{6,1800,[10406]},{7,1800,[10407]},{8,1800,[10408]},{9,1800,[10409]},{10,1800,[10410]},{11,1800,[10411]},{12,1800,[10412]}]
{76,3}	[{1,60,[10401]},{2,180,[10402]},{3,300,[10403]},{4,600,[10404]},{5,900,[10405]},{6,1800,[10406]},{7,1800,[10407]},{8,1800,[10408]},{9,1800,[10409]},{10,1800,[10410]},{11,1800,[10411]},{12,1800,[10412]}]
{75,3}	[{1,60,[10401]},{2,180,[10402]},{3,300,[10403]},{4,600,[10404]},{5,900,[10405]},{6,1800,[10406]},{7,1800,[10407]},{8,1800,[10408]},{9,1800,[10409]},{10,1800,[10410]},{11,1800,[10411]},{12,1800,[10412]}]
{74,3}	[{1,60,[10401]},{2,180,[10402]},{3,300,[10403]},{4,600,[10404]},{5,900,[10405]},{6,1800,[10406]},{7,1800,[10407]},{8,1800,[10408]},{9,1800,[10409]},{10,1800,[10410]},{11,1800,[10411]},{12,1800,[10412]}]
{73,3}	[{1,60,[10401]},{2,180,[10402]},{3,300,[10403]},{4,600,[10404]},{5,900,[10405]},{6,1800,[10406]},{7,1800,[10407]},{8,1800,[10408]},{9,1800,[10409]},{10,1800,[10410]},{11,1800,[10411]},{12,1800,[10412]}]
{72,3}	[{1,60,[10401]},{2,180,[10402]},{3,300,[10403]},{4,600,[10404]},{5,900,[10405]},{6,1800,[10406]},{7,1800,[10407]},{8,1800,[10408]},{9,1800,[10409]},{10,1800,[10410]},{11,1800,[10411]},{12,1800,[10412]}]
