id	mapid	coord	type	level	items	money	viplevel

50060301	5006	{118,108}	1	0	[]	0	0
99909101	9101	{96,76}	1	0	[]	0	0
88892010	30010	{54,57}	1	0	[]	0	0
88892009	30009	{54,57}	1	0	[]	0	0
88892008	30008	{54,57}	1	0	[]	0	0
88892007	30007	{54,57}	1	0	[]	0	0
88892006	30006	{54,57}	1	0	[]	0	0
88892005	30005	{54,57}	1	0	[]	0	0
88892004	30004	{54,57}	1	0	[]	0	0
88892003	30003	{54,57}	1	0	[]	0	0
88892002	30002	{54,57}	1	0	[]	0	0
88892001	30001	{54,57}	1	0	[]	0	0
3007001	70001	{103,120}	1	0	[]	0	0
3005006	50006	{88,104}	1	0	[]	0	0
50045005	50005	{37,21}	1	0	[]	0	0
50035004	50004	{37,17}	1	0	[]	0	0
3005004	50004	{37,17}	1	0	[]	0	0
50025003	50003	{20,39}	1	0	[]	0	0
50015002	50002	{19,37}	1	0	[]	0	0
50055001	50001	{37,21}	1	0	[]	0	0
3334109	4109	{72,88}	0	0	[]	0	0
6004108	4108	{72,88}	0	0	[]	0	0
16004107	4107	{72,88}	0	0	[]	0	0
15004106	4106	{72,88}	0	0	[]	0	0
14004105	4105	{72,88}	0	0	[]	0	0
14004104	4104	{72,88}	0	0	[]	0	0
14004103	4103	{72,88}	0	0	[]	0	0
13004102	4102	{72,88}	0	0	[]	0	0
7004101	4101	{72,88}	0	0	[]	0	0
3002001	20001	{44,43}	1	0	[]	0	0
88818506	18506	{61,59}	1	0	[]	0	0
88818505	18505	{61,59}	1	0	[]	0	0
88818504	18504	{61,59}	1	0	[]	0	0
88818503	18503	{61,59}	1	0	[]	0	0
88818502	18502	{61,59}	1	0	[]	0	0
88818501	18501	{61,59}	1	0	[]	0	0
88818410	18410	{61,59}	1	0	[]	0	0
88818409	18409	{61,59}	1	0	[]	0	0
88818408	18408	{61,59}	1	0	[]	0	0
88818407	18407	{61,59}	1	0	[]	0	0
88818406	18406	{61,59}	1	0	[]	0	0
88818405	18405	{61,59}	1	0	[]	0	0
88818404	18404	{61,59}	1	0	[]	0	0
88818403	18403	{61,59}	1	0	[]	0	0
88818402	18402	{61,59}	1	0	[]	0	0
