mapid	tranportid	coord	transid	description

100	200	{157,92}	1000200	落阳道
200	100	{43,137}	2000100	枫华谷
200	300	{72,44}	2000300	有熊城
300	200	{201,89}	3000200	落阳道
300	309	{258,145}	3000309	通天塔一层入口
300	500	{269,158}	3000500	飞虎岭
300	700	{258,264}	3000700	妙玉山
300	1000	{185,297}	3001000	夜祸林
309	300	{92,34}	3090300	通天塔一层出口
309	310	{68,21}	3000310	通天塔二层入口
310	300	{92,34}	3100300	通天塔二层出口
310	311	{68,21}	3000311	通天塔三层入口
311	300	{92,34}	3110300	通天塔三层出口
311	312	{68,21}	3000312	通天塔四层入口
312	300	{92,34}	3120300	通天塔四层出口
312	313	{68,21}	3000313	通天塔五层入口
313	300	{92,34}	3130300	通天塔五层出口
320	0	{0,0}	0	[]
321	0	{0,0}	0	[]
330	300	{277,324}	3300300	甲玛城
333	1000	{173,296}	3331000	夜祸林
333	4109	{262,148}	3334109	妖神洞府
339	0	{0,0}	0	[]
500	300	{34,79}	5000300	天星城
500	1500	{131,73}	5001500	万妖谷
500	1600	{347,222}	5001600	神灵峰
502	300	{174,56}	5020300	天星城
600	1000	{357,223}	6001000	夜祸林
600	4108	{27,166}	6004108	妖皇洞府
601	1000	{60,40}	6011000	出口
603	300	{182,93}	6030300	天星城
605	300	{182,93}	6050300	天星城
700	300	{24,113}	7000300	天星城
700	1300	{210,120}	7001300	古墓府
700	1400	{237,149}	7001400	天炎山
700	4101	{183,273}	7004101	水妖洞府
801	300	{104,40}	8010300	天星城
802	300	{104,40}	8020300	天星城
901	902	{15,67}	9010902	陨神岭二层
902	501	{62,115}	9020501	罪恶山谷
1000	300	{133,64}	10000300	天星城
1000	333	{52,142}	10000333	广寒宫
1000	600	{135,227}	10000600	凌霄殿
1001	300	{21,55}	10010300	天星城
1100	400	{284,176}	11000400	落草道
1200	700	{273,143}	12000700	古剑门
1200	1300	{294,165}	12001300	措美镇
1200	1400	{275,187}	12001400	拉萨平原
1200	1500	{116,102}	120001500	暮色边陲
1201	0	{0,0}	0	[]
1203	0	{0,0}	0	[]
1205	300	{258,138}	12050300	天星城
1206	300	{258,138}	12060300	天星城
1300	700	{38,98}	13000700	古剑门
1300	4102	{299,256}	13004102	火妖洞府
1301	1300	{44,15}	13011300	措美镇
1400	700	{35,133}	14000700	古剑门
1400	4103	{146,42}	14004103	木妖洞府
1400	4104	{264,153}	14004104	冰妖洞府
1400	4105	{177,279}	14004105	血妖洞府
1401	1400	{186,118}	14011400	拉萨平原
1403	500	{24,48}	14030500	出口
1500	500	{202,278}	15000500	飞虎岭
1500	4106	{131,26}	15004106	地妖洞府
1600	500	{85,74}	16000500	飞虎岭
1600	4107	{128,38}	16004107	天妖洞府
1601	300	{22,80}	16010300	天星城
2001	0	{0,0}	0	[]
4000	0	{0,0}	0	[]
4001	0	{0,0}	0	[]
4002	0	{0,0}	0	[]
4003	0	{0,0}	0	[]
4004	0	{0,0}	0	[]
4100	0	{0,0}	0	冰火战戈
4101	700	{124,88}	41010700	古剑门
4102	1300	{124,88}	41021300	古墓府
4103	1400	{124,88}	41031400	天炎山
4104	1400	{124,88}	41041400	天炎山
4105	1400	{124,88}	41051400	天炎山
4106	1500	{124,88}	41061500	万妖谷
4107	1600	{124,88}	41071600	神灵峰
4108	600	{124,88}	41080600	凌霄殿
4109	333	{124,88}	41090333	广寒宫
4200	0	{0,0}	0	冰火战戈
5001	5002	{66,47}	50015002	下一层
5002	5003	{66,47}	50025003	下一层
5003	5004	{61,62}	50035004	下一层
5004	5005	{45,71}	50045005	下一层
5005	5001	{41,65}	50055001	下一层
5006	0	{0,0}	0	[]
5010	0	{0,0}	0	[]
6001	0	{0,0}	0	[]
6002	0	{0,0}	0	[]
6004	0	{0,0}	0	跨服精英战
7001	7002	{39,29}	0	第2层
7002	7003	{49,30}	0	第3层
7003	7004	{37,46}	0	第4层
7004	7005	{39,29}	0	第5层
7005	7006	{49,30}	0	第6层
7006	7007	{37,46}	0	第7层
7007	7008	{39,29}	0	第8层
7008	7009	{49,30}	0	第9层
7009	7010	{37,46}	0	第10层
7010	7011	{39,29}	0	第11层
7011	7012	{49,30}	0	第12层
7012	7013	{37,46}	0	第13层
7013	7014	{39,29}	0	第14层
7014	7015	{49,30}	0	第15层
7015	7016	{37,46}	0	第16层
7016	7017	{39,29}	0	第17层
7017	7018	{49,30}	0	第18层
7018	7019	{37,46}	0	第19层
7019	7020	{39,29}	0	第20层
7020	7021	{49,30}	0	第21层
7021	7022	{37,46}	0	第22层
7022	7023	{39,29}	0	第23层
7023	7024	{49,30}	0	第24层
7024	7025	{37,46}	0	第25层
7025	7026	{39,29}	0	第26层
7026	7027	{49,30}	0	第27层
7027	7028	{37,46}	0	第28层
7028	7029	{39,29}	0	第29层
7029	7030	{49,30}	0	第30层
7030	300	{37,46}	70300300	天星城
8001	8002	{67,47}	0	万剑阁2层
8002	8003	{52,28}	0	万剑阁3层
8003	8004	{33,75}	0	万剑阁4层
8004	8005	{27,96}	0	万剑阁5层
8005	8006	{78,30}	0	万剑阁6层
8006	8007	{64,60}	0	万剑阁7层
8007	8008	{104,40}	0	万剑阁8层
8008	8009	{62,76}	0	万剑阁9层
8009	8010	{104,46}	0	万剑阁10层
8010	300	{49,23}	80100300	天星城
9201	0	{0,0}	0	镇妖塔一层入口
9202	0	{0,0}	0	镇妖塔二层出口
9203	0	{0,0}	0	镇妖塔三层出口
9204	0	{0,0}	0	镇妖塔4层出口
9205	0	{0,0}	0	镇妖塔5层出口
9206	0	{0,0}	0	镇妖塔6层出口
9207	0	{0,0}	0	镇妖塔7层入口
9208	0	{0,0}	0	镇妖塔8层入口
9209	0	{0,0}	0	镇妖塔9层入口
9210	0	{0,0}	0	镇妖塔10层入口
