proto_level1_level2_class	drops

{19000471,{90,100},3}	[11806]
{19000471,{70,89},3}	[11806]
{19000471,{50,69},3}	[11806]
{19000471,{1,49},3}	[11806]
{19000471,{90,100},2}	[11806]
{19000471,{70,89},2}	[11806]
{19000471,{50,69},2}	[11806]
{19000471,{1,49},2}	[11806]
{19000471,{90,100},1}	[11806]
{19000471,{70,89},1}	[11806]
{19000471,{50,69},1}	[11806]
{19000471,{1,49},1}	[11806]
{19000461,{90,100},3}	[11805]
{19000461,{70,89},3}	[11805]
{19000461,{50,69},3}	[11805]
{19000461,{1,49},3}	[11805]
{19000461,{90,100},2}	[11805]
{19000461,{70,89},2}	[11805]
{19000461,{50,69},2}	[11805]
{19000461,{1,49},2}	[11805]
{19000461,{90,100},1}	[11805]
{19000461,{70,89},1}	[11805]
{19000461,{50,69},1}	[11805]
{19000461,{1,49},1}	[11805]
{19000451,{90,100},3}	[11804]
{19000451,{70,89},3}	[11804]
{19000451,{50,69},3}	[11804]
{19000451,{1,49},3}	[11804]
{19000451,{90,100},2}	[11804]
{19000451,{70,89},2}	[11804]
{19000451,{50,69},2}	[11804]
{19000451,{1,49},2}	[11804]
{19000451,{90,100},1}	[11804]
{19000451,{70,89},1}	[11804]
{19000451,{50,69},1}	[11804]
{19000451,{1,49},1}	[11804]
{19000470,{90,100},3}	[11803]
{19000470,{70,89},3}	[11803]
{19000470,{50,69},3}	[11803]
{19000470,{1,49},3}	[11803]
{19000470,{90,100},2}	[11803]
{19000470,{70,89},2}	[11803]
{19000470,{50,69},2}	[11803]
{19000470,{1,49},2}	[11803]
{19000470,{90,100},1}	[11803]
{19000470,{70,89},1}	[11803]
{19000470,{50,69},1}	[11803]
{19000470,{1,49},1}	[11803]
{19000460,{90,100},3}	[11802]
{19000460,{70,89},3}	[11802]
{19000460,{50,69},3}	[11802]
{19000460,{1,49},3}	[11802]
{19000460,{90,100},2}	[11802]
{19000460,{70,89},2}	[11802]
{19000460,{50,69},2}	[11802]
{19000460,{1,49},2}	[11802]
{19000460,{90,100},1}	[11802]
{19000460,{70,89},1}	[11802]
{19000460,{50,69},1}	[11802]
{19000460,{1,49},1}	[11802]
{19000450,{90,100},3}	[11801]
{19000450,{70,89},3}	[11801]
{19000450,{50,69},3}	[11801]
{19000450,{1,49},3}	[11801]
{19000450,{90,100},2}	[11801]
{19000450,{70,89},2}	[11801]
{19000450,{50,69},2}	[11801]
{19000450,{1,49},2}	[11801]
{19000450,{90,100},1}	[11801]
{19000450,{70,89},1}	[11801]
{19000450,{50,69},1}	[11801]
{19000450,{1,49},1}	[11801]
