level	rewardexp	reward_money

100	54000	{6,4000}
99	53460	{6,3950}
98	52920	{6,3900}
97	52380	{6,3850}
96	51840	{6,3800}
95	51300	{6,3750}
94	50760	{6,3700}
93	50220	{6,3650}
92	49680	{6,3600}
91	49140	{6,3550}
90	48600	{6,3500}
89	48060	{6,3450}
88	47520	{6,3400}
87	46980	{6,3350}
86	46440	{6,3300}
85	45900	{6,3250}
84	45360	{6,3200}
83	44820	{6,3150}
82	44280	{6,3100}
81	43740	{6,3050}
80	43200	{6,3000}
79	42660	{6,2950}
78	42120	{6,2900}
77	41580	{6,2850}
76	41040	{6,2800}
75	40500	{6,2750}
74	39960	{6,2700}
73	39420	{6,2650}
72	38880	{6,2600}
71	38340	{6,2550}
70	37800	{6,2500}
69	37260	{6,2450}
68	36720	{6,2400}
67	36180	{6,2350}
66	35640	{6,2300}
65	35100	{6,2250}
64	34560	{6,2200}
63	34020	{6,2150}
62	33480	{6,2100}
61	32940	{6,2050}
60	32400	{6,2000}
59	31860	{6,1950}
58	31320	{6,1900}
57	30780	{6,1850}
56	30240	{6,1800}
55	29700	{6,1750}
54	29160	{6,1700}
53	28620	{6,1650}
52	28080	{6,1600}
51	27540	{6,1550}
50	27000	{6,1500}
49	26460	{6,1450}
48	25920	{6,1400}
47	25380	{6,1350}
46	24840	{6,1300}
45	24300	{6,1250}
44	23760	{6,1200}
43	23220	{6,1150}
42	22680	{6,1100}
41	22140	{6,1050}
40	21600	{6,1000}
