venationinfo	effect	success_rate	need_money	need_gold	useitem	protect_item

{8,10}	68	{100,5}	15000	28	[19010650,19010651]	[19010660,19010661]
{8,9}	57	{100,10}	12000	28	[19010650,19010651]	[19010660,19010661]
{8,8}	47	{100,15}	10000	28	[19010650,19010651]	[19010660,19010661]
{8,7}	38	{100,20}	8000	28	[19010650,19010651]	[19010660,19010661]
{8,6}	30	{100,25}	6500	28	[19010650,19010651]	[19010660,19010661]
{8,5}	23	{100,35}	5000	28	[19010650,19010651]	[19010660,19010661]
{8,4}	17	{100,50}	3500	28	[19010650,19010651]	[19010660,19010661]
{8,3}	12	{100,65}	2000	28	[19010650,19010651]	[19010660,19010661]
{8,2}	8	{100,80}	1000	28	[19010650,19010651]	[19010660,19010661]
{8,1}	5	{100,100}	500	28	[19010650,19010651]	[19010660,19010661]
{7,10}	68	{100,5}	15000	28	[19010650,19010651]	[19010660,19010661]
{7,9}	57	{100,10}	12000	28	[19010650,19010651]	[19010660,19010661]
{7,8}	47	{100,15}	10000	28	[19010650,19010651]	[19010660,19010661]
{7,7}	38	{100,20}	8000	28	[19010650,19010651]	[19010660,19010661]
{7,6}	30	{100,25}	6500	28	[19010650,19010651]	[19010660,19010661]
{7,5}	23	{100,35}	5000	28	[19010650,19010651]	[19010660,19010661]
{7,4}	17	{100,50}	3500	28	[19010650,19010651]	[19010660,19010661]
{7,3}	12	{100,65}	2000	28	[19010650,19010651]	[19010660,19010661]
{7,2}	8	{100,80}	1000	28	[19010650,19010651]	[19010660,19010661]
{7,1}	5	{100,100}	500	28	[19010650,19010651]	[19010660,19010661]
{6,10}	68	{100,5}	15000	28	[19010650,19010651]	[19010660,19010661]
{6,9}	57	{100,10}	12000	28	[19010650,19010651]	[19010660,19010661]
{6,8}	47	{100,15}	10000	28	[19010650,19010651]	[19010660,19010661]
{6,7}	38	{100,20}	8000	28	[19010650,19010651]	[19010660,19010661]
{6,6}	30	{100,25}	6500	28	[19010650,19010651]	[19010660,19010661]
{6,5}	23	{100,35}	5000	28	[19010650,19010651]	[19010660,19010661]
{6,4}	17	{100,50}	3500	28	[19010650,19010651]	[19010660,19010661]
{6,3}	12	{100,65}	2000	28	[19010650,19010651]	[19010660,19010661]
{6,2}	8	{100,80}	1000	28	[19010650,19010651]	[19010660,19010661]
{6,1}	5	{100,100}	500	28	[19010650,19010651]	[19010660,19010661]
{5,10}	68	{100,5}	15000	28	[19010650,19010651]	[19010660,19010661]
{5,9}	57	{100,10}	12000	28	[19010650,19010651]	[19010660,19010661]
{5,8}	47	{100,15}	10000	28	[19010650,19010651]	[19010660,19010661]
{5,7}	38	{100,20}	8000	28	[19010650,19010651]	[19010660,19010661]
{5,6}	30	{100,25}	6500	28	[19010650,19010651]	[19010660,19010661]
{5,5}	23	{100,35}	5000	28	[19010650,19010651]	[19010660,19010661]
{5,4}	17	{100,50}	3500	28	[19010650,19010651]	[19010660,19010661]
{5,3}	12	{100,65}	2000	28	[19010650,19010651]	[19010660,19010661]
{5,2}	8	{100,80}	1000	28	[19010650,19010651]	[19010660,19010661]
{5,1}	5	{100,100}	500	28	[19010650,19010651]	[19010660,19010661]
{4,10}	68	{100,5}	15000	28	[19010650,19010651]	[19010660,19010661]
{4,9}	57	{100,10}	12000	28	[19010650,19010651]	[19010660,19010661]
{4,8}	47	{100,15}	10000	28	[19010650,19010651]	[19010660,19010661]
{4,7}	38	{100,20}	8000	28	[19010650,19010651]	[19010660,19010661]
{4,6}	30	{100,25}	6500	28	[19010650,19010651]	[19010660,19010661]
{4,5}	23	{100,35}	5000	28	[19010650,19010651]	[19010660,19010661]
{4,4}	17	{100,50}	3500	28	[19010650,19010651]	[19010660,19010661]
{4,3}	12	{100,65}	2000	28	[19010650,19010651]	[19010660,19010661]
{4,2}	8	{100,80}	1000	28	[19010650,19010651]	[19010660,19010661]
{4,1}	5	{100,100}	500	28	[19010650,19010651]	[19010660,19010661]
{3,10}	68	{100,5}	15000	28	[19010650,19010651]	[19010660,19010661]
{3,9}	57	{100,10}	12000	28	[19010650,19010651]	[19010660,19010661]
{3,8}	47	{100,15}	10000	28	[19010650,19010651]	[19010660,19010661]
{3,7}	38	{100,20}	8000	28	[19010650,19010651]	[19010660,19010661]
{3,6}	30	{100,25}	6500	28	[19010650,19010651]	[19010660,19010661]
{3,5}	23	{100,35}	5000	28	[19010650,19010651]	[19010660,19010661]
{3,4}	17	{100,50}	3500	28	[19010650,19010651]	[19010660,19010661]
{3,3}	12	{100,65}	2000	28	[19010650,19010651]	[19010660,19010661]
{3,2}	8	{100,80}	1000	28	[19010650,19010651]	[19010660,19010661]
{3,1}	5	{100,100}	500	28	[19010650,19010651]	[19010660,19010661]
{2,10}	68	{100,5}	15000	28	[19010650,19010651]	[19010660,19010661]
{2,9}	57	{100,10}	12000	28	[19010650,19010651]	[19010660,19010661]
{2,8}	47	{100,15}	10000	28	[19010650,19010651]	[19010660,19010661]
{2,7}	38	{100,20}	8000	28	[19010650,19010651]	[19010660,19010661]
{2,6}	30	{100,25}	6500	28	[19010650,19010651]	[19010660,19010661]
{2,5}	23	{100,35}	5000	28	[19010650,19010651]	[19010660,19010661]
{2,4}	17	{100,50}	3500	28	[19010650,19010651]	[19010660,19010661]
{2,3}	12	{100,65}	2000	28	[19010650,19010651]	[19010660,19010661]
{2,2}	8	{100,80}	1000	28	[19010650,19010651]	[19010660,19010661]
{2,1}	5	{100,100}	500	28	[19010650,19010651]	[19010660,19010661]
{1,10}	68	{100,5}	15000	28	[19010650,19010651]	[19010660,19010661]
{1,9}	57	{100,10}	12000	28	[19010650,19010651]	[19010660,19010661]
{1,8}	47	{100,15}	10000	28	[19010650,19010651]	[19010660,19010661]
{1,7}	38	{100,20}	8000	28	[19010650,19010651]	[19010660,19010661]
{1,6}	30	{100,25}	6500	28	[19010650,19010651]	[19010660,19010661]
{1,5}	23	{100,35}	5000	28	[19010650,19010651]	[19010660,19010661]
{1,4}	17	{100,50}	3500	28	[19010650,19010651]	[19010660,19010661]
{1,3}	12	{100,65}	2000	28	[19010650,19010651]	[19010660,19010661]
{1,2}	8	{100,80}	1000	28	[19010650,19010651]	[19010660,19010661]
{1,1}	5	{100,100}	500	28	[19010650,19010651]	[19010660,19010661]
