level	exp	shareexp

100	227046	75682
99	223092	74364
98	219138	73046
97	215184	71728
96	211230	70410
95	207276	69092
94	203322	67774
93	199368	66456
92	195414	65138
91	191460	63820
90	187506	62502
89	183552	61184
88	179598	59866
87	175644	58548
86	171690	57230
85	167736	55912
84	163782	54594
83	159828	53276
82	155874	51958
81	151920	50640
80	147966	49322
79	144012	48004
78	140058	46686
77	136104	45368
76	133482	44494
75	130713	43571
74	126333	42111
73	123438	41146
72	119052	39684
71	116322	38774
70	111138	37046
69	110205	36735
68	108987	36329
67	107478	35826
66	105672	35224
65	105177	35059
64	102759	34253
63	100026	33342
62	96978	32326
61	93603	31201
60	91563	30521
59	87585	29195
58	84924	28308
57	80394	26798
56	77175	25725
55	73734	24578
54	70122	23374
53	66459	22153
52	61614	20538
51	59238	19746
50	57441	19147
49	55458	18486
48	54585	18195
47	52194	17398
46	50844	16948
45	48030	16010
44	45051	15017
43	42975	14325
42	39600	13200
41	37050	12350
40	33306	11102
39	29499	9833
38	26334	8778
37	22350	7450
36	18972	6324
35	15054	5018
34	11364	3788
33	8307	2769
32	5532	1844
31	4122	1374
30	3825	1275
29	3462	1154
28	3141	1047
27	2790	930
26	2454	818
25	2223	741
24	2064	688
23	1935	645
22	1794	598
21	1641	547
20	1380	460
19	1254	418
18	1122	374
17	981	327
16	834	278
15	684	228
14	528	176
13	474	158
12	417	139
11	360	120
10	303	101
9	246	82
8	237	79
7	180	60
6	168	56
5	153	51
4	102	34
3	60	20
2	36	12
1	18	6
